* Measurement data measured by REW V5.20.13
* Source: ? 10dB Target Filtered
* Format: 
* Dated: Nov 19, 2023 10:00:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Personal SquigLink\data\? 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   105.0 Hz  Gain   3.00 dB Q  0.776 HSQ      Fc    2500 Hz  Gain  -2.00 dB Q  0.391 PK       Fc    2800 Hz  Gain  -1.00 dB  Q  1.800
* Measurement: Charlie Marks Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
131.660431, 3.062
132.614502, 3.026
133.575485, 2.990
134.543427, 2.955
135.518387, 2.919
136.500412, 2.885
137.489548, 2.850
138.485855, 2.816
139.489380, 2.783
140.500168, 2.750
141.518295, 2.717
142.543793, 2.684
143.576721, 2.652
144.617142, 2.620
145.665100, 2.589
146.720642, 2.557
147.783844, 2.527
148.854752, 2.497
149.933411, 2.467
151.019897, 2.437
152.114243, 2.408
153.216522, 2.379
154.326797, 2.351
155.445114, 2.323
156.571533, 2.295
157.706116, 2.268
158.848923, 2.242
160.000000, 2.215
161.159424, 2.189
162.327255, 2.163
163.503540, 2.137
164.688354, 2.112
165.881760, 2.087
167.083801, 2.062
168.294571, 2.038
169.514099, 2.014
170.742462, 1.990
171.979736, 1.967
173.225967, 1.944
174.481232, 1.921
175.745605, 1.899
177.019119, 1.877
178.301880, 1.855
179.593933, 1.833
180.895340, 1.812
182.206177, 1.791
183.526520, 1.771
184.856430, 1.750
186.195984, 1.730
187.545227, 1.711
188.904266, 1.691
190.273132, 1.672
191.651932, 1.653
193.040726, 1.634
194.439575, 1.616
195.848572, 1.598
197.267761, 1.580
198.697250, 1.563
200.137085, 1.545
201.587372, 1.529
203.048157, 1.512
204.519531, 1.496
206.001556, 1.480
207.494324, 1.465
208.997925, 1.449
210.512405, 1.434
212.037857, 1.419
213.574371, 1.404
215.122025, 1.390
216.680893, 1.376
218.251053, 1.362
219.832581, 1.348
221.425583, 1.335
223.030121, 1.323
224.646286, 1.310
226.274170, 1.298
227.913849, 1.286
229.565399, 1.275
231.228928, 1.263
232.904510, 1.252
234.592224, 1.242
236.292191, 1.231
238.004456, 1.221
239.729126, 1.211
241.466309, 1.201
243.216080, 1.191
244.978516, 1.182
246.753738, 1.173
248.541809, 1.164
250.342850, 1.155
252.156937, 1.147
253.984161, 1.138
255.824646, 1.130
257.678467, 1.121
259.545685, 1.113
261.426483, 1.105
263.320862, 1.097
265.229004, 1.088
267.150970, 1.080
269.086853, 1.073
271.036774, 1.065
273.000824, 1.057
274.979095, 1.050
276.971710, 1.042
278.978760, 1.035
281.000336, 1.027
283.036591, 1.020
285.087585, 1.012
287.153442, 1.005
289.234283, 0.998
291.330200, 0.991
293.441284, 0.984
295.567688, 0.977
297.709503, 0.970
299.866821, 0.963
302.039795, 0.956
304.228485, 0.950
306.433044, 0.943
308.653595, 0.936
310.890228, 0.929
313.143066, 0.923
315.412231, 0.916
317.697845, 0.910
320.000000, 0.903
322.318848, 0.897
324.654510, 0.891
327.007080, 0.884
329.376709, 0.878
331.763519, 0.872
334.167603, 0.865
336.589142, 0.859
339.028198, 0.853
341.484924, 0.847
343.959473, 0.841
346.451935, 0.835
348.962463, 0.829
351.491211, 0.823
354.038239, 0.817
356.603760, 0.811
359.187866, 0.805
361.790680, 0.799
364.412354, 0.793
367.053040, 0.787
369.712860, 0.781
372.391968, 0.774
375.090454, 0.768
377.808533, 0.762
380.546265, 0.755
383.303864, 0.749
386.081451, 0.742
388.879150, 0.735
391.697144, 0.728
394.535522, 0.721
397.394501, 0.714
400.274170, 0.706
403.174744, 0.698
406.096313, 0.690
409.039062, 0.682
412.003113, 0.674
414.988647, 0.665
417.995850, 0.656
421.024811, 0.647
424.075714, 0.638
427.148743, 0.629
430.244049, 0.620
433.361786, 0.610
436.502106, 0.601
439.665161, 0.591
442.851166, 0.580
446.060242, 0.570
449.292572, 0.560
452.548340, 0.550
455.827698, 0.540
459.130798, 0.529
462.457855, 0.519
465.809021, 0.508
469.184448, 0.498
472.584381, 0.487
476.008911, 0.476
479.458252, 0.465
482.932617, 0.454
486.432159, 0.442
489.957031, 0.431
493.507477, 0.420
497.083618, 0.408
500.685699, 0.397
504.313873, 0.385
507.968323, 0.373
511.649292, 0.361
515.356934, 0.349
519.091370, 0.337
522.852966, 0.324
526.641724, 0.312
530.458008, 0.300
534.301941, 0.288
538.173706, 0.276
542.073547, 0.264
546.001648, 0.252
549.958191, 0.240
553.943420, 0.227
557.957520, 0.215
562.000671, 0.203
566.073181, 0.192
570.175171, 0.180
574.306885, 0.168
578.468567, 0.157
582.660400, 0.145
586.882568, 0.134
591.135376, 0.123
595.419006, 0.112
599.733643, 0.100
604.079590, 0.089
608.456970, 0.077
612.866089, 0.065
617.307190, 0.054
621.780457, 0.042
626.286133, 0.031
630.824463, 0.019
635.395691, 0.007
640.000000, -0.005
644.637695, -0.018
649.309021, -0.030
654.014160, -0.043
658.753418, -0.056
663.527039, -0.069
668.335205, -0.083
673.178284, -0.097
678.056396, -0.110
682.969849, -0.125
687.918945, -0.139
692.903870, -0.154
697.924927, -0.169
702.982422, -0.184
708.076477, -0.199
713.207520, -0.214
718.375732, -0.229
723.581360, -0.244
728.824707, -0.259
734.106079, -0.274
739.425720, -0.289
744.783936, -0.303
750.180908, -0.318
755.617065, -0.332
761.092529, -0.345
766.607727, -0.359
772.162903, -0.372
777.758301, -0.384
783.394287, -0.396
789.071045, -0.408
794.789001, -0.419
800.548340, -0.430
806.349487, -0.440
812.192627, -0.449
818.078125, -0.459
824.006226, -0.467
829.977295, -0.475
835.991699, -0.482
842.049622, -0.489
848.151428, -0.495
854.297485, -0.501
860.488098, -0.507
866.723572, -0.512
873.004211, -0.516
879.330322, -0.520
885.702332, -0.524
892.120483, -0.528
898.585144, -0.531
905.096680, -0.533
911.655396, -0.535
918.261597, -0.537
924.915710, -0.538
931.618042, -0.539
938.368896, -0.538
945.168762, -0.538
952.017822, -0.536
958.916504, -0.533
965.865234, -0.530
972.864319, -0.525
979.914062, -0.519
987.014954, -0.512
994.167236, -0.503
1001.371399, -0.493
1008.627747, -0.481
1015.936646, -0.467
1023.298584, -0.452
1030.713867, -0.436
1038.182739, -0.418
1045.705933, -0.399
1053.283447, -0.379
1060.916016, -0.358
1068.603882, -0.336
1076.347412, -0.313
1084.147095, -0.291
1092.003296, -0.268
1099.916382, -0.246
1107.886841, -0.224
1115.915039, -0.202
1124.001343, -0.182
1132.146362, -0.161
1140.350342, -0.141
1148.613770, -0.122
1156.937134, -0.104
1165.320801, -0.087
1173.765137, -0.069
1182.270752, -0.053
1190.838013, -0.036
1199.467285, -0.019
1208.159180, -0.002
1216.913940, 0.016
1225.732178, 0.034
1234.614380, 0.052
1243.560913, 0.071
1252.572266, 0.090
1261.648926, 0.111
1270.791382, 0.132
1280.000000, 0.155
1289.275391, 0.178
1298.618042, 0.201
1308.028320, 0.225
1317.506836, 0.250
1327.054077, 0.275
1336.670410, 0.301
1346.356567, 0.328
1356.112793, 0.355
1365.939697, 0.383
1375.837891, 0.412
1385.807739, 0.440
1395.849854, 0.469
1405.964844, 0.498
1416.152954, 0.528
1426.415039, 0.557
1436.751465, 0.588
1447.162720, 0.618
1457.649414, 0.649
1468.212158, 0.680
1478.851440, 0.712
1489.567871, 0.744
1500.361816, 0.777
1511.234131, 0.810
1522.185059, 0.844
1533.215454, 0.879
1544.325806, 0.914
1555.516602, 0.950
1566.788574, 0.986
1578.142090, 1.023
1589.578003, 1.060
1601.096680, 1.098
1612.698975, 1.136
1624.385254, 1.175
1636.156250, 1.214
1648.012451, 1.254
1659.954590, 1.295
1671.983398, 1.336
1684.099243, 1.378
1696.302856, 1.421
1708.594971, 1.464
1720.976196, 1.509
1733.447144, 1.555
1746.008423, 1.602
1758.660645, 1.650
1771.404663, 1.699
1784.240967, 1.750
1797.170288, 1.802
1810.193359, 1.856
1823.310791, 1.911
1836.523193, 1.967
1849.831421, 2.025
1863.236084, 2.085
1876.737793, 2.146
1890.337524, 2.209
1904.035645, 2.273
1917.833008, 2.340
1931.730469, 2.408
1945.728638, 2.478
1959.828125, 2.549
1974.029907, 2.623
1988.334473, 2.700
2002.742798, 2.778
2017.255493, 2.859
2031.873291, 2.941
2046.597168, 3.027
2061.427734, 3.114
2076.365479, 3.204
2091.411865, 3.296
2106.566895, 3.390
2121.832031, 3.486
2137.207764, 3.583
2152.694824, 3.680
2168.294189, 3.779
2184.006592, 3.876
2199.832764, 3.973
2215.773682, 4.068
2231.830078, 4.160
2248.002686, 4.250
2264.292725, 4.337
2280.700684, 4.419
2297.227539, 4.499
2313.874268, 4.574
2330.641602, 4.646
2347.530273, 4.715
2364.541504, 4.781
2381.676025, 4.845
2398.934570, 4.907
2416.318359, 4.967
2433.827881, 5.026
2451.464355, 5.084
2469.228760, 5.141
2487.121826, 5.198
2505.144531, 5.254
2523.297852, 5.310
2541.582764, 5.366
2560.000000, 5.421
2578.550781, 5.477
2597.236084, 5.533
2616.056641, 5.589
2635.013672, 5.644
2654.108154, 5.700
2673.340820, 5.756
2692.713135, 5.811
2712.225586, 5.866
2731.879395, 5.920
2751.675781, 5.973
2771.615479, 6.025
2791.699707, 6.075
2811.929688, 6.124
2832.305908, 6.171
2852.830078, 6.216
2873.502930, 6.259
2894.325439, 6.300
2915.298828, 6.339
2936.424316, 6.375
2957.702881, 6.409
2979.135742, 6.440
3000.723633, 6.469
3022.468262, 6.496
3044.370117, 6.519
3066.430908, 6.540
3088.651611, 6.557
3111.033203, 6.572
3133.577148, 6.583
3156.284180, 6.592
3179.156006, 6.597
3202.193359, 6.599
3225.397949, 6.597
3248.770508, 6.593
3272.312500, 6.585
3296.024902, 6.573
3319.909180, 6.558
3343.966797, 6.540
3368.198486, 6.518
3392.605713, 6.494
3417.189941, 6.466
3441.952393, 6.436
3466.894287, 6.403
3492.016846, 6.368
3517.321289, 6.331
3542.809326, 6.292
3568.481934, 6.251
3594.340576, 6.209
3620.386719, 6.165
3646.621582, 6.119
3673.046387, 6.073
3699.662842, 6.025
3726.472168, 5.976
3753.475586, 5.927
3780.675049, 5.877
3808.071289, 5.826
3835.666016, 5.776
3863.460938, 5.727
3891.457275, 5.677
3919.656250, 5.628
3948.059814, 5.579
3976.668945, 5.530
4005.485596, 5.482
4034.510986, 5.435
4063.746582, 5.388
4093.194336, 5.341
4122.855469, 5.295
4152.730957, 5.247
4182.823730, 5.200
4213.133789, 5.151
4243.664062, 5.101
4274.415527, 5.050
4305.389648, 4.997
4336.588379, 4.942
4368.013184, 4.885
4399.665527, 4.827
4431.547363, 4.767
4463.660156, 4.706
4496.005371, 4.644
4528.585449, 4.582
4561.401367, 4.521
4594.455078, 4.459
4627.748535, 4.398
4661.283203, 4.338
4695.060547, 4.278
4729.083008, 4.220
4763.352051, 4.162
4797.869141, 4.104
4832.636719, 4.047
4867.655762, 3.991
4902.928711, 3.936
4938.457520, 3.882
4974.243652, 3.829
5010.289062, 3.778
5046.595703, 3.728
5083.165527, 3.680
5120.000000, 3.634
5157.101562, 3.590
5194.472168, 3.548
5232.113281, 3.508
5270.027344, 3.469
5308.216309, 3.432
5346.681641, 3.394
5385.426270, 3.357
5424.451172, 3.320
5463.758789, 3.283
5503.351562, 3.245
5543.230957, 3.206
5583.399414, 3.167
5623.859375, 3.126
5664.611816, 3.085
5705.660156, 3.044
5747.005859, 3.002
5788.650879, 2.960
5830.597656, 2.918
5872.848633, 2.876
5915.405762, 2.835
5958.271484, 2.795
6001.447266, 2.756
6044.936523, 2.719
6088.740234, 2.683
6132.861816, 2.649
6177.303223, 2.617
6222.066406, 2.588
6267.154297, 2.561
6312.568359, 2.537
6358.312012, 2.515
6404.386719, 2.497
6450.795898, 2.481
6497.541016, 2.469
6544.625000, 2.459
6592.049805, 2.453
6639.818359, 2.449
6687.933594, 2.448
6736.396973, 2.449
6785.211426, 2.453
6834.379883, 2.460
6883.904785, 2.468
6933.788574, 2.477
6984.033691, 2.487
7034.642578, 2.498
7085.618652, 2.508
7136.963867, 2.518
7188.681152, 2.527
7240.773438, 2.535
7293.243164, 2.540
7346.092773, 2.542
7399.325684, 2.541
7452.944336, 2.535
7506.951172, 2.525
7561.350098, 2.509
7616.142578, 2.486
7671.332031, 2.457
7726.921875, 2.421
7782.914551, 2.376
7839.312500, 2.323
7896.119629, 2.260
7953.337891, 2.189
8010.971191, 2.106
8069.021973, 2.014
8127.493164, 1.911
8186.388672, 1.797
8245.710938, 1.672
8305.461914, 1.537
8365.647461, 1.392
8426.267578, 1.238
8487.328125, 1.074
8548.831055, 0.901
8610.779297, 0.722
8673.176758, 0.537
8736.026367, 0.348
8799.331055, 0.158
8863.094727, -0.032
8927.320312, -0.219
8992.010742, -0.401
9057.170898, -0.575
9122.802734, -0.737
9188.910156, -0.887
9255.497070, -1.021
9322.566406, -1.139
9390.121094, -1.239
9458.166016, -1.320
9526.704102, -1.382
9595.738281, -1.425
9665.273438, -1.448
9735.311523, -1.452
9805.857422, -1.436
9876.915039, -1.401
9948.487305, -1.345
10020.578125, -1.268
10093.191406, -1.171
10166.331055, -1.053
10240.000000, -0.916
10314.203125, -0.763
10388.944336, -0.600
10464.226562, -0.432
10540.054688, -0.269
10616.432617, -0.121
10693.363281, 0.002
10770.852539, 0.092
10848.902344, 0.143
10927.517578, 0.150
11006.703125, 0.115
11086.461914, 0.040
11166.798828, -0.074
11247.718750, -0.222
11329.223633, -0.398
11411.320312, -0.598
11494.011719, -0.819
11577.301758, -1.058
11661.195312, -1.310
11745.697266, -1.572
11830.811523, -1.839
11916.542969, -2.108
12002.894531, -2.372
12089.873047, -2.627
12177.480469, -2.863
12265.723633, -3.077
12354.606445, -3.269
12444.132812, -3.439
12534.308594, -3.584
12625.136719, -3.708
12716.624023, -3.811
12808.773438, -3.897
12901.591797, -3.967
12995.082031, -4.029
13089.250000, -4.084
13184.099609, -4.134
13279.636719, -4.180
13375.867188, -4.225
13472.793945, -4.272
13570.422852, -4.323
13668.759766, -4.379
13767.809570, -4.442
13867.577148, -4.514
13968.067383, -4.595
14069.285156, -4.684
14171.237305, -4.781
14273.927734, -4.885
14377.362305, -4.994
14481.546875, -5.109
14586.486328, -5.226
14692.185547, -5.344
14798.651367, -5.461
14905.888672, -5.572
15013.902344, -5.677
15122.700195, -5.772
15232.285156, -5.855
15342.664062, -5.925
15453.843750, -5.979
15565.829102, -6.019
15678.625000, -6.042
15792.239258, -6.050
15906.675781, -6.044
16021.942383, -6.025
16138.043945, -5.995
16254.986328, -5.955
16372.777344, -5.908
16491.421875, -5.856
16610.923828, -5.801
16731.294922, -5.745
16852.535156, -5.690
16974.656250, -5.639
17097.662109, -5.593
17221.558594, -5.554
17346.353516, -5.525
17472.052734, -5.508
17598.662109, -5.505
17726.189453, -5.521
17854.640625, -5.558
17984.021484, -5.618
18114.341797, -5.707
18245.605469, -5.826
18377.820312, -5.980
18510.994141, -6.170
18645.132812, -6.399
18780.242188, -6.668
18916.332031, -6.979
19053.408203, -7.332
19191.476562, -7.729
19330.546875, -8.178
19470.623047, -8.700
19611.714844, -9.333
19753.830078, -10.106
19896.974609, -10.998
