* Measurement data measured by REW V5.20.13
* Source: Rollo Δ 10dB Target + Δ 10dB EQ to Timmy Target
* Format: 
* Dated: Dec 3, 2023 11:41:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Squiglink\data\Δ 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   55.00 Hz  Gain   7.00 dB Q  0.710 PK       Fc   140.0 Hz  Gain  -0.80 dB  Q  2.100 PK       Fc   275.0 Hz  Gain  -1.20 dB  Q  0.700 PK       Fc    1700 Hz  Gain   5.00 dB  Q  1.100 PK       Fc    3000 Hz  Gain  -1.00 dB  Q  1.800 HSQ      Fc   12000 Hz  Gain   8.00 dB Q  0.710
* Measurement: Rollo-Timmy Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
1904.035645, 6.028
1917.833008, 6.064
1931.730469, 6.099
1945.728638, 6.135
1959.828125, 6.172
1974.029907, 6.209
1988.334473, 6.247
2002.742798, 6.287
2017.255493, 6.328
2031.873291, 6.369
2046.597168, 6.413
2061.427734, 6.458
2076.365479, 6.505
2091.411865, 6.554
2106.566895, 6.604
2121.832031, 6.655
2137.207764, 6.708
2152.694824, 6.762
2168.294189, 6.816
2184.006592, 6.869
2199.832764, 6.922
2215.773682, 6.972
2231.830078, 7.020
2248.002686, 7.066
2264.292725, 7.107
2280.700684, 7.145
2297.227539, 7.180
2313.874268, 7.210
2330.641602, 7.238
2347.530273, 7.262
2364.541504, 7.283
2381.676025, 7.303
2398.934570, 7.321
2416.318359, 7.337
2433.827881, 7.352
2451.464355, 7.366
2469.228760, 7.380
2487.121826, 7.393
2505.144531, 7.406
2523.297852, 7.418
2541.582764, 7.431
2560.000000, 7.443
2578.550781, 7.455
2597.236084, 7.467
2616.056641, 7.479
2635.013672, 7.491
2654.108154, 7.502
2673.340820, 7.514
2692.713135, 7.526
2712.225586, 7.536
2731.879395, 7.545
2751.675781, 7.554
2771.615479, 7.561
2791.699707, 7.567
2811.929688, 7.572
2832.305908, 7.575
2852.830078, 7.576
2873.502930, 7.576
2894.325439, 7.574
2915.298828, 7.570
2936.424316, 7.565
2957.702881, 7.558
2979.135742, 7.549
3000.723633, 7.539
3022.468262, 7.527
3044.370117, 7.513
3066.430908, 7.498
3088.651611, 7.481
3111.033203, 7.462
3133.577148, 7.442
3156.284180, 7.419
3179.156006, 7.395
3202.193359, 7.368
3225.397949, 7.340
3248.770508, 7.310
3272.312500, 7.277
3296.024902, 7.243
3319.909180, 7.205
3343.966797, 7.166
3368.198486, 7.124
3392.605713, 7.081
3417.189941, 7.036
3441.952393, 6.988
3466.894287, 6.939
3492.016846, 6.889
3517.321289, 6.837
3542.809326, 6.784
3568.481934, 6.730
3594.340576, 6.675
3620.386719, 6.620
3646.621582, 6.563
3673.046387, 6.505
3699.662842, 6.447
3726.472168, 6.388
3753.475586, 6.329
3780.675049, 6.270
3808.071289, 6.211
3835.666016, 6.153
3863.460938, 6.095
3891.457275, 6.038
3919.656250, 5.982
3948.059814, 5.926
3976.668945, 5.870
4005.485596, 5.816
4034.510986, 5.763
4063.746582, 5.711
4093.194336, 5.659
4122.855469, 5.608
4152.730957, 5.555
4182.823730, 5.503
4213.133789, 5.451
4243.664062, 5.397
4274.415527, 5.342
4305.389648, 5.285
4336.588379, 5.226
4368.013184, 5.166
4399.665527, 5.103
4431.547363, 5.040
4463.660156, 4.976
4496.005371, 4.911
4528.585449, 4.846
4561.401367, 4.782
4594.455078, 4.718
4627.748535, 4.655
4661.283203, 4.593
4695.060547, 4.533
4729.083008, 4.473
4763.352051, 4.413
4797.869141, 4.355
4832.636719, 4.298
4867.655762, 4.241
4902.928711, 4.186
4938.457520, 4.132
4974.243652, 4.078
5010.289062, 4.027
5046.595703, 3.978
5083.165527, 3.931
5120.000000, 3.886
5157.101562, 3.843
5194.472168, 3.804
5232.113281, 3.766
5270.027344, 3.730
5308.216309, 3.695
5346.681641, 3.660
5385.426270, 3.626
5424.451172, 3.593
5463.758789, 3.559
5503.351562, 3.525
5543.230957, 3.490
5583.399414, 3.454
5623.859375, 3.418
5664.611816, 3.381
5705.660156, 3.344
5747.005859, 3.307
5788.650879, 3.271
5830.597656, 3.234
5872.848633, 3.198
5915.405762, 3.163
5958.271484, 3.129
6001.447266, 3.097
6044.936523, 3.066
6088.740234, 3.037
6132.861816, 3.011
6177.303223, 2.987
6222.066406, 2.966
6267.154297, 2.948
6312.568359, 2.933
6358.312012, 2.921
6404.386719, 2.913
6450.795898, 2.907
6497.541016, 2.905
6544.625000, 2.907
6592.049805, 2.912
6639.818359, 2.920
6687.933594, 2.931
6736.396973, 2.946
6785.211426, 2.964
6834.379883, 2.984
6883.904785, 3.007
6933.788574, 3.031
6984.033691, 3.057
7034.642578, 3.084
7085.618652, 3.111
7136.963867, 3.138
7188.681152, 3.165
7240.773438, 3.191
7293.243164, 3.216
7346.092773, 3.238
7399.325684, 3.257
7452.944336, 3.272
7506.951172, 3.283
7561.350098, 3.289
7616.142578, 3.289
7671.332031, 3.283
7726.921875, 3.271
7782.914551, 3.251
7839.312500, 3.223
7896.119629, 3.187
7953.337891, 3.141
8010.971191, 3.086
8069.021973, 3.022
8127.493164, 2.947
8186.388672, 2.861
8245.710938, 2.767
8305.461914, 2.662
8365.647461, 2.548
8426.267578, 2.425
8487.328125, 2.293
8548.831055, 2.154
8610.779297, 2.008
8673.176758, 1.857
8736.026367, 1.704
8799.331055, 1.550
8863.094727, 1.398
8927.320312, 1.249
8992.010742, 1.107
9057.170898, 0.974
9122.802734, 0.854
9188.910156, 0.749
9255.497070, 0.660
9322.566406, 0.590
9390.121094, 0.538
9458.166016, 0.507
9526.704102, 0.497
9595.738281, 0.507
9665.273438, 0.539
9735.311523, 0.589
9805.857422, 0.660
9876.915039, 0.751
9948.487305, 0.863
10020.578125, 1.000
10093.191406, 1.159
10166.331055, 1.338
10240.000000, 1.540
10314.203125, 1.761
10388.944336, 1.999
10464.226562, 2.243
10540.054688, 2.487
10616.432617, 2.718
10693.363281, 2.924
10770.852539, 3.096
10848.902344, 3.224
10927.517578, 3.305
11006.703125, 3.341
11086.461914, 3.339
11166.798828, 3.296
11247.718750, 3.214
11329.223633, 3.110
11411.320312, 2.990
11494.011719, 2.844
11577.301758, 2.677
11661.195312, 2.502
11745.697266, 2.323
11830.811523, 2.133
11916.542969, 1.945
12002.894531, 1.761
12089.873047, 1.584
12177.480469, 1.431
12265.723633, 1.312
12354.606445, 1.210
12444.132812, 1.125
12534.308594, 1.077
12625.136719, 1.046
12716.624023, 1.033
12808.773438, 1.042
12901.591797, 1.069
12995.082031, 1.101
13089.250000, 1.135
13184.099609, 1.174
13279.636719, 1.221
13375.867188, 1.267
13472.793945, 1.311
13570.422852, 1.349
13668.759766, 1.381
13767.809570, 1.404
13867.577148, 1.418
13968.067383, 1.421
14069.285156, 1.412
14171.237305, 1.395
14273.927734, 1.372
14377.362305, 1.341
14481.546875, 1.302
14586.486328, 1.259
14692.185547, 1.213
14798.651367, 1.168
14905.888672, 1.126
15013.902344, 1.090
15122.700195, 1.063
15232.285156, 1.045
15342.664062, 1.041
15453.843750, 1.050
15565.829102, 1.073
15678.625000, 1.110
15792.239258, 1.162
15906.675781, 1.226
16021.942383, 1.301
16138.043945, 1.387
16254.986328, 1.479
16372.777344, 1.577
16491.421875, 1.678
16610.923828, 1.780
16731.294922, 1.882
16852.535156, 1.979
16974.656250, 2.072
17097.662109, 2.158
17221.558594, 2.235
17346.353516, 2.301
17472.052734, 2.353
17598.662109, 2.389
17726.189453, 2.405
17854.640625, 2.398
17984.021484, 2.365
18114.341797, 2.303
18245.605469, 2.207
18377.820312, 2.075
18510.994141, 1.903
18645.132812, 1.688
18780.242188, 1.430
18916.332031, 1.127
19053.408203, 0.782
19191.476562, 0.393
19330.546875, -0.031
19470.623047, -0.514
19611.714844, -1.141
19753.830078, -1.859
19896.974609, -3.348
