* Measurement data measured by REW V5.31.3
* Source: ISO 11904-1 DF (711 Z) 10dB w/ EQ filters
* Format: 
* Dated: Aug 17, 2024 10:38:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from C:\Users\therollo9\Documents\SquigLink\data\ISO 11904-1 DF (711 Z) 10dB Target.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,049 Hz log spaced  LS Q     Fc   105.0 Hz  Gain   6.60 dB Q  0.710 PK       Fc    2800 Hz  Gain  -1.80 dB  Q  1.000 HS Q     Fc    2500 Hz  Gain  -3.00 dB Q  0.420
* Measurement: Razan Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz), SPL(dB)
1545.017826, 2.236
1556.213662, 2.271
1567.490628, 2.306
1578.849311, 2.343
1590.290304, 2.381
1601.814203, 2.420
1613.421609, 2.462
1625.113127, 2.505
1636.889367, 2.550
1648.750942, 2.596
1660.698471, 2.643
1672.732576, 2.691
1684.853886, 2.740
1697.063032, 2.790
1709.360650, 2.841
1721.747382, 2.893
1734.223873, 2.946
1746.790774, 3.000
1759.448740, 3.056
1772.198431, 3.114
1785.040512, 3.172
1797.975651, 3.232
1811.004524, 3.294
1824.127809, 3.357
1837.346191, 3.421
1850.660359, 3.487
1864.071007, 3.554
1877.578834, 3.622
1891.184544, 3.693
1904.888847, 3.765
1918.692457, 3.838
1932.596093, 3.914
1946.600481, 3.990
1960.706351, 4.069
1974.914437, 4.150
1989.225481, 4.232
2003.640229, 4.317
2018.159432, 4.404
2032.783847, 4.492
2047.514237, 4.582
2062.351369, 4.675
2077.296017, 4.769
2092.348961, 4.866
2107.510984, 4.963
2122.782877, 5.061
2138.165437, 5.160
2153.659465, 5.259
2169.265769, 5.358
2184.985163, 5.457
2200.818466, 5.553
2216.766504, 5.647
2232.830108, 5.739
2249.010116, 5.828
2265.307370, 5.913
2281.722721, 5.994
2298.257024, 6.071
2314.911142, 6.144
2331.685943, 6.214
2348.582300, 6.280
2365.601096, 6.342
2382.743216, 6.401
2400.009556, 6.458
2417.401014, 6.512
2434.918499, 6.563
2452.562922, 6.611
2470.335204, 6.655
2488.236271, 6.696
2506.267057, 6.732
2524.428501, 6.764
2542.721551, 6.793
2561.147159, 6.819
2579.706287, 6.842
2598.399902, 6.864
2617.228979, 6.884
2636.194499, 6.902
2655.297451, 6.919
2674.538831, 6.934
2693.919642, 6.948
2713.440894, 6.959
2733.103606, 6.969
2752.908801, 6.976
2772.857513, 6.981
2792.950781, 6.984
2813.189654, 6.983
2833.575186, 6.980
2854.108440, 6.975
2874.790486, 6.966
2895.622403, 6.955
2916.605277, 6.941
2937.740201, 6.923
2959.028277, 6.903
2980.470616, 6.880
3002.068335, 6.854
3023.822559, 6.826
3045.734424, 6.794
3067.805071, 6.761
3090.035651, 6.726
3112.427324, 6.690
3134.981255, 6.653
3157.698621, 6.617
3180.580607, 6.580
3203.628406, 6.544
3226.843218, 6.507
3250.226254, 6.468
3273.778733, 6.427
3297.501883, 6.384
3321.396941, 6.339
3345.465153, 6.291
3369.707772, 6.241
3394.126064, 6.189
3418.721300, 6.135
3443.494764, 6.078
3468.447747, 6.020
3493.581549, 5.961
3518.897481, 5.900
3544.396863, 5.837
3570.081023, 5.773
3595.951302, 5.708
3622.009048, 5.641
3648.255618, 5.574
3674.692382, 5.506
3701.320718, 5.437
3728.142014, 5.367
3755.157668, 5.297
3782.369088, 5.226
3809.777694, 5.155
3837.384913, 5.084
3865.192186, 5.013
3893.200962, 4.942
3921.412701, 4.871
3949.828874, 4.800
3978.450962, 4.728
4007.280458, 4.656
4036.318864, 4.582
4065.567695, 4.509
4095.028474, 4.434
4124.702738, 4.359
4154.592035, 4.282
4184.697921, 4.204
4215.021967, 4.125
4245.565754, 4.045
4276.330874, 3.963
4307.318930, 3.879
4338.531539, 3.793
4369.970327, 3.705
4401.636933, 3.615
4433.533009, 3.524
4465.660216, 3.431
4498.020231, 3.337
4530.614740, 3.243
4563.445442, 3.149
4596.514049, 3.055
4629.822284, 2.962
4663.371885, 2.871
4697.164600, 2.780
4731.202191, 2.690
4765.486433, 2.601
4800.019112, 2.514
4834.802029, 2.428
4869.836997, 2.345
4905.125844, 2.264
