* Measurement data measured by REW V5.31
* Source: JM-1 10dB Target Filtered
* Format: 
* Dated: Apr 21, 2024 2:05:34 PM
120.599998, 4.369
122.000000, 4.305
124.099998, 4.212
125.000000, 4.173
126.500000, 4.108
128.000000, 4.045
131.500000, 3.901
132.000000, 3.881
134.000000, 3.802
136.000000, 3.725
138.000000, 3.650
140.000000, 3.578
143.000000, 3.472
145.000000, 3.404
147.500000, 3.322
150.000000, 3.242
152.500000, 3.165
155.000000, 3.091
157.500000, 3.020
160.000000, 2.951
162.500000, 2.885
165.000000, 2.820
167.500000, 2.757
170.000000, 2.697
172.500000, 2.639
175.000000, 2.583
177.500000, 2.529
180.000000, 2.476
182.500000, 2.426
185.000000, 2.378
187.500000, 2.331
190.000000, 2.286
192.500000, 2.243
195.000000, 2.202
197.500000, 2.162
200.000000, 2.124
203.000000, 2.080
206.000000, 2.039
209.000000, 2.000
212.000000, 1.963
214.000000, 1.940
218.000000, 1.896
220.000000, 1.875
224.000000, 1.837
227.000000, 1.810
230.000000, 1.785
233.000000, 1.761
236.000000, 1.740
240.000000, 1.713
243.000000, 1.695
247.000000, 1.673
250.000000, 1.657
254.000000, 1.639
258.000000, 1.621
262.000000, 1.605
265.000000, 1.593
269.000000, 1.579
272.000000, 1.569
276.000000, 1.557
280.000000, 1.546
285.000000, 1.533
290.000000, 1.522
295.000000, 1.511
300.000000, 1.501
304.000000, 1.495
307.000000, 1.490
311.000000, 1.484
315.000000, 1.478
320.000000, 1.472
325.000000, 1.466
330.000000, 1.461
335.000000, 1.457
340.000000, 1.452
345.000000, 1.449
350.000000, 1.445
355.000000, 1.442
360.000000, 1.439
365.000000, 1.436
370.000000, 1.433
375.000000, 1.430
382.000000, 1.425
387.000000, 1.422
395.000000, 1.415
400.000000, 1.410
406.000000, 1.404
412.000000, 1.397
418.000000, 1.389
425.000000, 1.379
431.000000, 1.370
437.000000, 1.361
444.000000, 1.349
450.000000, 1.340
455.000000, 1.331
462.000000, 1.320
468.000000, 1.309
475.000000, 1.297
482.000000, 1.284
487.000000, 1.275
494.000000, 1.262
500.000000, 1.251
508.000000, 1.236
515.000000, 1.222
522.000000, 1.209
530.000000, 1.194
538.000000, 1.179
545.000000, 1.166
552.000000, 1.153
560.000000, 1.139
570.000000, 1.122
580.000000, 1.106
590.000000, 1.091
600.000000, 1.076
608.000000, 1.064
615.000000, 1.054
622.000000, 1.043
630.000000, 1.031
640.000000, 1.016
650.000000, 1.000
660.000000, 0.984
670.000000, 0.966
680.000000, 0.948
690.000000, 0.929
700.000000, 0.910
710.000000, 0.890
720.000000, 0.872
730.000000, 0.853
740.000000, 0.835
750.000000, 0.819
762.000000, 0.800
775.000000, 0.783
788.000000, 0.768
800.000000, 0.756
812.000000, 0.747
825.000000, 0.740
838.000000, 0.736
850.000000, 0.735
862.000000, 0.736
875.000000, 0.738
885.000000, 0.741
900.000000, 0.748
912.000000, 0.754
925.000000, 0.764
938.000000, 0.775
950.000000, 0.788
962.000000, 0.804
975.000000, 0.825
988.000000, 0.850
1000.000000, 0.876
1015.000000, 0.915
1030.000000, 0.960
1044.000000, 1.006
1060.000000, 1.063
1075.000000, 1.119
1090.000000, 1.175
1106.000000, 1.233
1120.000000, 1.283
1138.000000, 1.343
1150.000000, 1.381
1172.000000, 1.448
1180.000000, 1.471
1206.000000, 1.544
1220.000000, 1.585
1241.000000, 1.647
1250.000000, 1.674
1265.000000, 1.721
1280.000000, 1.770
1315.000000, 1.890
1320.000000, 1.907
1340.000000, 1.979
1360.000000, 2.052
1380.000000, 2.127
1400.000000, 2.202
1430.000000, 2.316
1450.000000, 2.393
1475.000000, 2.489
1500.000000, 2.588
1525.000000, 2.688
1550.000000, 2.791
1575.000000, 2.894
1600.000000, 3.000
1625.000000, 3.107
1650.000000, 3.216
1675.000000, 3.326
1700.000000, 3.439
1725.000000, 3.555
1750.000000, 3.674
1775.000000, 3.797
1800.000000, 3.925
1825.000000, 4.057
1850.000000, 4.193
1875.000000, 4.334
1900.000000, 4.479
1925.000000, 4.629
1950.000000, 4.784
1975.000000, 4.945
2000.000000, 5.111
2030.000000, 5.317
2060.000000, 5.532
2090.000000, 5.753
2120.000000, 5.980
2140.000000, 6.133
2180.000000, 6.438
2200.000000, 6.588
2240.000000, 6.875
2270.000000, 7.078
2300.000000, 7.266
2330.000000, 7.441
2360.000000, 7.605
2400.000000, 7.808
2430.000000, 7.952
2470.000000, 8.135
2500.000000, 8.266
2540.000000, 8.435
2580.000000, 8.596
2620.000000, 8.750
2650.000000, 8.861
2690.000000, 9.000
2720.000000, 9.098
2760.000000, 9.217
2800.000000, 9.322
2850.000000, 9.433
2900.000000, 9.520
2950.000000, 9.584
3000.000000, 9.624
3040.000000, 9.641
3070.000000, 9.645
3110.000000, 9.639
3150.000000, 9.620
3200.000000, 9.579
3250.000000, 9.521
3300.000000, 9.446
3350.000000, 9.355
3400.000000, 9.252
3450.000000, 9.138
3500.000000, 9.015
3550.000000, 8.885
3600.000000, 8.750
3650.000000, 8.610
3700.000000, 8.467
3750.000000, 8.323
3820.000000, 8.121
3870.000000, 7.978
3950.000000, 7.754
4000.000000, 7.617
4060.000000, 7.456
4120.000000, 7.296
4180.000000, 7.137
4250.000000, 6.949
4310.000000, 6.783
4370.000000, 6.613
4440.000000, 6.411
4500.000000, 6.237
4550.000000, 6.094
4620.000000, 5.898
4680.000000, 5.736
4750.000000, 5.557
4820.000000, 5.388
4870.000000, 5.274
4940.000000, 5.125
5000.000000, 5.010
5080.000000, 4.874
5150.000000, 4.774
5220.000000, 4.691
5300.000000, 4.615
5380.000000, 4.556
5450.000000, 4.514
5520.000000, 4.479
5600.000000, 4.446
5700.000000, 4.413
5800.000000, 4.389
5900.000000, 4.373
6000.000000, 4.366
6080.000000, 4.367
6150.000000, 4.374
6220.000000, 4.387
6300.000000, 4.408
6400.000000, 4.444
6500.000000, 4.492
6600.000000, 4.549
6700.000000, 4.614
6800.000000, 4.686
6900.000000, 4.761
7000.000000, 4.836
7100.000000, 4.908
7200.000000, 4.973
7300.000000, 5.029
7400.000000, 5.071
7500.000000, 5.097
7620.000000, 5.104
7750.000000, 5.077
7880.000000, 5.012
8000.000000, 4.917
8120.000000, 4.786
8250.000000, 4.606
8380.000000, 4.387
8500.000000, 4.155
8620.000000, 3.899
8750.000000, 3.603
8850.000000, 3.371
9000.000000, 3.036
9120.000000, 2.792
9250.000000, 2.568
9380.000000, 2.396
9500.000000, 2.288
9620.000000, 2.229
9750.000000, 2.222
9880.000000, 2.271
10000.000000, 2.370
10150.000000, 2.563
10300.000000, 2.821
10440.000000, 3.094
10600.000000, 3.387
10750.000000, 3.583
10900.000000, 3.660
11060.000000, 3.599
11200.000000, 3.436
11380.000000, 3.114
11500.000000, 2.849
11720.000000, 2.304
11800.000000, 2.098
12060.000000, 1.452
12200.000000, 1.155
12410.000000, 0.811
12500.000000, 0.702
12650.000000, 0.569
12800.000000, 0.489
13150.000000, 0.414
13200.000000, 0.409
13400.000000, 0.393
13600.000000, 0.366
13800.000000, 0.312
14000.000000, 0.225
14300.000000, 0.036
14500.000000, -0.116
14750.000000, -0.316
15000.000000, -0.499
15250.000000, -0.634
15500.000000, -0.702
15750.000000, -0.697
16000.000000, -0.626
16250.000000, -0.506
16500.000000, -0.356
16750.000000, -0.198
17000.000000, -0.051
17250.000000, 0.070
17500.000000, 0.145
17750.000000, 0.157
18000.000000, 0.087
18250.000000, -0.083
18500.000000, -0.370
18750.000000, -0.784
19000.000000, -1.334
19250.000000, -2.058
19500.000000, -3.113
19750.000000, -4.638
20000.000000, -5.982
