* Measurement data measured by REW V5.31.3,
3820,10.828
3870,10.719
3950,10.555
4000,10.456
4060,10.343
4120,10.231
4180,10.119
4250,9.984
4310,9.864
4370,9.737
4440,9.581
4500,9.447
4550,9.336
4620,9.183
4680,9.057
4750,8.919
4820,8.79
4870,8.703
4940,8.591
5000,8.506
5080,8.411
5150,8.342
5220,8.294
5300,8.255
5380,8.231
5450,8.22
5520,8.216
5600,8.214
5700,8.219
5800,8.231
5900,8.25
6000,8.275
6080,8.301
6150,8.328
6220,8.361
6300,8.403
6400,8.466
6500,8.536
6600,8.616
6700,8.702
6800,8.792
6900,8.885
7000,8.975
7100,9.062
7200,9.139
7300,9.206
7400,9.256
7500,9.289
7620,9.302
7750,9.279
7880,9.214
8000,9.118
8120,8.982
8250,8.794
8380,8.566
8500,8.321
8620,8.051
8750,7.736
8850,7.489
9000,7.128
9120,6.864
9250,6.617
9380,6.422
9500,6.294
9620,6.213
9750,6.181
9880,6.202
10000,6.275
10150,6.435
10300,6.666
10440,6.922
10600,7.2
10750,7.379
10900,7.426
11060,7.32
11200,7.113
11380,6.732
11500,6.43
11720,5.816
11800,5.585
12060,4.857
12200,4.519
12410,4.124
12500,3.996
12650,3.83
12800,3.716
13150,3.567
13200,3.55
13400,3.49
13600,3.418
13800,3.317
14000,3.182
14300,2.919
14500,2.715
14750,2.451
15000,2.205
15250,2.011
15500,1.886
15750,1.839
16000,1.862
16250,1.935
16500,2.04
16750,2.156
17000,2.261
17250,2.342
17500,2.38
17750,2.357
18000,2.251
18250,2.045
18500,1.718
18750,1.263
19000,0.671
19250,-0.063
19500,-1.081
19750,-3.042
20000,-5.016
