* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -22.8 dBFS, measurement signal peak level -13.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:57:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.4764 ms (-1.192 m, -(3 ft 10.9 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,409.9 ppm
2.900000, 64.297, 72.3683
2.950000, 64.689, 70.7244
3.000000, 65.070, 69.0744
3.040000, 65.367, 67.7575
3.070000, 65.586, 66.7745
3.110000, 65.872, 65.4722
3.150000, 66.151, 64.1810
3.200000, 66.493, 62.5838
3.250000, 66.827, 61.0043
3.300000, 67.153, 59.4379
3.350000, 67.470, 57.8756
3.400000, 67.777, 56.3167
3.450000, 68.076, 54.7693
3.500000, 68.367, 53.2414
3.550000, 68.650, 51.7388
3.600000, 68.927, 50.2654
3.650000, 69.197, 48.8214
3.700000, 69.461, 47.3978
3.750000, 69.717, 45.9850
3.820000, 70.064, 44.0305
3.870000, 70.304, 42.6600
3.950000, 70.677, 40.5277
4.000000, 70.904, 39.2385
4.060000, 71.171, 37.7318
4.120000, 71.429, 36.2547
4.180000, 71.680, 34.8047
4.250000, 71.965, 33.1538
4.310000, 72.204, 31.7800
4.370000, 72.439, 30.4486
4.440000, 72.709, 28.9468
4.500000, 72.934, 27.6955
4.550000, 73.119, 26.6752
4.620000, 73.373, 25.2801
4.680000, 73.588, 24.1147
4.750000, 73.836, 22.7908
4.820000, 74.082, 21.5060
4.870000, 74.255, 20.6108
4.940000, 74.495, 19.3845
5.000000, 74.699, 18.3536
5.080000, 74.968, 17.0013
5.150000, 75.201, 15.8362
5.220000, 75.432, 14.6911
5.300000, 75.693, 13.4056
5.380000, 75.951, 12.1374
5.450000, 76.174, 11.0353
5.520000, 76.393, 9.9367
5.600000, 76.640, 8.6870
5.700000, 76.944, 7.1379
5.800000, 77.239, 5.6033
5.900000, 77.524, 4.0770
6.000000, 77.800, 2.5532
6.080000, 78.014, 1.3436
6.150000, 78.196, 0.2990
6.220000, 78.373, -0.7310
6.300000, 78.567, -1.8958
6.400000, 78.801, -3.3371
6.500000, 79.024, -4.7439
6.600000, 79.237, -6.0996
6.700000, 79.440, -7.4116
6.800000, 79.633, -8.6840
6.900000, 79.819, -9.9015
7.000000, 79.998, -11.0543
7.100000, 80.171, -12.1503
7.200000, 80.338, -13.1932
7.300000, 80.502, -14.1795
7.400000, 80.665, -15.1067
7.500000, 80.825, -15.9804
7.620000, 81.017, -16.9726
7.750000, 81.227, -17.9881
7.880000, 81.439, -18.9448
8.000000, 81.637, -19.7973
8.120000, 81.836, -20.6369
8.250000, 82.055, -21.5318
8.380000, 82.274, -22.4269
8.500000, 82.474, -23.2660
8.620000, 82.674, -24.1155
8.750000, 82.886, -25.0475
8.850000, 83.045, -25.7754
9.000000, 83.278, -26.8823
9.120000, 83.456, -27.7698
9.250000, 83.642, -28.7286
9.380000, 83.819, -29.6819
9.500000, 83.975, -30.5435
9.620000, 84.126, -31.3820
9.750000, 84.280, -32.2636
9.880000, 84.421, -33.1066
10.000000, 84.536, -33.8460
10.150000, 84.664, -34.7201
10.300000, 84.783, -35.5343
10.440000, 84.888, -36.2410
10.600000, 85.007, -36.9953
10.750000, 85.124, -37.6564
10.900000, 85.246, -38.2824
11.060000, 85.380, -38.9281
11.200000, 85.501, -39.4803
11.380000, 85.659, -40.1922
11.500000, 85.767, -40.6745
11.720000, 85.967, -41.5846
11.800000, 86.041, -41.9273
12.060000, 86.279, -43.0800
12.200000, 86.405, -43.7228
12.410000, 86.586, -44.7023
12.500000, 86.659, -45.1217
12.650000, 86.776, -45.8159
12.800000, 86.887, -46.4923
13.150000, 87.122, -47.9550
13.200000, 87.155, -48.1470
13.400000, 87.282, -48.8687
13.600000, 87.411, -49.5201
13.800000, 87.543, -50.1098
14.000000, 87.682, -50.6611
14.300000, 87.899, -51.4636
14.500000, 88.048, -52.0161
14.750000, 88.235, -52.7489
15.000000, 88.418, -53.5297
15.250000, 88.593, -54.3373
15.500000, 88.756, -55.1332
15.750000, 88.905, -55.8799
16.000000, 89.046, -56.5478
16.250000, 89.185, -57.1309
16.500000, 89.328, -57.6448
16.750000, 89.480, -58.1223
17.000000, 89.641, -58.6029
17.250000, 89.808, -59.1155
17.500000, 89.976, -59.6747
17.750000, 90.138, -60.2742
18.000000, 90.292, -60.8946
18.250000, 90.438, -61.5117
18.500000, 90.577, -62.1049
18.750000, 90.714, -62.6656
19.000000, 90.850, -63.1961
19.250000, 90.990, -63.7091
19.500000, 91.131, -64.2184
19.750000, 91.271, -64.7331
20.000000, 91.409, -65.2539
20.299999, 91.570, -65.8740
20.600000, 91.725, -66.4666
20.900000, 91.876, -67.0122
21.200001, 92.029, -67.5069
21.400000, 92.134, -67.8161
21.799999, 92.353, -68.4253
22.000000, 92.467, -68.7453
22.400000, 92.699, -69.4528
22.700001, 92.871, -70.0505
23.000000, 93.036, -70.6949
23.299999, 93.190, -71.3652
23.600000, 93.335, -72.0377
24.000000, 93.515, -72.9037
24.299999, 93.643, -73.5140
24.700001, 93.808, -74.2664
25.000000, 93.929, -74.7873
25.400000, 94.093, -75.4381
25.799999, 94.261, -76.0651
26.200001, 94.432, -76.7003
26.500000, 94.561, -77.1971
26.900000, 94.731, -77.8929
27.200001, 94.854, -78.4344
27.600000, 95.012, -79.1659
28.000000, 95.161, -79.8902
28.500000, 95.340, -80.7724
29.000000, 95.510, -81.6319
29.500000, 95.671, -82.4675
30.000000, 95.817, -83.2550
30.400000, 95.923, -83.8243
30.700001, 95.998, -84.2010
31.100000, 96.092, -84.6145
31.500000, 96.184, -84.8952
32.000000, 96.311, -85.0104
32.500000, 96.476, -84.8775
33.000000, 96.712, -84.6729
33.500000, 97.020, -84.7137
34.000000, 97.369, -85.2667
34.500000, 97.706, -86.3768
35.000000, 97.991, -87.8757
35.500000, 98.216, -89.5312
36.000000, 98.391, -91.1784
36.500000, 98.529, -92.7480
37.000000, 98.640, -94.2167
37.500000, 98.729, -95.5610
38.200001, 98.832, -97.2056
38.700001, 98.902, -98.2375
39.500000, 99.013, -99.7413
40.000000, 99.080, -100.6070
40.599998, 99.162, -101.5597
41.200001, 99.254, -102.4462
41.799999, 99.360, -103.3474
42.500000, 99.492, -104.5176
43.099998, 99.599, -105.6365
43.700001, 99.690, -106.8214
44.400002, 99.772, -108.2216
45.000000, 99.821, -109.3836
45.500000, 99.847, -110.2897
46.200001, 99.871, -111.4329
46.799999, 99.885, -112.3092
47.500000, 99.895, -113.2432
48.200001, 99.893, -114.0737
48.700001, 99.885, -114.5815
49.400002, 99.873, -115.1549
50.000000, 99.869, -115.5340
50.799999, 99.876, -115.9414
51.500000, 99.889, -116.2048
52.200001, 99.915, -116.3160
53.000000, 99.979, -116.2941
53.799999, 100.079, -116.2300
54.500000, 100.192, -116.1533
55.200001, 100.330, -116.1284
56.000000, 100.498, -116.2058
57.000000, 100.738, -116.2747
58.000000, 101.059, -116.9683
59.000000, 101.292, -118.6772
60.000000, 101.414, -120.3339
60.799999, 101.518, -121.6254
61.500000, 101.598, -122.8871
62.200001, 101.664, -124.1439
63.000000, 101.747, -125.5683
64.000000, 101.841, -127.4892
65.000000, 101.891, -129.3643
66.000000, 101.909, -131.0279
67.000000, 101.900, -132.4411
68.000000, 101.881, -133.6156
69.000000, 101.861, -134.6594
70.000000, 101.848, -135.6291
71.000000, 101.852, -136.6152
72.000000, 101.874, -137.6882
73.000000, 101.911, -138.8968
74.000000, 101.955, -140.2696
75.000000, 101.999, -141.8385
76.199997, 102.022, -144.0270
77.500000, 101.976, -146.5981
78.800003, 101.853, -149.1827
80.000000, 101.673, -151.4120
81.199997, 101.450, -153.3998
82.500000, 101.167, -155.1872
83.800003, 100.882, -156.5250
85.000000, 100.632, -157.5738
86.199997, 100.385, -158.4622
87.500000, 100.127, -159.2592
88.500000, 99.937, -159.7990
90.000000, 99.632, -160.6633
91.199997, 99.339, -161.0801
92.500000, 99.030, -161.1745
93.800003, 98.726, -161.2289
95.000000, 98.437, -161.2517
96.199997, 98.136, -161.2184
97.500000, 97.799, -161.0494
98.800003, 97.448, -160.6983
100.000000, 97.113, -160.1162
101.500000, 96.684, -159.0400
103.000000, 96.235, -157.5118
104.400002, 95.821, -155.5030
106.000000, 95.404, -152.5369
107.500000, 95.096, -149.3032
109.000000, 94.882, -145.7573
110.599998, 94.775, -141.9478
112.000000, 94.781, -138.8551
113.800003, 94.890, -135.4653
115.000000, 95.000, -133.4502
117.199997, 95.297, -130.1016
118.000000, 95.424, -129.1322
120.599998, 95.683, -127.4691
122.000000, 95.696, -126.3096
124.099998, 95.807, -124.3724
125.000000, 95.872, -123.7907
126.500000, 95.969, -122.8701
128.000000, 96.080, -121.8992
131.500000, 96.328, -120.3524
132.000000, 96.357, -120.1690
134.000000, 96.466, -119.4721
136.000000, 96.570, -118.7553
138.000000, 96.680, -118.1821
140.000000, 96.746, -117.8945
143.000000, 96.805, -117.3056
145.000000, 96.842, -117.0478
147.500000, 96.856, -116.7984
150.000000, 96.845, -116.4723
152.500000, 96.799, -116.0854
155.000000, 96.707, -115.7312
157.500000, 96.633, -115.2708
160.000000, 96.644, -114.4659
162.500000, 96.657, -114.0501
165.000000, 96.451, -113.5336
167.500000, 96.226, -112.7611
170.000000, 96.051, -112.1273
172.500000, 95.918, -111.1439
175.000000, 95.781, -110.0531
177.500000, 95.578, -109.1419
180.000000, 95.344, -108.2995
182.500000, 95.122, -107.4848
185.000000, 94.916, -106.4514
187.500000, 94.727, -105.0976
190.000000, 94.536, -103.5697
192.500000, 94.335, -102.0175
195.000000, 94.129, -100.4266
197.500000, 93.932, -98.6984
200.000000, 93.749, -96.9134
203.000000, 93.545, -94.8551
206.000000, 93.346, -92.8990
209.000000, 93.133, -90.8325
212.000000, 92.905, -88.6232
214.000000, 92.749, -87.1043
218.000000, 92.458, -83.9221
220.000000, 92.324, -82.3140
224.000000, 92.055, -79.1051
227.000000, 91.855, -76.6900
230.000000, 91.648, -74.3098
233.000000, 91.428, -71.9253
236.000000, 91.200, -69.4410
240.000000, 90.888, -65.9174
243.000000, 90.657, -63.0640
247.000000, 90.377, -59.1249
250.000000, 90.178, -56.1331
254.000000, 89.908, -52.1176
258.000000, 89.642, -48.0520
262.000000, 89.374, -43.8321
265.000000, 89.162, -40.5640
269.000000, 88.876, -36.1277
272.000000, 88.678, -32.6505
276.000000, 88.433, -27.7276
280.000000, 88.209, -22.4975
285.000000, 87.998, -15.5155
290.000000, 87.926, -8.2684
295.000000, 87.982, -1.4726
300.000000, 88.058, 4.4236
304.000000, 88.064, 8.7967
307.000000, 88.040, 12.1610
311.000000, 88.022, 17.0213
315.000000, 88.084, 22.1753
320.000000, 88.303, 28.1591
325.000000, 88.546, 32.9085
330.000000, 88.666, 36.7709
335.000000, 88.656, 40.6294
340.000000, 88.576, 44.8815
345.000000, 88.473, 49.6126
350.000000, 88.379, 54.7012
355.000000, 88.323, 59.8638
360.000000, 88.306, 64.9402
365.000000, 88.281, 69.9753
370.000000, 88.238, 74.9837
375.000000, 88.192, 80.0694
382.000000, 88.133, 87.3327
387.000000, 88.097, 92.5778
395.000000, 88.061, 101.0109
400.000000, 88.049, 106.3212
406.000000, 88.050, 112.7697
412.000000, 88.075, 119.1171
418.000000, 88.102, 125.3121
425.000000, 88.132, 132.4720
431.000000, 88.153, 138.5808
437.000000, 88.167, 144.6933
444.000000, 88.184, 151.8547
450.000000, 88.200, 158.0073
455.000000, 88.214, 163.1931
462.000000, 88.244, 170.5542
468.000000, 88.297, 176.8775
475.000000, 88.380, -175.9054
482.000000, 88.451, -168.8585
487.000000, 88.485, -163.8504
494.000000, 88.537, -156.8031
500.000000, 88.584, -150.7856
508.000000, 88.643, -142.7380
515.000000, 88.701, -135.6849
522.000000, 88.759, -128.6206
530.000000, 88.823, -120.5449
538.000000, 88.890, -112.4995
545.000000, 88.952, -105.4644
552.000000, 89.018, -98.4137
560.000000, 89.094, -90.4013
570.000000, 89.202, -80.3801
580.000000, 89.297, -70.3473
590.000000, 89.399, -60.4003
600.000000, 89.523, -50.4294
608.000000, 89.619, -42.5990
615.000000, 89.687, -35.7950
622.000000, 89.741, -28.9680
630.000000, 89.793, -21.1526
640.000000, 89.858, -11.4087
650.000000, 89.923, -1.5640
660.000000, 89.985, 8.3251
670.000000, 90.043, 18.3113
680.000000, 90.103, 28.2899
690.000000, 90.171, 38.1950
700.000000, 90.247, 48.1486
710.000000, 90.324, 58.0686
720.000000, 90.399, 67.9459
730.000000, 90.473, 77.7922
740.000000, 90.540, 87.6290
750.000000, 90.600, 97.4353
762.000000, 90.667, 109.2848
775.000000, 90.733, 122.1487
788.000000, 90.792, 134.9493
800.000000, 90.834, 146.7699
812.000000, 90.869, 158.6301
825.000000, 90.902, 171.4951
838.000000, 90.929, -175.6011
850.000000, 90.954, -163.6781
862.000000, 90.977, -151.7103
875.000000, 90.994, -138.6556
885.000000, 90.996, -128.6298
900.000000, 90.992, -113.5673
912.000000, 90.985, -101.4410
925.000000, 90.976, -88.2712
938.000000, 90.964, -75.0568
950.000000, 90.948, -62.8102
962.000000, 90.928, -50.5281
975.000000, 90.900, -37.1931
988.000000, 90.868, -23.7994
1000.000000, 90.840, -11.3688
1015.000000, 90.803, 4.2100
1030.000000, 90.759, 19.8424
1044.000000, 90.714, 34.4967
1060.000000, 90.657, 51.3364
1075.000000, 90.595, 67.2411
1090.000000, 90.535, 83.2684
1106.000000, 90.476, 100.5367
1120.000000, 90.423, 115.8174
1138.000000, 90.370, 135.7534
1150.000000, 90.360, 149.2429
1172.000000, 90.429, 174.2297
1180.000000, 90.483, -176.6863
1206.000000, 90.731, -147.7001
1220.000000, 90.884, -132.5306
1241.000000, 91.095, -110.1290
1250.000000, 91.172, -100.5862
1265.000000, 91.281, -84.7178
1280.000000, 91.370, -68.8838
1315.000000, 91.504, -31.7938
1320.000000, 91.518, -26.4738
1340.000000, 91.553, -5.1565
1360.000000, 91.557, 16.2435
1380.000000, 91.555, 37.7324
1400.000000, 91.563, 59.3578
1430.000000, 91.573, 91.9517
1450.000000, 91.570, 113.8433
1475.000000, 91.567, 141.4073
1500.000000, 91.581, 169.1105
1525.000000, 91.609, -163.1047
1550.000000, 91.642, -135.3091
1575.000000, 91.668, -107.5735
1600.000000, 91.675, -79.8158
1625.000000, 91.667, -51.9644
1650.000000, 91.655, -23.9414
1675.000000, 91.645, 4.2230
1700.000000, 91.632, 32.4648
1725.000000, 91.617, 60.7950
1750.000000, 91.603, 89.1981
1775.000000, 91.582, 117.6713
1800.000000, 91.542, 146.2625
1825.000000, 91.487, 175.0067
1850.000000, 91.417, -156.0128
1875.000000, 91.334, -126.6396
1900.000000, 91.276, -96.7046
1925.000000, 91.287, -66.4142
1950.000000, 91.366, -36.0767
1975.000000, 91.488, -5.7959
2000.000000, 91.646, 24.4656
2030.000000, 91.890, 60.7468
2060.000000, 92.190, 96.9268
2090.000000, 92.541, 132.9214
2120.000000, 92.937, 168.6011
2140.000000, 93.210, -167.8433
2180.000000, 93.745, -121.2490
2200.000000, 94.007, -98.1702
2240.000000, 94.518, -52.2856
2270.000000, 94.876, -17.9731
2300.000000, 95.210, 16.3052
2330.000000, 95.528, 50.5752
2360.000000, 95.842, 84.8396
2400.000000, 96.256, 130.3696
2430.000000, 96.555, 164.2952
2470.000000, 96.928, -150.6907
2500.000000, 97.186, -116.9771
2540.000000, 97.495, -72.0300
2580.000000, 97.760, -27.1272
2620.000000, 97.984, 17.7217
2650.000000, 98.124, 51.3579
2690.000000, 98.272, 96.2251
2720.000000, 98.353, 129.9067
2760.000000, 98.427, 174.9609
2800.000000, 98.467, -139.7583
2850.000000, 98.477, -82.8586
2900.000000, 98.457, -25.6245
2950.000000, 98.429, 31.9551
3000.000000, 98.411, 89.8191
3040.000000, 98.400, 136.2200
3070.000000, 98.396, 171.0869
3110.000000, 98.400, -142.3657
3150.000000, 98.415, -95.8862
3200.000000, 98.424, -38.1274
3250.000000, 98.393, 19.2075
3300.000000, 98.300, 76.3589
3350.000000, 98.122, 133.4688
3400.000000, 97.831, -169.5493
3450.000000, 97.380, -112.6597
3500.000000, 96.696, -55.3796
3550.000000, 95.732, 3.6719
3600.000000, 94.685, 66.5305
3650.000000, 94.019, 132.8647
3700.000000, 93.986, -160.4778
3750.000000, 94.409, -96.8022
3820.000000, 94.856, -14.0542
3870.000000, 94.698, 43.3296
3950.000000, 93.730, 136.9653
4000.000000, 92.882, -162.3525
4060.000000, 91.798, -87.3564
4120.000000, 90.725, -10.1753
4180.000000, 89.746, 69.2881
4250.000000, 88.913, 164.4023
4310.000000, 88.678, -117.0498
4370.000000, 88.743, -52.8921
4440.000000, 89.173, 1.8174
4500.000000, 89.950, 41.5952
4550.000000, 90.720, 72.6177
4620.000000, 91.802, 113.3677
4680.000000, 92.625, 146.1929
4750.000000, 93.379, -177.4629
4820.000000, 93.869, -142.5791
4870.000000, 94.053, -118.1641
4940.000000, 94.125, -84.2075
5000.000000, 94.111, -55.1147
5080.000000, 94.097, -16.8472
5150.000000, 94.059, 15.9277
5220.000000, 93.953, 48.2490
5300.000000, 93.742, 84.6045
5380.000000, 93.428, 119.9414
5450.000000, 93.004, 150.1235
5520.000000, 92.358, 179.9717
5600.000000, 91.302, -145.7651
5700.000000, 89.647, -101.0322
5800.000000, 87.953, -53.9453
5900.000000, 86.491, -5.4717
6000.000000, 85.360, 43.8662
6080.000000, 84.704, 83.3843
6150.000000, 84.326, 117.7959
6220.000000, 84.143, 151.8262
6300.000000, 84.183, -170.1758
6400.000000, 84.511, -124.6772
6500.000000, 84.903, -81.6558
6600.000000, 85.158, -40.7930
6700.000000, 85.211, -1.3901
6800.000000, 85.035, 37.1865
6900.000000, 84.638, 75.2954
7000.000000, 84.102, 113.5425
7100.000000, 83.600, 152.6128
7200.000000, 83.308, -167.5586
7300.000000, 83.286, -128.0181
7400.000000, 83.500, -89.6021
7500.000000, 83.915, -52.1812
7620.000000, 84.661, -8.8555
7750.000000, 85.712, 35.0254
7880.000000, 86.852, 76.8159
8000.000000, 87.927, 113.5088
8120.000000, 89.023, 147.7168
8250.000000, 90.203, -177.7144
8380.000000, 91.235, -145.6802
8500.000000, 91.877, -118.8857
8620.000000, 92.088, -93.8335
8750.000000, 91.829, -66.8091
8850.000000, 91.379, -46.0015
9000.000000, 90.517, -14.4204
9120.000000, 89.801, 11.4756
9250.000000, 89.042, 39.7642
9380.000000, 88.308, 68.2905
9500.000000, 87.675, 93.7207
9620.000000, 87.134, 118.8584
9750.000000, 86.769, 147.4346
9880.000000, 86.810, 175.9590
10000.000000, 87.295, -159.2983
10150.000000, 88.352, -131.3232
10300.000000, 89.589, -106.6055
10440.000000, 90.743, -86.4600
10600.000000, 92.047, -66.7378
10750.000000, 93.129, -52.2822
10900.000000, 93.691, -41.3442
11060.000000, 93.237, -32.1641
11200.000000, 91.829, -23.3193
11380.000000, 88.978, -9.8164
11500.000000, 86.663, 1.7705
11720.000000, 81.501, 35.5718
11800.000000, 79.496, 53.2368
12060.000000, 82.080, 101.9116
12200.000000, 85.505, -179.7593
12410.000000, 88.493, -93.9097
12500.000000, 89.195, -60.9644
12650.000000, 89.974, -6.2563
12800.000000, 90.531, 47.7065
13150.000000, 90.748, 173.7622
13200.000000, 90.577, -168.5029
13400.000000, 89.557, -96.6826
13600.000000, 88.801, -23.3818
13800.000000, 88.450, 50.1021
14000.000000, 87.741, 120.5547
14300.000000, 86.137, -130.7578
14500.000000, 85.690, -59.3745
14750.000000, 86.422, 25.9424
15000.000000, 86.878, 102.0078
15250.000000, 84.582, 172.5508
15500.000000, 79.032, -108.5137
15750.000000, 72.173, 17.9375
16000.000000, 69.111, -117.2402
16250.000000, 69.957, -26.7871
16500.000000, 71.087, 64.3594
16750.000000, 73.656, 151.3262
17000.000000, 77.063, -122.4736
17250.000000, 78.685, -46.0557
17500.000000, 77.455, 28.5801
17750.000000, 74.050, 110.7314
18000.000000, 69.562, -159.8027
18250.000000, 64.704, -58.1074
18500.000000, 62.785, 51.3105
18750.000000, 65.349, 152.7207
19000.000000, 68.324, -113.1738
19250.000000, 70.594, -27.7715
19500.000000, 71.694, 56.3135
19750.000000, 71.439, 135.9473
20000.000000, 69.833, -138.2051
20300.000000, 67.040, -32.2705
20600.000000, 64.577, 78.2666
20900.000000, 61.548, -168.1582
21200.000000, 57.202, -54.3711
21400.000000, 53.977, 22.2188
21800.000000, 46.568, -145.3418
22000.000000, 41.979, 147.2568
22400.000000, 33.797, 34.5781
22700.000000, 30.160, 121.3223
23000.000000, 25.408, 66.5127
23300.000000, 20.453, 124.0654
23600.000000, 18.039, -118.1543
24000.000000, 17.720, -156.9209
24300.000000, 17.733, -158.6133
24700.000000, 17.833, -175.7109
25000.000000, 17.992, -94.1973
25400.000000, 18.099, -89.8682
25800.000000, 18.055, -57.4229
26200.000000, 18.058, -28.7192
26500.000000, 18.187, 84.6279
26900.000000, 18.229, 154.4878
27200.000000, 18.169, -65.6807
27600.000000, 18.224, 46.6094
28000.000000, 18.353, -113.1562
28500.000000, 18.455, -99.6450
29000.000000, 18.415, -92.3901
29500.000000, 18.480, 86.6138
30000.000000, 18.683, 169.8706
30400.000000, 18.672, -59.0908
30700.000000, 18.566, 154.5723
31100.000000, 18.488, 170.1528
31500.000000, 18.561, -77.8384
32000.000000, 18.773, -12.8916
32500.000000, 18.880, 1.6758
33000.000000, 18.854, 104.0366
33500.000000, 19.083, -164.4326
34000.000000, 19.082, -96.9871
34500.000000, 19.128, 68.4211
35000.000000, 19.061, -99.1887
35500.000000, 19.048, 169.5632
36000.000000, 19.249, 176.1174
36500.000000, 19.412, -158.1055
37000.000000, 19.454, 74.0642
37500.000000, 19.503, -33.1216
38200.000000, 19.679, -155.7776
38700.000000, 19.619, 170.4924
39500.000000, 19.626, 74.4287
40000.000000, 19.696, 37.3250
40600.000000, 19.728, 116.2922
41200.000000, 19.757, 71.5271
41800.000000, 19.897, 159.9753
42500.000000, 20.030, 113.2996
43100.000000, 20.039, -25.2539
43700.000000, 20.071, -36.5095
44400.000000, 20.245, -55.3438
45000.000000, 20.353, -12.3743
45500.000000, 20.380, 35.0090
46200.000000, 20.453, 140.0098
46800.000000, 20.523, -141.6194
47500.000000, 20.582, -77.2046
48200.000000, 20.615, -9.2285
48700.000000, 20.563, 39.1868
49400.000000, 20.501, 108.6809
50000.000000, 20.523, -173.4265
50800.000000, 20.694, -43.5679
51500.000000, 20.803, 114.0986
52200.000000, 20.817, -75.3354
53000.000000, 20.880, 167.8516
53800.000000, 20.990, -16.5908
54500.000000, 21.108, 38.6484
55200.000000, 21.209, 137.6709
56000.000000, 21.324, -92.0522
57000.000000, 21.368, 45.3540
58000.000000, 21.371, -33.0474
59000.000000, 21.477, 80.4253
60000.000000, 21.536, 36.3008
60800.000000, 21.584, -93.6157
61500.000000, 21.692, 122.5703
62200.000000, 21.745, 91.8350
63000.000000, 21.794, -42.3613
64000.000000, 21.877, -67.8555
65000.000000, 21.961, -116.5781
66000.000000, 21.954, -148.2402
67000.000000, 21.871, -125.2666
68000.000000, 21.948, -109.8394
69000.000000, 22.187, -62.7827
70000.000000, 22.315, 39.4028
71000.000000, 22.346, 93.8926
72000.000000, 22.428, -175.6157
73000.000000, 22.564, -76.0837
74000.000000, 22.582, 86.6616
75000.000000, 22.587, -100.3538
76200.000000, 22.667, -67.2881
77500.000000, 22.720, -3.4700
78800.000000, 22.816, 142.8672
80000.000000, 22.853, -19.5115
81200.000000, 22.898, 165.3230
82500.000000, 22.842, -127.1406
83800.000000, 22.894, 69.6304
85000.000000, 23.069, -98.2266
86200.000000, 23.217, 152.9001
87500.000000, 23.298, 80.9705
88500.000000, 23.297, 54.1116
90000.000000, 23.173, 46.1279
91200.000000, 22.876, 92.8870
92500.000000, 22.075, 165.6882
93800.000000, 20.543, -115.8337
95000.000000, 18.705, -44.3452
