* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -32.5 dBFS, measurement signal peak level -9.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 6, 2024 10:25:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -3.1233 ms (-1.071 m, -(3 ft 6.2 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,098.7 ppm
4.000000, 76.520, 37.1257
4.060000, 76.828, 35.9779
4.120000, 77.133, 34.8635
4.180000, 77.433, 33.7771
4.250000, 77.780, 32.5294
4.310000, 78.073, 31.4640
4.370000, 78.363, 30.3937
4.440000, 78.698, 29.1422
4.500000, 78.982, 28.0783
4.550000, 79.217, 27.1978
4.620000, 79.540, 25.9667
4.680000, 79.813, 24.9050
4.750000, 80.125, 23.6503
4.820000, 80.430, 22.3779
4.870000, 80.644, 21.4630
4.940000, 80.938, 20.1791
5.000000, 81.184, 19.0780
5.080000, 81.503, 17.6090
5.150000, 81.772, 16.3176
5.220000, 82.032, 15.0137
5.300000, 82.319, 13.5170
5.380000, 82.594, 12.0324
5.450000, 82.826, 10.7548
5.520000, 83.047, 9.4956
5.600000, 83.289, 8.0628
5.700000, 83.574, 6.2918
5.800000, 83.843, 4.5831
5.900000, 84.097, 2.9573
6.000000, 84.335, 1.3886
6.080000, 84.514, 0.1775
6.150000, 84.666, -0.8369
6.220000, 84.815, -1.8006
6.300000, 84.979, -2.8432
6.400000, 85.176, -4.0735
6.500000, 85.369, -5.2259
6.600000, 85.561, -6.2946
6.700000, 85.754, -7.2767
6.800000, 85.946, -8.1874
6.900000, 86.141, -9.0504
7.000000, 86.342, -9.8754
7.100000, 86.548, -10.6574
7.200000, 86.758, -11.4153
7.300000, 86.972, -12.1783
7.400000, 87.191, -12.9540
7.500000, 87.413, -13.7363
7.620000, 87.682, -14.7023
7.750000, 87.971, -15.8091
7.880000, 88.257, -16.9712
8.000000, 88.516, -18.0844
8.120000, 88.765, -19.2396
8.250000, 89.024, -20.5343
8.380000, 89.271, -21.8454
8.500000, 89.485, -23.0585
8.620000, 89.686, -24.2739
8.750000, 89.891, -25.5652
8.850000, 90.039, -26.5279
9.000000, 90.248, -27.9263
9.120000, 90.405, -28.9900
9.250000, 90.568, -30.0736
9.380000, 90.724, -31.0916
9.500000, 90.866, -31.9726
9.620000, 91.007, -32.7949
9.750000, 91.158, -33.6271
9.880000, 91.303, -34.4115
10.000000, 91.429, -35.0979
10.150000, 91.581, -35.9158
10.300000, 91.730, -36.7127
10.440000, 91.868, -37.4447
10.600000, 92.029, -38.2817
10.750000, 92.184, -39.0790
10.900000, 92.341, -39.8891
11.060000, 92.507, -40.7714
11.200000, 92.650, -41.5577
11.380000, 92.828, -42.5797
11.500000, 92.943, -43.2654
11.720000, 93.147, -44.5183
11.800000, 93.219, -44.9690
12.060000, 93.450, -46.4064
12.200000, 93.571, -47.1554
12.410000, 93.749, -48.2422
12.500000, 93.824, -48.6931
12.650000, 93.947, -49.4250
12.800000, 94.069, -50.1341
13.150000, 94.351, -51.7106
13.200000, 94.392, -51.9288
13.400000, 94.556, -52.7881
13.600000, 94.722, -53.6334
13.800000, 94.889, -54.4715
14.000000, 95.056, -55.3082
14.300000, 95.302, -56.5660
14.500000, 95.463, -57.4063
14.750000, 95.658, -58.4534
15.000000, 95.849, -59.4898
15.250000, 96.039, -60.5071
15.500000, 96.226, -61.5004
15.750000, 96.408, -62.4689
16.000000, 96.589, -63.4164
16.250000, 96.767, -64.3502
16.500000, 96.943, -65.2771
16.750000, 97.117, -66.2027
17.000000, 97.288, -67.1283
17.250000, 97.457, -68.0513
17.500000, 97.620, -68.9665
17.750000, 97.778, -69.8676
18.000000, 97.932, -70.7501
18.250000, 98.083, -71.6124
18.500000, 98.232, -72.4557
18.750000, 98.380, -73.2842
19.000000, 98.528, -74.1029
19.250000, 98.676, -74.9166
19.500000, 98.824, -75.7291
19.750000, 98.969, -76.5425
20.000000, 99.113, -77.3578
20.299999, 99.282, -78.3387
20.600000, 99.447, -79.3214
20.900000, 99.608, -80.3037
21.200001, 99.763, -81.2816
21.400000, 99.864, -81.9286
21.799999, 100.060, -83.2039
22.000000, 100.156, -83.8305
22.400000, 100.346, -85.0639
22.700001, 100.487, -85.9796
23.000000, 100.627, -86.8976
23.299999, 100.765, -87.8252
23.600000, 100.900, -88.7642
24.000000, 101.072, -90.0220
24.299999, 101.194, -90.9540
24.700001, 101.349, -92.1605
25.000000, 101.463, -93.0342
25.400000, 101.615, -94.1733
25.799999, 101.767, -95.3161
26.200001, 101.917, -96.4918
26.500000, 102.022, -97.3960
26.900000, 102.152, -98.6079
27.200001, 102.241, -99.4991
27.600000, 102.351, -100.6409
28.000000, 102.457, -101.7335
28.500000, 102.588, -103.0769
29.000000, 102.710, -104.4369
29.500000, 102.809, -105.7726
30.000000, 102.887, -106.9796
30.400000, 102.942, -107.8107
30.700001, 102.986, -108.3649
31.100000, 103.050, -109.0424
31.500000, 103.116, -109.6637
32.000000, 103.197, -110.3019
32.500000, 103.290, -110.6721
33.000000, 103.439, -110.7920
33.500000, 103.676, -110.9534
34.000000, 103.988, -111.5627
34.500000, 104.317, -112.8362
35.000000, 104.600, -114.6804
35.500000, 104.809, -116.8256
36.000000, 104.947, -119.0130
36.500000, 105.033, -121.0880
37.000000, 105.084, -122.9938
37.500000, 105.114, -124.7237
38.200001, 105.135, -126.8740
38.700001, 105.144, -128.2407
39.500000, 105.154, -130.1783
40.000000, 105.162, -131.2509
40.599998, 105.176, -132.4123
41.200001, 105.201, -133.4572
41.799999, 105.242, -134.4344
42.500000, 105.312, -135.6042
43.099998, 105.379, -136.7050
43.700001, 105.438, -137.8739
44.400002, 105.500, -139.2519
45.000000, 105.555, -140.4624
45.500000, 105.601, -141.5387
46.200001, 105.653, -143.1634
46.799999, 105.678, -144.6048
47.500000, 105.687, -146.2552
48.200001, 105.681, -147.8275
48.700001, 105.670, -148.8941
49.400002, 105.650, -150.3155
50.000000, 105.626, -151.4732
50.799999, 105.585, -152.8961
51.500000, 105.548, -154.0195
52.200001, 105.516, -155.1078
53.000000, 105.472, -156.3557
53.799999, 105.420, -157.5449
54.500000, 105.376, -158.5580
55.200001, 105.335, -159.5806
56.000000, 105.296, -160.7690
57.000000, 105.255, -162.5222
58.000000, 105.138, -164.3533
59.000000, 105.009, -165.5702
60.000000, 104.951, -166.8444
60.799999, 104.867, -168.0919
61.500000, 104.755, -169.0080
62.200001, 104.640, -169.7139
63.000000, 104.516, -170.4173
64.000000, 104.352, -171.2059
65.000000, 104.179, -171.8291
66.000000, 104.006, -172.2497
67.000000, 103.848, -172.4356
68.000000, 103.726, -172.4221
69.000000, 103.651, -172.3665
70.000000, 103.619, -172.4112
71.000000, 103.620, -172.7068
72.000000, 103.621, -173.3635
73.000000, 103.590, -174.3091
74.000000, 103.509, -175.3836
75.000000, 103.372, -176.3947
76.199997, 103.154, -177.2988
77.500000, 102.883, -177.7472
78.800003, 102.620, -177.5729
80.000000, 102.423, -176.9850
81.199997, 102.282, -176.1647
82.500000, 102.197, -175.2021
83.800003, 102.173, -174.3226
85.000000, 102.191, -173.7303
86.199997, 102.229, -173.4065
87.500000, 102.276, -173.3920
88.500000, 102.301, -173.6370
90.000000, 102.297, -174.0445
91.199997, 102.313, -174.2469
92.500000, 102.346, -174.6678
93.800003, 102.361, -175.1765
95.000000, 102.356, -175.6837
96.199997, 102.329, -176.2255
97.500000, 102.277, -176.8952
98.800003, 102.193, -177.6581
100.000000, 102.079, -178.3381
101.500000, 101.898, -178.9184
103.000000, 101.690, -179.1531
104.400002, 101.476, -178.9918
106.000000, 101.241, -178.3333
107.500000, 101.066, -177.4197
109.000000, 100.949, -176.3588
110.599998, 100.888, -175.1114
112.000000, 100.883, -173.9824
113.800003, 100.933, -172.6931
115.000000, 100.991, -172.1307
117.199997, 101.130, -171.8856
118.000000, 101.183, -172.0673
120.599998, 101.329, -172.5306
122.000000, 101.460, -172.6515
124.099998, 101.620, -173.4226
125.000000, 101.652, -173.8864
126.500000, 101.665, -174.7442
128.000000, 101.653, -175.7043
131.500000, 101.575, -178.1031
132.000000, 101.557, -178.4403
134.000000, 101.462, -179.7767
136.000000, 101.328, 178.8522
138.000000, 101.162, 177.4501
140.000000, 100.979, 176.1930
143.000000, 100.674, 174.5401
145.000000, 100.420, 173.5075
147.500000, 100.060, 172.3288
150.000000, 99.693, 171.3206
152.500000, 99.307, 170.5834
155.000000, 98.869, 170.0121
157.500000, 98.408, 169.3955
160.000000, 98.026, 168.8695
162.500000, 97.650, 168.4603
165.000000, 97.125, 169.2502
167.500000, 96.591, 170.3835
170.000000, 96.105, 170.8305
172.500000, 95.652, 171.3171
175.000000, 95.214, 172.5155
177.500000, 94.725, 173.7734
180.000000, 94.211, 174.9696
182.500000, 93.735, 176.3316
185.000000, 93.325, 177.9379
187.500000, 92.920, 179.4115
190.000000, 92.493, -179.1613
192.500000, 92.065, -177.5959
195.000000, 91.638, -175.9030
197.500000, 91.208, -174.1481
200.000000, 90.784, -172.3956
203.000000, 90.279, -170.0663
206.000000, 89.791, -167.4416
209.000000, 89.313, -164.6297
212.000000, 88.837, -161.7019
214.000000, 88.519, -159.6941
218.000000, 87.901, -155.7075
220.000000, 87.609, -153.6638
224.000000, 87.047, -149.4489
227.000000, 86.631, -146.1203
230.000000, 86.227, -142.6682
233.000000, 85.830, -139.1009
236.000000, 85.428, -135.5490
240.000000, 84.898, -130.8305
243.000000, 84.539, -127.1299
247.000000, 84.089, -122.0524
250.000000, 83.743, -118.1624
254.000000, 83.296, -112.9468
258.000000, 82.891, -107.6912
262.000000, 82.483, -102.2884
265.000000, 82.190, -98.2163
269.000000, 81.842, -92.4389
272.000000, 81.599, -87.9161
276.000000, 81.229, -82.0999
280.000000, 80.877, -76.0573
285.000000, 80.549, -67.8577
290.000000, 80.319, -59.3805
295.000000, 80.162, -51.4983
300.000000, 80.056, -43.9809
304.000000, 79.966, -38.0451
307.000000, 79.894, -33.4265
311.000000, 79.846, -26.9445
315.000000, 79.895, -20.4582
320.000000, 80.117, -13.0662
325.000000, 80.378, -7.0287
330.000000, 80.527, -1.5878
335.000000, 80.559, 3.7932
340.000000, 80.533, 9.2886
345.000000, 80.490, 15.0243
350.000000, 80.436, 20.9524
355.000000, 80.380, 27.1289
360.000000, 80.364, 33.5370
365.000000, 80.400, 39.8879
370.000000, 80.461, 46.0305
375.000000, 80.527, 52.0703
382.000000, 80.631, 60.5436
387.000000, 80.717, 66.5611
395.000000, 80.882, 76.0507
400.000000, 81.009, 81.9051
406.000000, 81.175, 88.7515
412.000000, 81.340, 95.4491
418.000000, 81.503, 101.9971
425.000000, 81.698, 109.5152
431.000000, 81.851, 115.8250
437.000000, 81.992, 122.0955
444.000000, 82.168, 129.3608
450.000000, 82.334, 135.5986
455.000000, 82.472, 140.7987
462.000000, 82.668, 148.0251
468.000000, 82.843, 154.1160
475.000000, 83.059, 160.9692
482.000000, 83.278, 167.6501
487.000000, 83.422, 172.4294
494.000000, 83.604, 179.1155
500.000000, 83.758, -175.2058
508.000000, 83.957, -167.7018
515.000000, 84.126, -161.1808
522.000000, 84.290, -154.6916
530.000000, 84.473, -147.2879
538.000000, 84.652, -139.9455
545.000000, 84.801, -133.5477
552.000000, 84.946, -127.1652
560.000000, 85.106, -119.8998
570.000000, 85.307, -110.8350
580.000000, 85.509, -101.7820
590.000000, 85.708, -92.7299
600.000000, 85.907, -83.7893
608.000000, 86.061, -76.7143
615.000000, 86.185, -70.5850
622.000000, 86.299, -64.4663
630.000000, 86.423, -57.4727
640.000000, 86.573, -48.6836
650.000000, 86.717, -39.8729
660.000000, 86.864, -31.1048
670.000000, 87.002, -22.3768
680.000000, 87.134, -13.6679
690.000000, 87.266, -4.9990
700.000000, 87.400, 3.6401
710.000000, 87.533, 12.2230
720.000000, 87.658, 20.7175
730.000000, 87.767, 29.1180
740.000000, 87.856, 37.4390
750.000000, 87.925, 45.7606
762.000000, 87.988, 55.7427
775.000000, 88.036, 66.5175
788.000000, 88.053, 77.3221
800.000000, 88.041, 87.3481
812.000000, 88.012, 97.4395
825.000000, 87.955, 108.4370
838.000000, 87.869, 119.5563
850.000000, 87.770, 129.9528
862.000000, 87.659, 140.4749
875.000000, 87.527, 151.9939
885.000000, 87.417, 160.9410
900.000000, 87.234, 174.5138
912.000000, 87.077, -174.4765
925.000000, 86.907, -162.4058
938.000000, 86.732, -150.2006
950.000000, 86.565, -138.8195
962.000000, 86.396, -127.3268
975.000000, 86.209, -114.7256
988.000000, 86.024, -101.9814
1000.000000, 85.854, -90.0893
1015.000000, 85.645, -75.0447
1030.000000, 85.438, -59.8320
1044.000000, 85.250, -45.4859
1060.000000, 85.047, -28.8873
1075.000000, 84.868, -13.1288
1090.000000, 84.709, 2.7765
1106.000000, 84.559, 19.8829
1120.000000, 84.435, 35.0314
1138.000000, 84.299, 54.8569
1150.000000, 84.237, 68.3226
1172.000000, 84.231, 93.3397
1180.000000, 84.269, 102.4509
1206.000000, 84.519, 131.5448
1220.000000, 84.697, 146.7374
1241.000000, 84.956, 168.9985
1250.000000, 85.054, 178.4365
1265.000000, 85.201, -165.8734
1280.000000, 85.331, -150.1976
1315.000000, 85.588, -113.5322
1320.000000, 85.623, -108.2755
1340.000000, 85.757, -87.2039
1360.000000, 85.878, -66.0609
1380.000000, 86.004, -44.8750
1400.000000, 86.153, -23.6299
1430.000000, 86.418, 8.3398
1450.000000, 86.619, 29.7028
1475.000000, 86.893, 56.3398
1500.000000, 87.183, 82.8142
1525.000000, 87.487, 109.1174
1550.000000, 87.798, 135.2555
1575.000000, 88.098, 161.2216
1600.000000, 88.384, -172.9316
1625.000000, 88.653, -147.1287
1650.000000, 88.908, -121.3030
1675.000000, 89.158, -95.4253
1700.000000, 89.410, -69.5161
1725.000000, 89.667, -43.6111
1750.000000, 89.926, -17.7686
1775.000000, 90.178, 7.9911
1800.000000, 90.418, 33.7068
1825.000000, 90.646, 59.3915
1850.000000, 90.857, 85.0066
1875.000000, 91.043, 110.6451
1900.000000, 91.219, 136.5078
1925.000000, 91.417, 162.5811
1950.000000, 91.647, -171.3888
1975.000000, 91.888, -145.5365
2000.000000, 92.117, -119.8193
2030.000000, 92.372, -89.0430
2060.000000, 92.604, -58.2799
2090.000000, 92.820, -27.4713
2120.000000, 93.030, 3.4006
2140.000000, 93.167, 23.9934
2180.000000, 93.422, 65.1875
2200.000000, 93.542, 85.7683
2240.000000, 93.768, 126.8955
2270.000000, 93.920, 157.7886
2300.000000, 94.061, -171.2456
2330.000000, 94.197, -140.2471
2360.000000, 94.325, -109.2397
2400.000000, 94.491, -67.8347
2430.000000, 94.619, -36.7214
2470.000000, 94.784, 4.7759
2500.000000, 94.898, 35.8440
2540.000000, 95.027, 77.1643
2580.000000, 95.129, 118.4937
2620.000000, 95.211, 159.9417
2650.000000, 95.260, -168.8896
2690.000000, 95.308, -127.2734
2720.000000, 95.325, -96.0718
2760.000000, 95.325, -54.4741
2800.000000, 95.298, -12.8350
2850.000000, 95.228, 39.3267
2900.000000, 95.122, 91.6687
2950.000000, 94.977, 144.2141
3000.000000, 94.797, -163.0061
3040.000000, 94.636, -120.6069
3070.000000, 94.509, -88.7153
3110.000000, 94.336, -46.0740
3150.000000, 94.161, -3.3367
3200.000000, 93.937, 50.0574
3250.000000, 93.694, 103.2725
3300.000000, 93.396, 156.3088
3350.000000, 93.011, -150.7837
3400.000000, 92.508, -97.8706
3450.000000, 91.847, -44.6682
3500.000000, 90.978, 9.4583
3550.000000, 89.932, 66.0034
3600.000000, 89.002, 126.3750
3650.000000, 88.578, -171.3872
3700.000000, 88.650, -110.7231
3750.000000, 88.943, -53.2622
3820.000000, 89.058, 22.5557
3870.000000, 88.702, 75.9941
3950.000000, 87.571, 163.9275
4000.000000, 86.714, -138.9790
4060.000000, 85.696, -68.5847
4120.000000, 84.779, 2.9863
4180.000000, 84.048, 72.7231
4250.000000, 83.253, 141.0605
4310.000000, 82.640, -172.6768
4370.000000, 82.340, -130.1108
4440.000000, 82.339, -81.7310
4500.000000, 82.559, -41.5415
4550.000000, 82.834, -9.2388
4620.000000, 83.260, 34.1333
4680.000000, 83.593, 69.9541
4750.000000, 83.883, 110.5957
4820.000000, 84.027, 150.2285
4870.000000, 84.031, 178.0513
4940.000000, 83.923, -143.3018
5000.000000, 83.819, -110.1006
5080.000000, 83.761, -65.9775
5150.000000, 83.748, -27.9971
5220.000000, 83.724, 9.1782
5300.000000, 83.686, 50.6538
5380.000000, 83.635, 91.0781
5450.000000, 83.509, 125.5112
5520.000000, 83.219, 159.2251
5600.000000, 82.634, -162.4829
5700.000000, 81.595, -114.0366
5800.000000, 80.440, -64.5244
5900.000000, 79.320, -14.2305
6000.000000, 78.232, 36.2134
6080.000000, 77.377, 76.6934
6150.000000, 76.653, 112.2241
6220.000000, 75.975, 147.6963
6300.000000, 75.282, -172.0391
6400.000000, 74.515, -122.2979
6500.000000, 73.714, -73.3809
6600.000000, 72.756, -24.6982
6700.000000, 71.643, 24.9160
6800.000000, 70.476, 75.8574
6900.000000, 69.412, 127.6226
7000.000000, 68.636, -179.9624
7100.000000, 68.272, -127.2139
7200.000000, 68.346, -75.2256
7300.000000, 68.786, -24.6499
7400.000000, 69.475, 24.6543
7500.000000, 70.319, 72.4702
7620.000000, 71.484, 127.5542
7750.000000, 72.867, -175.7324
7880.000000, 74.228, -121.6831
8000.000000, 75.441, -73.9863
8120.000000, 76.665, -28.3105
8250.000000, 78.047, 19.0938
8380.000000, 79.431, 63.3730
8500.000000, 80.566, 101.9033
8620.000000, 81.347, 139.2217
8750.000000, 81.608, 177.6187
8850.000000, 81.378, -154.0366
9000.000000, 80.462, -111.2666
9120.000000, 79.415, -75.1401
9250.000000, 78.169, -34.0288
9380.000000, 77.001, 8.0312
9500.000000, 76.131, 47.0020
9620.000000, 75.531, 85.8311
9750.000000, 75.139, 127.6948
9880.000000, 74.897, 168.5947
10000.000000, 74.708, -154.2773
10150.000000, 74.379, -108.7314
10300.000000, 73.890, -63.7222
10440.000000, 73.474, -21.3232
10600.000000, 73.625, 26.5425
10750.000000, 74.662, 69.5337
10900.000000, 76.107, 108.9365
11060.000000, 77.354, 146.0923
11200.000000, 77.718, 175.9844
11380.000000, 76.905, -147.0063
11500.000000, 75.717, -123.1450
11720.000000, 73.061, -77.4106
11800.000000, 72.120, -41.4839
12060.000000, 69.241, 92.0674
12200.000000, 68.894, 161.3594
12410.000000, 70.702, -98.3398
12500.000000, 71.552, -57.7646
12650.000000, 72.617, 7.1191
12800.000000, 73.303, 70.3511
13150.000000, 73.978, -145.9229
13200.000000, 74.008, -125.7017
13400.000000, 73.926, -46.3711
13600.000000, 73.340, 34.3525
13800.000000, 72.360, 116.0615
14000.000000, 71.531, -163.1406
14300.000000, 71.520, -42.8223
14500.000000, 72.310, 35.1768
14750.000000, 73.485, 125.8438
15000.000000, 73.794, -151.6592
15250.000000, 72.182, -73.4756
15500.000000, 68.624, 70.1689
15750.000000, 65.344, -128.1240
16000.000000, 64.519, -34.3555
16250.000000, 64.712, 57.7637
16500.000000, 64.644, 149.9580
16750.000000, 63.966, -116.4326
17000.000000, 63.600, -21.6348
17250.000000, 63.705, 70.5537
17500.000000, 62.199, 162.3262
17750.000000, 58.774, -98.9971
18000.000000, 54.865, 10.6836
18250.000000, 56.433, 134.1367
18500.000000, 62.277, -113.3369
18750.000000, 66.936, -17.6309
19000.000000, 69.953, 65.8457
19250.000000, 71.265, 144.3789
19500.000000, 71.084, -137.3770
19750.000000, 69.790, -57.6006
20000.000000, 67.600, 27.8604
20300.000000, 64.148, 136.1992
20600.000000, 60.497, -107.7891
20900.000000, 56.769, 9.1006
21200.000000, 52.381, 134.7891
21400.000000, 48.918, -137.0059
21800.000000, 41.077, 15.1357
22000.000000, 36.892, -166.2695
22400.000000, 29.635, -99.3340
22700.000000, 25.549, -156.3291
23000.000000, 21.515, 89.3301
23300.000000, 18.676, 117.7832
23600.000000, 17.682, 175.0078
24000.000000, 17.204, 129.2363
