* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.6 dBFS, measurement signal peak level -6.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:45:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.5735 ms (-883 mm, -(2 ft 10.75 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,300.2 ppm
2.060000, 57.117, 105.0504
2.090000, 57.519, 104.2338
2.120000, 57.914, 103.3728
2.140000, 58.174, 102.7721
2.180000, 58.684, 101.5051
2.200000, 58.935, 100.8434
2.240000, 59.426, 99.5025
2.270000, 59.785, 98.5010
2.300000, 60.137, 97.5049
2.330000, 60.481, 96.5122
2.360000, 60.819, 95.5202
2.400000, 61.259, 94.1937
2.430000, 61.582, 93.1922
2.470000, 62.005, 91.8423
2.500000, 62.315, 90.8151
2.540000, 62.722, 89.4210
2.580000, 63.121, 88.0006
2.620000, 63.509, 86.5708
2.650000, 63.793, 85.5003
2.690000, 64.163, 84.0797
2.720000, 64.434, 83.0206
2.760000, 64.788, 81.6174
2.800000, 65.133, 80.2238
2.850000, 65.554, 78.4925
2.900000, 65.965, 76.7677
2.950000, 66.365, 75.0424
3.000000, 66.752, 73.3146
3.040000, 67.053, 71.9366
3.070000, 67.273, 70.9092
3.110000, 67.561, 69.5508
3.150000, 67.842, 68.2083
3.200000, 68.185, 66.5553
3.250000, 68.520, 64.9311
3.300000, 68.846, 63.3319
3.350000, 69.163, 61.7456
3.400000, 69.471, 60.1681
3.450000, 69.769, 58.6067
3.500000, 70.059, 57.0694
3.550000, 70.341, 55.5623
3.600000, 70.617, 54.0899
3.650000, 70.887, 52.6532
3.700000, 71.151, 51.2442
3.750000, 71.408, 49.8529
3.820000, 71.756, 47.9364
3.870000, 71.997, 46.5963
3.950000, 72.373, 44.5140
4.000000, 72.603, 43.2559
4.060000, 72.873, 41.7879
4.120000, 73.137, 40.3547
4.180000, 73.395, 38.9524
4.250000, 73.688, 37.3568
4.310000, 73.935, 36.0261
4.370000, 74.178, 34.7310
4.440000, 74.458, 33.2647
4.500000, 74.694, 32.0420
4.550000, 74.888, 31.0443
4.620000, 75.155, 29.6761
4.680000, 75.382, 28.5268
4.750000, 75.643, 27.2109
4.820000, 75.902, 25.9230
4.870000, 76.085, 25.0206
4.940000, 76.339, 23.7785
5.000000, 76.553, 22.7291
5.080000, 76.836, 21.3450
5.150000, 77.079, 20.1442
5.220000, 77.320, 18.9551
5.300000, 77.592, 17.6118
5.380000, 77.858, 16.2829
5.450000, 78.087, 15.1282
5.520000, 78.311, 13.9778
5.600000, 78.562, 12.6666
5.700000, 78.868, 11.0398
5.800000, 79.163, 9.4360
5.900000, 79.447, 7.8547
6.000000, 79.720, 6.2851
6.080000, 79.931, 5.0456
6.150000, 80.109, 3.9819
6.220000, 80.282, 2.9415
6.300000, 80.473, 1.7749
6.400000, 80.702, 0.3441
6.500000, 80.921, -1.0411
6.600000, 81.132, -2.3644
6.700000, 81.334, -3.6310
6.800000, 81.528, -4.8479
6.900000, 81.717, -6.0077
7.000000, 81.902, -7.1037
7.100000, 82.083, -8.1407
7.200000, 82.261, -9.1273
7.300000, 82.438, -10.0686
7.400000, 82.615, -10.9645
7.500000, 82.792, -11.8183
7.620000, 83.004, -12.8056
7.750000, 83.236, -13.8472
7.880000, 83.469, -14.8605
8.000000, 83.684, -15.7853
8.120000, 83.897, -16.7149
8.250000, 84.126, -17.7257
8.380000, 84.350, -18.7387
8.500000, 84.551, -19.6797
8.620000, 84.746, -20.6243
8.750000, 84.949, -21.6357
8.850000, 85.099, -22.4000
9.000000, 85.314, -23.5239
9.120000, 85.478, -24.3871
9.250000, 85.650, -25.2742
9.380000, 85.815, -26.1139
9.500000, 85.966, -26.8425
9.620000, 86.116, -27.5219
9.750000, 86.278, -28.2103
9.880000, 86.434, -28.8626
10.000000, 86.573, -29.4369
10.150000, 86.741, -30.1321
10.300000, 86.908, -30.8346
10.440000, 87.065, -31.5064
10.600000, 87.247, -32.3131
10.750000, 87.420, -33.1252
10.900000, 87.593, -33.9864
11.060000, 87.769, -34.9574
11.200000, 87.915, -35.8455
11.380000, 88.088, -37.0053
11.500000, 88.193, -37.7800
11.720000, 88.367, -39.1611
11.800000, 88.426, -39.6387
12.060000, 88.607, -41.0815
12.200000, 88.703, -41.7724
12.410000, 88.848, -42.7058
12.500000, 88.913, -43.0742
12.650000, 89.025, -43.6541
12.800000, 89.145, -44.2170
13.150000, 89.450, -45.5771
13.200000, 89.495, -45.7880
13.400000, 89.680, -46.6889
13.600000, 89.860, -47.6844
13.800000, 90.027, -48.7658
14.000000, 90.172, -49.8890
14.300000, 90.341, -51.5464
14.500000, 90.422, -52.5423
14.750000, 90.498, -53.5697
15.000000, 90.564, -54.2961
15.250000, 90.643, -54.7086
15.500000, 90.752, -54.8724
15.750000, 90.903, -54.8984
16.000000, 91.097, -54.9267
16.250000, 91.324, -55.0786
16.500000, 91.569, -55.4216
16.750000, 91.815, -55.9699
17.000000, 92.048, -56.6812
17.250000, 92.260, -57.4877
17.500000, 92.449, -58.3141
17.750000, 92.619, -59.0973
18.000000, 92.778, -59.8046
18.250000, 92.934, -60.4318
18.500000, 93.095, -61.0047
18.750000, 93.262, -61.5629
19.000000, 93.434, -62.1448
19.250000, 93.608, -62.7760
19.500000, 93.776, -63.4563
19.750000, 93.933, -64.1668
20.000000, 94.077, -64.8740
20.299999, 94.236, -65.6702
20.600000, 94.386, -66.3746
20.900000, 94.537, -66.9871
21.200001, 94.697, -67.5447
21.400000, 94.809, -67.9138
21.799999, 95.040, -68.7055
22.000000, 95.156, -69.1399
22.400000, 95.378, -70.0665
22.700001, 95.534, -70.7717
23.000000, 95.684, -71.4524
23.299999, 95.834, -72.1031
23.600000, 95.988, -72.7447
24.000000, 96.200, -73.6484
24.299999, 96.359, -74.3960
24.700001, 96.556, -75.4804
25.000000, 96.687, -76.3185
25.400000, 96.842, -77.3910
25.799999, 96.982, -78.3581
26.200001, 97.121, -79.2283
26.500000, 97.228, -79.8518
26.900000, 97.371, -80.6887
27.200001, 97.475, -81.3293
27.600000, 97.601, -82.1784
28.000000, 97.713, -82.9797
28.500000, 97.839, -83.8658
29.000000, 97.954, -84.6070
29.500000, 98.058, -85.1728
30.000000, 98.155, -85.4661
30.400000, 98.243, -85.4309
30.700001, 98.330, -85.2427
31.100000, 98.493, -84.8499
31.500000, 98.723, -84.4632
32.000000, 99.099, -84.3341
32.500000, 99.527, -84.9013
33.000000, 99.939, -86.2230
33.500000, 100.282, -88.0898
34.000000, 100.538, -90.1762
34.500000, 100.721, -92.2015
35.000000, 100.857, -94.0194
35.500000, 100.968, -95.6082
36.000000, 101.067, -96.9892
36.500000, 101.162, -98.1662
37.000000, 101.265, -99.1403
37.500000, 101.394, -99.9651
38.200001, 101.635, -101.1156
38.700001, 101.841, -102.1370
39.500000, 102.172, -104.3155
40.000000, 102.350, -105.9663
40.599998, 102.520, -108.0850
41.200001, 102.646, -110.2290
41.799999, 102.741, -112.3685
42.500000, 102.808, -114.8603
43.099998, 102.822, -116.9088
43.700001, 102.805, -118.7765
44.400002, 102.769, -120.7222
45.000000, 102.729, -122.2499
45.500000, 102.686, -123.4303
46.200001, 102.612, -124.9008
46.799999, 102.543, -125.9685
47.500000, 102.467, -126.9841
48.200001, 102.406, -127.7881
48.700001, 102.377, -128.2778
49.400002, 102.356, -128.8950
50.000000, 102.358, -129.4073
50.799999, 102.381, -130.1753
51.500000, 102.404, -130.9134
52.200001, 102.435, -131.6601
53.000000, 102.484, -132.6896
53.799999, 102.501, -133.9006
54.500000, 102.489, -134.8932
55.200001, 102.470, -135.8797
56.000000, 102.401, -136.9306
57.000000, 102.297, -137.6308
58.000000, 102.237, -138.2069
59.000000, 102.152, -138.2593
60.000000, 102.224, -138.1495
60.799999, 102.266, -138.7077
61.500000, 102.250, -138.8653
62.200001, 102.301, -138.7850
63.000000, 102.390, -139.2027
64.000000, 102.381, -139.4039
65.000000, 102.532, -138.7445
66.000000, 102.773, -139.2895
67.000000, 102.891, -139.7703
68.000000, 103.155, -139.7215
69.000000, 103.512, -141.0207
70.000000, 103.702, -143.0519
71.000000, 103.832, -144.3459
72.000000, 104.085, -145.5345
73.000000, 104.360, -147.7796
74.000000, 104.479, -150.6802
75.000000, 104.449, -153.0855
76.199997, 104.435, -154.8788
77.500000, 104.593, -156.8495
78.800003, 104.778, -160.0172
80.000000, 104.812, -163.5825
81.199997, 104.688, -166.9476
82.500000, 104.448, -169.8737
83.800003, 104.189, -172.0898
85.000000, 103.994, -173.8002
86.199997, 103.860, -175.5667
87.500000, 103.746, -177.7983
88.500000, 103.642, -179.7585
90.000000, 103.387, 176.9846
91.199997, 103.060, 174.1457
92.500000, 102.561, 170.8102
93.800003, 101.925, 167.2924
95.000000, 101.258, 164.1002
96.199997, 100.555, 161.3988
97.500000, 99.791, 159.6963
98.800003, 99.046, 159.8492
100.000000, 98.386, 161.8578
101.500000, 97.634, 166.4435
103.000000, 97.012, 172.1439
104.400002, 96.601, 177.1272
106.000000, 96.360, -178.6425
107.500000, 96.328, -176.1626
109.000000, 96.414, -174.4220
110.599998, 96.537, -172.8855
112.000000, 96.586, -171.7005
113.800003, 96.531, -170.5152
115.000000, 96.435, -169.9849
117.199997, 96.221, -169.2398
118.000000, 96.147, -168.9322
120.599998, 95.898, -167.4054
122.000000, 95.744, -166.2132
124.099998, 95.501, -164.2566
125.000000, 95.402, -163.4115
126.500000, 95.255, -161.9533
128.000000, 95.137, -160.3591
131.500000, 94.938, -156.2408
132.000000, 94.916, -155.6318
134.000000, 94.853, -153.2737
136.000000, 94.831, -151.0926
138.000000, 94.844, -149.0158
140.000000, 94.881, -147.0326
143.000000, 94.961, -144.3452
145.000000, 95.027, -142.7295
147.500000, 95.117, -140.8998
150.000000, 95.203, -139.2491
152.500000, 95.286, -137.7369
155.000000, 95.364, -136.3748
157.500000, 95.435, -135.1433
160.000000, 95.500, -134.0176
162.500000, 95.556, -133.0021
165.000000, 95.596, -132.0791
167.500000, 95.626, -131.1937
170.000000, 95.647, -130.3449
172.500000, 95.655, -129.5359
175.000000, 95.647, -128.7622
177.500000, 95.624, -128.0112
180.000000, 95.591, -127.2444
182.500000, 95.548, -126.4510
185.000000, 95.496, -125.6285
187.500000, 95.437, -124.7854
190.000000, 95.375, -123.9252
192.500000, 95.310, -123.0180
195.000000, 95.242, -122.0382
197.500000, 95.173, -121.0152
200.000000, 95.108, -119.9768
203.000000, 95.035, -118.7508
206.000000, 94.955, -117.5634
209.000000, 94.865, -116.3505
212.000000, 94.776, -115.0469
214.000000, 94.724, -114.1584
218.000000, 94.629, -112.4934
220.000000, 94.577, -111.7549
224.000000, 94.445, -110.3617
227.000000, 94.322, -109.2749
230.000000, 94.182, -108.1105
233.000000, 94.029, -106.8459
236.000000, 93.871, -105.4560
240.000000, 93.661, -103.4386
243.000000, 93.510, -101.8529
247.000000, 93.318, -99.7125
250.000000, 93.172, -98.1247
254.000000, 92.964, -95.9875
258.000000, 92.740, -93.7677
262.000000, 92.500, -91.4252
265.000000, 92.310, -89.5580
269.000000, 92.047, -86.8750
272.000000, 91.849, -84.6678
276.000000, 91.593, -81.3642
280.000000, 91.375, -77.6083
285.000000, 91.228, -72.4632
290.000000, 91.255, -67.6500
295.000000, 91.322, -63.9812
300.000000, 91.290, -60.8277
304.000000, 91.231, -57.9734
307.000000, 91.217, -55.5839
311.000000, 91.278, -52.4881
315.000000, 91.395, -50.0892
320.000000, 91.471, -48.1919
325.000000, 91.377, -46.6207
330.000000, 91.154, -44.6050
335.000000, 90.880, -42.0125
340.000000, 90.597, -38.9262
345.000000, 90.319, -35.4662
350.000000, 90.057, -31.6799
355.000000, 89.828, -27.6039
360.000000, 89.651, -23.4048
365.000000, 89.508, -19.3686
370.000000, 89.360, -15.4871
375.000000, 89.202, -11.5386
382.000000, 88.984, -5.7840
387.000000, 88.841, -1.5501
395.000000, 88.647, 5.3665
400.000000, 88.548, 9.7207
406.000000, 88.446, 14.9457
412.000000, 88.367, 20.1882
418.000000, 88.315, 25.3296
425.000000, 88.256, 31.0436
431.000000, 88.180, 35.8777
437.000000, 88.095, 40.9265
444.000000, 88.017, 46.9623
450.000000, 87.964, 52.1345
455.000000, 87.925, 56.4969
462.000000, 87.896, 62.6759
468.000000, 87.899, 67.8882
475.000000, 87.908, 73.7630
482.000000, 87.905, 79.5606
487.000000, 87.900, 83.7314
494.000000, 87.894, 89.6214
500.000000, 87.892, 94.6991
508.000000, 87.897, 101.5138
515.000000, 87.912, 107.5103
522.000000, 87.937, 113.5201
530.000000, 87.976, 120.3864
538.000000, 88.029, 127.2645
545.000000, 88.089, 133.3240
552.000000, 88.160, 139.4072
560.000000, 88.255, 146.3478
570.000000, 88.397, 154.9351
580.000000, 88.559, 163.4357
590.000000, 88.748, 171.8915
600.000000, 88.958, -179.8119
608.000000, 89.126, -173.2969
615.000000, 89.271, -167.6278
622.000000, 89.420, -161.9781
630.000000, 89.598, -155.5641
640.000000, 89.835, -147.6881
650.000000, 90.077, -139.9612
660.000000, 90.320, -132.3174
670.000000, 90.564, -124.7397
680.000000, 90.814, -117.2509
690.000000, 91.069, -109.8638
700.000000, 91.325, -102.5846
710.000000, 91.581, -95.4297
720.000000, 91.834, -88.4193
730.000000, 92.082, -81.5360
740.000000, 92.320, -74.7888
750.000000, 92.542, -68.1639
762.000000, 92.789, -60.3248
775.000000, 93.039, -51.9008
788.000000, 93.265, -43.5393
800.000000, 93.443, -35.8846
812.000000, 93.592, -28.2505
825.000000, 93.736, -19.9830
838.000000, 93.864, -11.7276
850.000000, 93.957, -4.1014
862.000000, 94.026, 3.6116
875.000000, 94.078, 12.0323
885.000000, 94.109, 18.5505
900.000000, 94.144, 28.4610
912.000000, 94.159, 36.4833
925.000000, 94.164, 45.2341
938.000000, 94.160, 54.0573
950.000000, 94.150, 62.2709
962.000000, 94.134, 70.5643
975.000000, 94.106, 79.6394
988.000000, 94.072, 88.7992
1000.000000, 94.036, 97.3403
1015.000000, 93.988, 108.1516
1030.000000, 93.941, 119.0911
1044.000000, 93.893, 129.3708
1060.000000, 93.824, 141.2201
1075.000000, 93.756, 152.4973
1090.000000, 93.703, 163.9257
1106.000000, 93.666, 176.3362
1120.000000, 93.647, -172.5494
1138.000000, 93.660, -158.0264
1150.000000, 93.703, -148.2855
1172.000000, 93.858, -130.4916
1180.000000, 93.932, -124.1047
1206.000000, 94.193, -103.6799
1220.000000, 94.334, -92.8264
1241.000000, 94.534, -76.6799
1250.000000, 94.614, -69.7900
1265.000000, 94.742, -58.3179
1280.000000, 94.865, -46.8383
1315.000000, 95.152, -19.9425
1320.000000, 95.191, -16.0959
1340.000000, 95.336, -0.7315
1360.000000, 95.449, 14.6493
1380.000000, 95.559, 30.1202
1400.000000, 95.685, 45.7002
1430.000000, 95.891, 69.3220
1450.000000, 96.048, 85.2029
1475.000000, 96.270, 105.1340
1500.000000, 96.520, 125.0400
1525.000000, 96.792, 144.8334
1550.000000, 97.069, 164.5115
1575.000000, 97.346, -175.8652
1600.000000, 97.623, -156.2499
1625.000000, 97.910, -136.6411
1650.000000, 98.211, -117.0554
1675.000000, 98.521, -97.5034
1700.000000, 98.830, -78.0273
1725.000000, 99.135, -58.6177
1750.000000, 99.445, -39.2437
1775.000000, 99.762, -19.9327
1800.000000, 100.071, -0.7041
1825.000000, 100.363, 18.5217
1850.000000, 100.649, 37.8612
1875.000000, 100.964, 57.3282
1900.000000, 101.318, 76.6318
1925.000000, 101.668, 95.6426
1950.000000, 101.993, 114.5150
1975.000000, 102.299, 133.3887
2000.000000, 102.594, 152.3057
2030.000000, 102.941, 175.0403
2060.000000, 103.289, -162.2413
2090.000000, 103.647, -139.5928
2120.000000, 104.004, -117.0452
2140.000000, 104.235, -102.0289
2180.000000, 104.684, -72.0610
2200.000000, 104.898, -57.1605
2240.000000, 105.305, -27.4050
2270.000000, 105.604, -5.0031
2300.000000, 105.901, 17.4707
2330.000000, 106.199, 39.9169
2360.000000, 106.494, 62.2457
2400.000000, 106.880, 91.8525
2430.000000, 107.158, 113.9780
2470.000000, 107.504, 143.4026
2500.000000, 107.744, 165.3962
2540.000000, 108.032, -165.3806
2580.000000, 108.276, -136.1853
2620.000000, 108.477, -106.9194
2650.000000, 108.602, -84.8959
2690.000000, 108.738, -55.4236
2720.000000, 108.819, -33.2344
2760.000000, 108.903, -3.4980
2800.000000, 108.965, 26.4558
2850.000000, 109.028, 64.2383
2900.000000, 109.094, 102.3540
2950.000000, 109.185, 140.6519
3000.000000, 109.298, 178.8657
3040.000000, 109.395, -150.7590
3070.000000, 109.463, -128.0671
3110.000000, 109.535, -97.8660
3150.000000, 109.573, -67.7043
3200.000000, 109.566, -30.0720
3250.000000, 109.502, 7.4880
3300.000000, 109.384, 45.0439
3350.000000, 109.178, 82.6235
3400.000000, 108.801, 120.3386
3450.000000, 108.171, 159.1465
3500.000000, 107.420, -158.7812
3550.000000, 107.063, -112.9871
3600.000000, 107.401, -67.1973
3650.000000, 108.204, -24.2480
3700.000000, 109.109, 14.6208
3750.000000, 109.704, 50.0862
3820.000000, 109.763, 98.2371
3870.000000, 109.369, 133.2795
3950.000000, 108.335, -168.8999
4000.000000, 107.542, -131.6548
4060.000000, 106.469, -85.5530
4120.000000, 105.275, -37.4238
4180.000000, 104.009, 13.1619
4250.000000, 102.599, 75.6790
4310.000000, 101.634, 132.0222
4370.000000, 101.054, -170.2627
4440.000000, 100.899, -103.3296
4500.000000, 101.065, -47.7705
4550.000000, 101.275, -3.1042
4620.000000, 101.508, 57.3711
4680.000000, 101.552, 108.1157
4750.000000, 101.352, 167.1550
4820.000000, 100.895, -132.7305
4870.000000, 100.482, -88.3308
4940.000000, 100.009, -23.5281
5000.000000, 99.928, 33.5576
5080.000000, 100.370, 108.9114
5150.000000, 101.077, 172.3137
5220.000000, 101.855, -126.8101
5300.000000, 102.627, -60.0337
5380.000000, 103.071, 4.3965
5450.000000, 103.070, 60.1406
5520.000000, 102.739, 116.8511
5600.000000, 102.166, -176.2676
5700.000000, 101.428, -90.4443
5800.000000, 100.688, -3.3037
5900.000000, 99.923, 85.1914
6000.000000, 99.208, 175.8872
6080.000000, 98.785, -109.6299
6150.000000, 98.633, -43.6108
6220.000000, 98.715, 22.0571
6300.000000, 99.000, 95.6328
6400.000000, 99.435, -174.3291
6500.000000, 99.843, -85.6235
6600.000000, 100.170, 1.8379
6700.000000, 100.346, 88.1440
6800.000000, 100.332, 173.9639
6900.000000, 100.169, -100.1875
7000.000000, 99.865, -14.3081
7100.000000, 99.379, 71.7754
7200.000000, 98.678, 158.4131
7300.000000, 97.735, -113.8403
7400.000000, 96.568, -23.8794
7500.000000, 95.316, 69.5864
7620.000000, 94.075, -173.4287
7750.000000, 93.430, -43.6909
7880.000000, 93.402, 85.7490
8000.000000, 93.775, -156.0176
8120.000000, 94.445, -39.4580
8250.000000, 95.393, 84.7563
8380.000000, 96.535, -152.9736
8500.000000, 97.779, -42.2515
8620.000000, 99.070, 64.7617
8750.000000, 100.116, 175.2446
8850.000000, 100.385, -102.6323
9000.000000, 99.702, 20.6753
9120.000000, 98.424, 123.3027
9250.000000, 96.767, -119.8882
9380.000000, 95.203, 1.2207
9500.000000, 93.929, 114.7329
9620.000000, 92.750, -130.6167
9750.000000, 91.562, -4.3760
9880.000000, 90.560, 124.6758
10000.000000, 89.953, -113.6797
10150.000000, 89.818, 40.4805
10300.000000, 90.494, -165.2520
10440.000000, 91.749, -25.4150
10600.000000, 93.331, 126.6602
10750.000000, 94.526, -95.1152
10900.000000, 95.489, 41.9824
11060.000000, 96.398, -174.0957
11200.000000, 96.918, -52.8359
11380.000000, 96.755, 90.6914
11500.000000, 95.947, 168.8672
11720.000000, 93.598, -100.8398
11800.000000, 92.732, -74.3125
12060.000000, 89.764, 18.4609
12200.000000, 88.003, 71.5420
12410.000000, 86.957, 153.9961
12500.000000, 87.526, -171.9971
12650.000000, 88.629, -119.6650
12800.000000, 88.958, -71.7676
13150.000000, 86.413, 39.0615
13200.000000, 85.964, 55.8262
13400.000000, 85.502, 123.0615
13600.000000, 86.637, -175.5645
13800.000000, 87.288, -119.2842
14000.000000, 87.051, -65.9375
14300.000000, 85.962, 11.9932
14500.000000, 85.596, 63.4141
14750.000000, 86.045, 123.2314
15000.000000, 87.150, 173.2588
15250.000000, 87.603, -147.9531
15500.000000, 86.089, -118.4023
15750.000000, 82.042, -94.3057
16000.000000, 76.404, -78.1143
16250.000000, 72.192, -61.4414
16500.000000, 70.456, -27.3340
16750.000000, 70.488, 16.6289
17000.000000, 72.116, 62.8164
17250.000000, 73.618, 104.5352
17500.000000, 73.291, 143.6133
17750.000000, 70.825, -172.8818
18000.000000, 67.320, -120.8701
18250.000000, 65.846, -65.7148
18500.000000, 67.352, -14.3066
18750.000000, 69.264, 31.6680
19000.000000, 70.953, 72.4766
19250.000000, 71.878, 109.2910
19500.000000, 72.054, 141.9160
19750.000000, 71.726, 171.3779
20000.000000, 70.812, -139.9805
20300.000000, 68.675, -100.8906
20600.000000, 65.405, -97.0195
20900.000000, 61.125, -14.9375
21200.000000, 55.996, 95.4521
21400.000000, 52.120, -165.5293
21800.000000, 44.754, 72.7598
22000.000000, 41.503, -144.5928
22400.000000, 34.363, -90.0674
22700.000000, 28.655, 125.3213
23000.000000, 23.449, 48.5830
23300.000000, 19.623, -74.4590
23600.000000, 17.979, 143.0303
24000.000000, 17.586, 160.7021
