* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -18.0 dBFS, measurement signal peak level -10.9 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:21:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.7993 ms (-960 mm, -(3 ft 1.8 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,036.6 ppm
15.000000, 100.075, -56.7034
15.250000, 100.443, -58.6243
15.500000, 100.814, -60.6295
15.750000, 101.184, -62.7439
16.000000, 101.549, -64.9880
16.250000, 101.904, -67.3693
16.500000, 102.243, -69.8831
16.750000, 102.564, -72.5158
17.000000, 102.863, -75.2454
17.250000, 103.139, -78.0491
17.500000, 103.391, -80.9050
17.750000, 103.616, -83.7930
18.000000, 103.817, -86.6979
18.250000, 103.994, -89.6064
18.500000, 104.147, -92.5061
18.750000, 104.276, -95.3849
19.000000, 104.383, -98.2305
19.250000, 104.469, -101.0283
19.500000, 104.534, -103.7662
19.750000, 104.578, -106.4337
20.000000, 104.605, -109.0219
20.299999, 104.616, -112.0172
20.600000, 104.607, -114.8893
20.900000, 104.579, -117.6381
21.200001, 104.535, -120.2633
21.400000, 104.497, -121.9440
21.799999, 104.402, -125.1354
22.000000, 104.346, -126.6452
22.400000, 104.222, -129.4960
22.700001, 104.120, -131.4930
23.000000, 104.011, -133.3762
23.299999, 103.896, -135.1481
23.600000, 103.773, -136.8051
24.000000, 103.602, -138.8204
24.299999, 103.471, -140.1776
24.700001, 103.300, -141.7892
25.000000, 103.179, -142.8754
25.400000, 103.028, -144.2168
25.799999, 102.884, -145.4880
26.200001, 102.736, -146.6978
26.500000, 102.619, -147.5385
26.900000, 102.457, -148.5193
27.200001, 102.336, -149.1290
27.600000, 102.185, -149.7878
28.000000, 102.052, -150.3333
28.500000, 101.908, -150.9695
29.000000, 101.768, -151.5982
29.500000, 101.620, -152.1419
30.000000, 101.471, -152.5040
30.400000, 101.362, -152.6566
30.700001, 101.291, -152.7151
31.100000, 101.210, -152.7537
31.500000, 101.143, -152.7671
32.000000, 101.078, -152.7518
32.500000, 101.043, -152.7272
33.000000, 101.041, -152.8005
33.500000, 101.062, -153.1099
34.000000, 101.077, -153.6993
34.500000, 101.062, -154.4663
35.000000, 101.008, -155.2307
35.500000, 100.927, -155.8550
36.000000, 100.839, -156.3012
36.500000, 100.754, -156.6035
37.000000, 100.677, -156.8040
37.500000, 100.608, -156.9253
38.200001, 100.528, -156.9921
38.700001, 100.485, -156.9998
39.500000, 100.434, -156.9986
40.000000, 100.411, -156.9984
40.599998, 100.392, -157.0032
41.200001, 100.380, -157.0276
41.799999, 100.372, -157.0795
42.500000, 100.362, -157.1492
43.099998, 100.355, -157.1827
43.700001, 100.353, -157.1857
44.400002, 100.358, -157.1808
45.000000, 100.365, -157.1870
45.500000, 100.371, -157.1929
46.200001, 100.381, -157.1857
46.799999, 100.394, -157.1679
47.500000, 100.414, -157.1548
48.200001, 100.438, -157.1679
48.700001, 100.456, -157.1942
49.400002, 100.478, -157.2350
50.000000, 100.496, -157.2469
50.799999, 100.524, -157.2126
51.500000, 100.558, -157.1554
52.200001, 100.598, -157.0851
53.000000, 100.655, -156.9996
53.799999, 100.721, -156.9455
54.500000, 100.779, -156.9145
55.200001, 100.840, -156.8721
56.000000, 100.918, -156.8342
57.000000, 101.024, -156.7631
58.000000, 101.173, -156.7161
59.000000, 101.342, -157.1217
60.000000, 101.457, -157.6658
60.799999, 101.554, -157.9124
61.500000, 101.664, -158.1724
62.200001, 101.779, -158.5670
63.000000, 101.904, -159.1076
64.000000, 102.061, -159.8977
65.000000, 102.202, -160.8152
66.000000, 102.334, -161.7469
67.000000, 102.473, -162.7676
68.000000, 102.608, -163.9493
69.000000, 102.736, -165.2809
70.000000, 102.853, -166.7839
71.000000, 102.954, -168.4591
72.000000, 103.032, -170.2913
73.000000, 103.083, -172.2836
74.000000, 103.093, -174.4083
75.000000, 103.055, -176.5620
76.199997, 102.956, -179.0616
77.500000, 102.793, 178.3819
78.800003, 102.579, 176.0745
80.000000, 102.352, 174.2219
81.199997, 102.108, 172.6303
82.500000, 101.835, 171.1673
83.800003, 101.559, 169.9744
85.000000, 101.314, 169.0663
86.199997, 101.078, 168.3027
87.500000, 100.837, 167.6091
88.500000, 100.661, 167.1510
90.000000, 100.414, 166.5499
91.199997, 100.225, 166.0853
92.500000, 100.023, 165.6273
93.800003, 99.829, 165.1695
95.000000, 99.652, 164.7269
96.199997, 99.476, 164.2289
97.500000, 99.278, 163.6195
98.800003, 99.067, 162.9622
100.000000, 98.857, 162.3366
101.500000, 98.568, 161.5448
103.000000, 98.242, 160.7631
104.400002, 97.897, 160.1194
106.000000, 97.454, 159.6708
107.500000, 97.003, 159.6707
109.000000, 96.537, 160.1865
110.599998, 96.056, 161.2817
112.000000, 95.675, 162.5499
113.800003, 95.260, 164.3826
115.000000, 95.034, 165.6122
117.199997, 94.693, 167.8747
118.000000, 94.591, 168.7501
120.599998, 94.262, 171.1132
122.000000, 94.032, 172.4905
124.099998, 93.702, 174.6362
125.000000, 93.569, 175.5294
126.500000, 93.370, 177.0347
128.000000, 93.199, 178.5632
131.500000, 92.862, -177.7341
132.000000, 92.816, -177.2065
134.000000, 92.639, -175.1237
136.000000, 92.480, -173.0868
138.000000, 92.342, -171.0731
140.000000, 92.219, -169.0303
143.000000, 92.055, -165.9864
145.000000, 91.965, -164.0150
147.500000, 91.875, -161.5952
150.000000, 91.803, -159.2441
152.500000, 91.746, -157.0243
155.000000, 91.694, -154.9252
157.500000, 91.646, -152.8562
160.000000, 91.594, -150.9849
162.500000, 91.529, -149.2184
165.000000, 91.498, -147.3417
167.500000, 91.484, -145.5811
170.000000, 91.447, -143.9403
172.500000, 91.391, -142.4199
175.000000, 91.332, -140.9912
177.500000, 91.270, -139.5612
180.000000, 91.197, -138.0925
182.500000, 91.120, -136.5664
185.000000, 91.046, -135.0250
187.500000, 90.972, -133.5098
190.000000, 90.889, -132.0781
192.500000, 90.794, -130.6862
195.000000, 90.690, -129.2723
197.500000, 90.583, -127.8212
200.000000, 90.474, -126.3323
203.000000, 90.344, -124.5056
206.000000, 90.210, -122.6660
209.000000, 90.068, -120.8455
212.000000, 89.919, -118.9884
214.000000, 89.819, -117.7076
218.000000, 89.618, -115.0523
220.000000, 89.516, -113.6757
224.000000, 89.320, -110.8658
227.000000, 89.182, -108.7663
230.000000, 89.043, -106.6875
233.000000, 88.897, -104.5842
236.000000, 88.751, -102.4569
240.000000, 88.549, -99.6636
243.000000, 88.379, -97.4513
247.000000, 88.162, -94.2416
250.000000, 88.026, -91.7542
254.000000, 87.870, -88.4652
258.000000, 87.718, -85.3002
262.000000, 87.561, -82.1805
265.000000, 87.443, -79.8416
269.000000, 87.282, -76.7281
272.000000, 87.162, -74.3882
276.000000, 87.004, -71.2762
280.000000, 86.839, -68.1402
285.000000, 86.625, -64.2009
290.000000, 86.404, -60.2450
295.000000, 86.164, -56.2513
300.000000, 85.896, -52.1326
304.000000, 85.642, -48.6722
307.000000, 85.437, -45.8926
311.000000, 85.164, -41.8120
315.000000, 84.921, -37.1630
320.000000, 84.743, -30.7064
325.000000, 84.750, -24.4425
330.000000, 84.848, -19.2061
335.000000, 84.912, -14.8516
340.000000, 84.899, -10.7798
345.000000, 84.821, -6.6032
350.000000, 84.713, -2.2097
355.000000, 84.606, 2.3256
360.000000, 84.504, 7.1014
365.000000, 84.421, 12.1738
370.000000, 84.399, 17.1453
375.000000, 84.400, 21.7145
382.000000, 84.351, 27.8683
387.000000, 84.289, 32.3729
395.000000, 84.206, 39.8412
400.000000, 84.172, 44.5719
406.000000, 84.149, 50.2314
412.000000, 84.140, 55.8575
418.000000, 84.137, 61.3948
425.000000, 84.138, 67.7161
431.000000, 84.137, 73.0868
437.000000, 84.132, 78.4266
444.000000, 84.119, 84.6671
450.000000, 84.111, 90.0667
455.000000, 84.110, 94.5752
462.000000, 84.118, 100.8647
468.000000, 84.146, 106.2103
475.000000, 84.184, 112.3328
482.000000, 84.205, 118.2684
487.000000, 84.206, 122.4700
494.000000, 84.197, 128.3721
500.000000, 84.185, 133.4718
508.000000, 84.164, 140.3193
515.000000, 84.143, 146.3305
522.000000, 84.119, 152.3719
530.000000, 84.090, 159.2999
538.000000, 84.062, 166.2410
545.000000, 84.032, 172.3818
552.000000, 84.000, 178.5724
560.000000, 83.962, -174.3129
570.000000, 83.915, -165.3384
580.000000, 83.886, -156.2518
590.000000, 83.881, -147.1832
600.000000, 83.876, -138.1624
608.000000, 83.872, -130.9832
615.000000, 83.867, -124.7077
622.000000, 83.857, -118.4367
630.000000, 83.843, -111.2327
640.000000, 83.826, -102.1262
650.000000, 83.812, -92.9698
660.000000, 83.806, -83.7544
670.000000, 83.809, -74.5252
680.000000, 83.814, -65.3496
690.000000, 83.813, -56.1884
700.000000, 83.813, -46.9787
710.000000, 83.821, -37.6477
720.000000, 83.834, -28.2506
730.000000, 83.854, -18.8262
740.000000, 83.880, -9.3585
750.000000, 83.913, 0.1127
762.000000, 83.966, 11.4615
775.000000, 84.035, 23.8503
788.000000, 84.127, 36.2771
800.000000, 84.224, 47.7571
812.000000, 84.333, 59.2441
825.000000, 84.467, 71.6029
838.000000, 84.617, 83.9215
850.000000, 84.767, 95.2587
862.000000, 84.926, 106.5200
875.000000, 85.106, 118.6708
885.000000, 85.250, 127.9830
900.000000, 85.476, 141.8405
912.000000, 85.660, 152.8126
925.000000, 85.859, 164.6212
938.000000, 86.060, 176.3723
950.000000, 86.248, -172.8338
962.000000, 86.436, -162.1171
975.000000, 86.632, -150.6165
988.000000, 86.817, -139.2048
1000.000000, 86.980, -128.7062
1015.000000, 87.176, -115.6018
1030.000000, 87.362, -102.5327
1044.000000, 87.526, -90.3789
1060.000000, 87.703, -76.5173
1075.000000, 87.859, -63.5517
1090.000000, 88.008, -50.5954
1106.000000, 88.167, -36.7518
1120.000000, 88.308, -24.6270
1138.000000, 88.486, -9.0765
1150.000000, 88.601, 1.2551
1172.000000, 88.798, 20.0425
1180.000000, 88.858, 26.7987
1206.000000, 88.940, 48.7157
1220.000000, 88.920, 60.9025
1241.000000, 88.914, 79.9323
1250.000000, 88.940, 88.2237
1265.000000, 89.012, 102.0217
1280.000000, 89.102, 115.7286
1315.000000, 89.324, 147.5347
1320.000000, 89.356, 152.0734
1340.000000, 89.473, 170.2222
1360.000000, 89.568, -171.6251
1380.000000, 89.657, -153.4249
1400.000000, 89.760, -135.1829
1430.000000, 89.926, -107.8025
1450.000000, 90.031, -89.5047
1475.000000, 90.146, -66.5933
1500.000000, 90.239, -43.6467
1525.000000, 90.317, -20.5751
1550.000000, 90.383, 2.6428
1575.000000, 90.444, 25.9675
1600.000000, 90.495, 49.4137
1625.000000, 90.531, 73.0102
1650.000000, 90.550, 96.7797
1675.000000, 90.546, 120.7955
1700.000000, 90.509, 145.2186
1725.000000, 90.440, 170.2808
1750.000000, 90.364, -163.5936
1775.000000, 90.378, -135.6917
1800.000000, 90.762, -105.5537
1825.000000, 91.888, -75.1200
1850.000000, 93.568, -49.3374
1875.000000, 95.020, -29.7448
1900.000000, 95.838, -12.8549
1925.000000, 96.094, 4.4080
1950.000000, 96.022, 23.6096
1975.000000, 95.888, 44.9077
2000.000000, 95.846, 67.4279
2030.000000, 95.914, 94.8687
2060.000000, 96.025, 122.3634
2090.000000, 96.143, 150.0387
2120.000000, 96.277, 177.8546
2140.000000, 96.372, -163.5454
2180.000000, 96.575, -126.1271
2200.000000, 96.684, -107.3318
2240.000000, 96.924, -69.6571
2270.000000, 97.122, -41.3783
2300.000000, 97.331, -13.1289
2330.000000, 97.546, 15.0824
2360.000000, 97.763, 43.2695
2400.000000, 98.055, 80.7915
2430.000000, 98.272, 108.8875
2470.000000, 98.554, 146.2852
2500.000000, 98.760, 174.2906
2540.000000, 99.021, -148.4205
2580.000000, 99.258, -111.1620
2620.000000, 99.468, -73.8779
2650.000000, 99.606, -45.8582
2690.000000, 99.772, -8.3600
2720.000000, 99.886, 19.8867
2760.000000, 100.032, 57.7339
2800.000000, 100.182, 95.8120
2850.000000, 100.413, 143.6997
2900.000000, 100.712, -168.4954
2950.000000, 101.046, -121.1711
3000.000000, 101.360, -74.3677
3040.000000, 101.567, -37.1624
3070.000000, 101.694, -9.2759
3110.000000, 101.840, 27.9133
3150.000000, 101.974, 64.9316
3200.000000, 102.084, 110.7556
3250.000000, 102.078, 156.4346
3300.000000, 101.947, -157.4609
3350.000000, 101.756, -110.6499
3400.000000, 101.580, -63.5493
3450.000000, 101.372, -16.7043
3500.000000, 101.034, 29.9639
3550.000000, 100.494, 77.1240
3600.000000, 99.779, 125.7996
3650.000000, 99.001, 176.7166
3700.000000, 98.352, -129.3528
3750.000000, 98.227, -73.1379
3820.000000, 98.930, 1.3950
3870.000000, 99.377, 50.0664
3950.000000, 99.371, 125.7322
4000.000000, 99.031, 174.3586
4060.000000, 98.562, -125.4526
4120.000000, 98.214, -66.0876
4180.000000, 97.887, -14.9094
4250.000000, 97.452, 29.9233
4310.000000, 97.337, 63.0095
4370.000000, 97.398, 94.5054
4440.000000, 97.562, 129.2312
4500.000000, 97.753, 158.4521
4550.000000, 97.873, -177.5898
4620.000000, 97.905, -144.8604
4680.000000, 97.768, -117.2109
4750.000000, 97.418, -84.8931
4820.000000, 96.916, -51.9282
4870.000000, 96.519, -27.7585
4940.000000, 96.024, 6.9866
5000.000000, 95.769, 37.3872
5080.000000, 95.815, 77.9463
5150.000000, 96.230, 112.3145
5220.000000, 96.816, 144.8501
5300.000000, 97.527, 179.8027
5380.000000, 98.187, -147.3875
5450.000000, 98.632, -120.3169
5520.000000, 98.859, -94.4741
5600.000000, 98.755, -65.6221
5700.000000, 98.108, -28.9614
5800.000000, 97.238, 9.3638
5900.000000, 96.482, 48.7202
6000.000000, 95.895, 88.3574
6080.000000, 95.520, 120.1309
6150.000000, 95.246, 147.8071
6220.000000, 95.022, 175.3701
6300.000000, 94.838, -153.2354
6400.000000, 94.679, -115.0005
6500.000000, 94.509, -78.1045
6600.000000, 94.231, -42.1924
6700.000000, 93.861, -6.5840
6800.000000, 93.528, 29.4102
6900.000000, 93.318, 65.2095
7000.000000, 93.221, 100.5596
7100.000000, 93.198, 135.3745
7200.000000, 93.220, 169.5161
7300.000000, 93.286, -157.0723
7400.000000, 93.408, -124.3462
7500.000000, 93.597, -92.3853
7620.000000, 93.922, -55.4966
7750.000000, 94.319, -17.5049
7880.000000, 94.487, 18.9180
8000.000000, 94.267, 51.4165
8120.000000, 93.647, 83.8481
8250.000000, 92.682, 119.9463
8380.000000, 91.772, 157.4858
8500.000000, 91.382, -166.9927
8620.000000, 91.627, -132.0913
8750.000000, 92.364, -96.7700
8850.000000, 92.956, -71.8018
9000.000000, 93.473, -37.2808
9120.000000, 93.448, -10.7524
9250.000000, 93.031, 18.2368
9380.000000, 92.352, 46.8091
9500.000000, 91.676, 73.7666
9620.000000, 91.113, 101.1001
9750.000000, 90.716, 130.1479
9880.000000, 90.604, 158.8682
10000.000000, 90.757, -175.0181
10150.000000, 91.108, -144.2812
10300.000000, 91.327, -116.1084
10440.000000, 91.234, -91.7822
10600.000000, 90.784, -63.6265
10750.000000, 90.093, -37.3252
10900.000000, 89.167, -10.6431
11060.000000, 88.333, 20.0010
11200.000000, 88.601, 46.7949
11380.000000, 89.987, 64.0542
11500.000000, 90.714, 84.4678
11720.000000, 90.781, 164.3662
11800.000000, 90.263, -168.2729
12060.000000, 86.239, -75.3579
12200.000000, 83.600, -15.7461
12410.000000, 84.912, 76.0410
12500.000000, 86.444, 111.0591
12650.000000, 88.363, 163.9336
12800.000000, 89.409, -147.9487
13150.000000, 90.085, -38.5249
13200.000000, 90.090, -23.0703
13400.000000, 89.932, 38.0366
13600.000000, 89.446, 98.5586
13800.000000, 88.663, 158.8179
14000.000000, 87.514, -140.8442
14300.000000, 84.760, -47.8569
14500.000000, 82.949, 15.2402
14750.000000, 82.499, 92.0078
15000.000000, 83.423, 158.6450
15250.000000, 83.284, -148.2544
15500.000000, 81.115, 93.0361
15750.000000, 77.363, 154.2559
16000.000000, 73.391, -129.1465
16250.000000, 73.102, -45.3403
16500.000000, 74.648, 34.9766
16750.000000, 76.098, 113.5718
17000.000000, 77.913, -170.9492
17250.000000, 79.193, -100.9043
17500.000000, 78.409, -32.5918
17750.000000, 74.866, 45.9321
18000.000000, 71.665, 138.6338
18250.000000, 73.768, -133.8877
18500.000000, 76.324, -55.6064
18750.000000, 77.950, 17.5815
19000.000000, 79.069, 87.9404
19250.000000, 79.583, 153.6548
19500.000000, 79.279, -135.6016
19750.000000, 78.463, -64.9585
20000.000000, 77.399, 5.5186
20300.000000, 75.694, 94.6738
20600.000000, 73.256, -174.0840
20900.000000, 69.648, -78.1152
21200.000000, 64.706, 24.5703
21400.000000, 60.728, 96.8281
21800.000000, 51.818, -114.0693
22000.000000, 47.514, 56.4736
22400.000000, 40.294, 93.8154
22700.000000, 35.282, 31.8242
23000.000000, 29.795, -20.2451
23300.000000, 23.965, -157.2842
23600.000000, 19.332, 124.9043
24000.000000, 17.239, -98.1963
