* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -13.3 dBFS, measurement signal peak level -8.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -14.4 dBFS using an acoustic timing reference
* Dated: Nov 5, 2024 9:00:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.6626 ms (-913 mm, -(2 ft 11.96 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -1,011.0 ppm
9.380000, 83.608, -20.3165
9.500000, 83.743, -20.9711
9.620000, 83.878, -21.5705
9.750000, 84.023, -22.1647
9.880000, 84.162, -22.7140
10.000000, 84.284, -23.1861
10.150000, 84.429, -23.7394
10.300000, 84.573, -24.2750
10.440000, 84.707, -24.7662
10.600000, 84.864, -25.3318
10.750000, 85.015, -25.8785
10.900000, 85.170, -26.4417
11.060000, 85.333, -27.0648
11.200000, 85.474, -27.6275
11.380000, 85.649, -28.3651
11.500000, 85.763, -28.8628
11.720000, 85.965, -29.7718
11.800000, 86.036, -30.0972
12.060000, 86.265, -31.1244
12.200000, 86.386, -31.6497
12.410000, 86.565, -32.3974
12.500000, 86.640, -32.7018
12.650000, 86.765, -33.1886
12.800000, 86.890, -33.6521
13.150000, 87.181, -34.6580
13.200000, 87.223, -34.7952
13.400000, 87.394, -35.3314
13.600000, 87.566, -35.8529
13.800000, 87.740, -36.3632
14.000000, 87.912, -36.8631
14.300000, 88.169, -37.5911
14.500000, 88.337, -38.0586
14.750000, 88.548, -38.6215
15.000000, 88.759, -39.1624
15.250000, 88.976, -39.6886
15.500000, 89.195, -40.2113
15.750000, 89.415, -40.7410
16.000000, 89.632, -41.2861
16.250000, 89.847, -41.8485
16.500000, 90.056, -42.4243
16.750000, 90.259, -43.0044
17.000000, 90.457, -43.5765
17.250000, 90.651, -44.1288
17.500000, 90.840, -44.6512
17.750000, 91.026, -45.1376
18.000000, 91.211, -45.5874
18.250000, 91.399, -46.0057
18.500000, 91.590, -46.4042
18.750000, 91.788, -46.8004
19.000000, 91.992, -47.2147
19.250000, 92.201, -47.6687
19.500000, 92.411, -48.1773
19.750000, 92.618, -48.7449
20.000000, 92.818, -49.3629
20.299999, 93.042, -50.1376
20.600000, 93.249, -50.8946
20.900000, 93.441, -51.5772
21.200001, 93.627, -52.1488
21.400000, 93.754, -52.4677
21.799999, 94.023, -53.0096
22.000000, 94.169, -53.2713
22.400000, 94.477, -53.8715
22.700001, 94.714, -54.4310
23.000000, 94.945, -55.0805
23.299999, 95.163, -55.7827
23.600000, 95.369, -56.4904
24.000000, 95.632, -57.3853
24.299999, 95.827, -58.0136
24.700001, 96.092, -58.8337
25.000000, 96.293, -59.4712
25.400000, 96.559, -60.3796
25.799999, 96.813, -61.3417
26.200001, 97.055, -62.3166
26.500000, 97.231, -63.0367
26.900000, 97.462, -63.9795
27.200001, 97.636, -64.6851
27.600000, 97.868, -65.6469
28.000000, 98.096, -66.6518
28.500000, 98.373, -67.9776
29.000000, 98.631, -69.3562
29.500000, 98.866, -70.7191
30.000000, 99.081, -71.9760
30.400000, 99.249, -72.8718
30.700001, 99.380, -73.4914
31.100000, 99.565, -74.2936
31.500000, 99.760, -75.1251
32.000000, 100.006, -76.2547
32.500000, 100.242, -77.4609
33.000000, 100.465, -78.6821
33.500000, 100.680, -79.8887
34.000000, 100.890, -81.0857
34.500000, 101.097, -82.2686
35.000000, 101.300, -83.4150
35.500000, 101.509, -84.5283
36.000000, 101.731, -85.6621
36.500000, 101.963, -86.8894
37.000000, 102.198, -88.2533
37.500000, 102.426, -89.7583
38.200001, 102.722, -92.0688
38.700001, 102.908, -93.8163
39.500000, 103.159, -96.6252
40.000000, 103.295, -98.3175
40.599998, 103.450, -100.2875
41.200001, 103.597, -102.2450
41.799999, 103.732, -104.2158
42.500000, 103.869, -106.5141
43.099998, 103.970, -108.4755
43.700001, 104.052, -110.4221
44.400002, 104.120, -112.6152
45.000000, 104.162, -114.3719
45.500000, 104.195, -115.7566
46.200001, 104.241, -117.6407
46.799999, 104.273, -119.2211
47.500000, 104.300, -120.9569
48.200001, 104.331, -122.5517
48.700001, 104.363, -123.6604
49.400002, 104.412, -125.2489
50.000000, 104.450, -126.6411
50.799999, 104.493, -128.4782
51.500000, 104.533, -130.0909
52.200001, 104.574, -131.7928
53.000000, 104.603, -133.8519
53.799999, 104.609, -135.9180
54.500000, 104.610, -137.7169
55.200001, 104.605, -139.5811
56.000000, 104.577, -141.7754
57.000000, 104.506, -144.5426
58.000000, 104.363, -147.3612
59.000000, 104.114, -149.7252
60.000000, 103.853, -151.4164
60.799999, 103.650, -152.6076
61.500000, 103.454, -153.4962
62.200001, 103.257, -154.1344
63.000000, 103.058, -154.6438
64.000000, 102.849, -155.1789
65.000000, 102.669, -155.6134
66.000000, 102.529, -155.9416
67.000000, 102.426, -156.3231
68.000000, 102.332, -156.7740
69.000000, 102.239, -157.2424
70.000000, 102.136, -157.7008
71.000000, 102.031, -158.0665
72.000000, 101.934, -158.3842
73.000000, 101.843, -158.6415
74.000000, 101.772, -158.8277
75.000000, 101.720, -158.9816
76.199997, 101.688, -159.0946
77.500000, 101.694, -159.2770
78.800003, 101.721, -159.5563
80.000000, 101.765, -159.9520
81.199997, 101.827, -160.5139
82.500000, 101.917, -161.4026
83.800003, 102.030, -162.6772
85.000000, 102.111, -164.3463
86.199997, 102.133, -166.0036
87.500000, 102.166, -167.6940
88.500000, 102.188, -169.1599
90.000000, 102.199, -171.8089
91.199997, 102.123, -174.4689
92.500000, 101.944, -177.4271
93.800003, 101.704, 179.4803
95.000000, 101.417, 176.5682
96.199997, 101.068, 173.6959
97.500000, 100.608, 170.7356
98.800003, 100.042, 167.9905
100.000000, 99.394, 165.8333
101.500000, 98.431, 163.9804
103.000000, 97.328, 163.3869
104.400002, 96.242, 164.5380
106.000000, 95.111, 168.2073
107.500000, 94.293, 173.1880
109.000000, 93.709, 178.7189
110.599998, 93.325, -175.8139
112.000000, 93.109, -172.2566
113.800003, 92.911, -168.5399
115.000000, 92.868, -166.0807
117.199997, 92.923, -161.1240
118.000000, 92.971, -158.8126
120.599998, 93.090, -153.5213
122.000000, 92.750, -150.9325
124.099998, 92.335, -145.5720
125.000000, 92.274, -143.7473
126.500000, 92.270, -141.2433
128.000000, 92.366, -138.8485
131.500000, 92.703, -132.8778
132.000000, 92.748, -132.0207
134.000000, 92.913, -128.8411
136.000000, 93.057, -126.1671
138.000000, 93.185, -123.7098
140.000000, 93.325, -121.2724
143.000000, 93.606, -117.4398
145.000000, 93.879, -114.9855
147.500000, 94.258, -112.4002
150.000000, 94.639, -110.4142
152.500000, 94.986, -108.9647
155.000000, 95.295, -107.9293
157.500000, 95.595, -107.4875
160.000000, 95.894, -107.3133
162.500000, 96.099, -107.3103
165.000000, 96.157, -106.3457
167.500000, 96.261, -105.6302
170.000000, 96.336, -105.5912
172.500000, 96.377, -105.3220
175.000000, 96.361, -104.9110
177.500000, 96.368, -104.4250
180.000000, 96.432, -104.2551
182.500000, 96.472, -103.9218
185.000000, 96.459, -103.3904
187.500000, 96.399, -102.8478
190.000000, 96.336, -102.2304
192.500000, 96.273, -101.5637
195.000000, 96.196, -100.8620
197.500000, 96.127, -100.0469
200.000000, 96.074, -99.2104
203.000000, 95.992, -98.2001
206.000000, 95.892, -97.2040
209.000000, 95.781, -96.1087
212.000000, 95.661, -94.7463
214.000000, 95.582, -93.7444
218.000000, 95.455, -91.6325
220.000000, 95.411, -90.5745
224.000000, 95.335, -88.7030
227.000000, 95.256, -87.5270
230.000000, 95.141, -86.3552
233.000000, 95.003, -85.0760
236.000000, 94.874, -83.6188
240.000000, 94.715, -81.3985
243.000000, 94.608, -79.6322
247.000000, 94.478, -77.5045
250.000000, 94.366, -76.0678
254.000000, 94.194, -74.0794
258.000000, 94.011, -71.9239
262.000000, 93.819, -69.6741
265.000000, 93.664, -67.9688
269.000000, 93.445, -65.6449
272.000000, 93.290, -63.8311
276.000000, 93.090, -61.3068
280.000000, 92.877, -58.6080
285.000000, 92.594, -55.0922
290.000000, 92.292, -51.4242
295.000000, 91.985, -47.5090
300.000000, 91.684, -43.1791
304.000000, 91.449, -39.3956
307.000000, 91.287, -36.3166
311.000000, 91.124, -31.8316
315.000000, 91.066, -27.0487
320.000000, 91.174, -21.4160
325.000000, 91.388, -17.1822
330.000000, 91.515, -14.2881
335.000000, 91.476, -11.6964
340.000000, 91.334, -8.6268
345.000000, 91.172, -4.9711
350.000000, 91.037, -1.0034
355.000000, 90.935, 2.9449
360.000000, 90.841, 6.7906
365.000000, 90.741, 10.6655
370.000000, 90.643, 14.4492
375.000000, 90.524, 18.1072
382.000000, 90.307, 23.4621
387.000000, 90.147, 27.5856
395.000000, 89.927, 34.4169
400.000000, 89.801, 38.7653
406.000000, 89.657, 44.0318
412.000000, 89.524, 49.3320
418.000000, 89.396, 54.6716
425.000000, 89.256, 60.9154
431.000000, 89.142, 66.3380
437.000000, 89.036, 71.8379
444.000000, 88.925, 78.3479
450.000000, 88.847, 84.0127
455.000000, 88.795, 88.7969
462.000000, 88.746, 95.4772
468.000000, 88.724, 101.1372
475.000000, 88.709, 107.5522
482.000000, 88.692, 113.8646
487.000000, 88.674, 118.4309
494.000000, 88.644, 124.8453
500.000000, 88.621, 130.3782
508.000000, 88.600, 137.8451
515.000000, 88.593, 144.4316
522.000000, 88.595, 151.0507
530.000000, 88.612, 158.6331
538.000000, 88.643, 166.2702
545.000000, 88.684, 172.9426
552.000000, 88.736, 179.6060
560.000000, 88.805, -172.7827
570.000000, 88.908, -163.2951
580.000000, 89.043, -153.7435
590.000000, 89.213, -144.2855
600.000000, 89.399, -135.0659
608.000000, 89.551, -127.7874
615.000000, 89.688, -121.4376
622.000000, 89.826, -115.0926
630.000000, 89.991, -107.8888
640.000000, 90.217, -99.0260
650.000000, 90.448, -90.3523
660.000000, 90.671, -81.7816
670.000000, 90.894, -73.2626
680.000000, 91.123, -64.8041
690.000000, 91.349, -56.4406
700.000000, 91.574, -48.1606
710.000000, 91.806, -39.9671
720.000000, 92.035, -31.8610
730.000000, 92.256, -23.8481
740.000000, 92.471, -15.9216
750.000000, 92.683, -8.0535
762.000000, 92.927, 1.3239
775.000000, 93.175, 11.3868
788.000000, 93.401, 21.3560
800.000000, 93.601, 30.5337
812.000000, 93.793, 39.6616
825.000000, 93.988, 49.5092
838.000000, 94.162, 59.2990
850.000000, 94.300, 68.2831
862.000000, 94.420, 77.2623
875.000000, 94.534, 87.0298
885.000000, 94.611, 94.5953
900.000000, 94.712, 106.0044
912.000000, 94.780, 115.1721
925.000000, 94.846, 125.1669
938.000000, 94.905, 135.2407
950.000000, 94.957, 144.5959
962.000000, 95.005, 153.9764
975.000000, 95.049, 164.1526
988.000000, 95.083, 174.3566
1000.000000, 95.109, -176.1890
1015.000000, 95.135, -164.3092
1030.000000, 95.152, -152.3298
1044.000000, 95.166, -141.0533
1060.000000, 95.186, -128.0930
1075.000000, 95.206, -115.9412
1090.000000, 95.225, -103.7850
1106.000000, 95.244, -90.7248
1120.000000, 95.266, -79.2029
1138.000000, 95.302, -64.3508
1150.000000, 95.328, -54.4935
1172.000000, 95.361, -36.5665
1180.000000, 95.359, -30.0718
1206.000000, 95.276, -8.7013
1220.000000, 95.208, 3.2938
1241.000000, 95.164, 21.8786
1250.000000, 95.173, 29.8900
1265.000000, 95.212, 43.1625
1280.000000, 95.266, 56.3289
1315.000000, 95.396, 86.8686
1320.000000, 95.414, 91.2283
1340.000000, 95.474, 108.7096
1360.000000, 95.515, 126.2943
1380.000000, 95.564, 143.9508
1400.000000, 95.637, 161.6493
1430.000000, 95.775, -171.8009
1450.000000, 95.869, -154.1348
1475.000000, 95.978, -132.0354
1500.000000, 96.074, -109.8701
1525.000000, 96.157, -87.6288
1550.000000, 96.229, -65.2518
1575.000000, 96.297, -42.7224
1600.000000, 96.363, -20.0482
1625.000000, 96.428, 2.7894
1650.000000, 96.487, 25.8265
1675.000000, 96.534, 49.0858
1700.000000, 96.561, 72.6874
1725.000000, 96.570, 96.8816
1750.000000, 96.580, 122.1116
1775.000000, 96.702, 149.1289
1800.000000, 97.258, 178.3839
1825.000000, 98.641, -152.5764
1850.000000, 100.527, -129.4208
1875.000000, 101.946, -113.1603
1900.000000, 102.515, -98.6001
1925.000000, 102.565, -81.9802
1950.000000, 102.459, -62.8761
1975.000000, 102.405, -42.0338
2000.000000, 102.477, -20.4100
2030.000000, 102.678, 5.5927
2060.000000, 102.909, 31.4406
2090.000000, 103.141, 57.3198
2120.000000, 103.378, 83.1940
2140.000000, 103.533, 100.4484
2180.000000, 103.840, 135.1577
2200.000000, 103.994, 152.5966
2240.000000, 104.316, -172.4607
2270.000000, 104.572, -146.2759
2300.000000, 104.831, -120.1919
2330.000000, 105.088, -94.1938
2360.000000, 105.346, -68.2128
2400.000000, 105.688, -33.5796
2430.000000, 105.936, -7.6620
2470.000000, 106.251, 26.7950
2500.000000, 106.467, 52.5409
2540.000000, 106.718, 86.7427
2580.000000, 106.930, 120.9690
2620.000000, 107.111, 155.3376
2650.000000, 107.225, -178.7854
2690.000000, 107.354, -144.0767
2720.000000, 107.435, -117.8911
2760.000000, 107.518, -82.8501
2800.000000, 107.590, -47.6143
2850.000000, 107.699, -3.3271
2900.000000, 107.842, 41.0405
2950.000000, 108.035, 85.5315
3000.000000, 108.242, 129.8167
3040.000000, 108.378, 165.0261
3070.000000, 108.459, -168.5598
3110.000000, 108.553, -133.3010
3150.000000, 108.640, -98.1270
3200.000000, 108.715, -54.3647
3250.000000, 108.720, -10.6338
3300.000000, 108.661, 33.3489
3350.000000, 108.581, 77.6670
3400.000000, 108.507, 121.9634
3450.000000, 108.387, 165.9065
3500.000000, 108.148, -150.2959
3550.000000, 107.743, -106.0718
3600.000000, 107.181, -60.7593
3650.000000, 106.511, -13.7170
3700.000000, 105.871, 36.2900
3750.000000, 105.711, 89.5630
3820.000000, 106.549, 160.6782
3870.000000, 107.181, -154.0432
3950.000000, 107.484, -85.7327
4000.000000, 107.271, -42.6882
4060.000000, 106.819, 10.6702
4120.000000, 106.296, 65.6306
4180.000000, 105.754, 121.9146
4250.000000, 105.176, -171.0403
4310.000000, 104.758, -113.1018
4370.000000, 104.441, -56.7271
4440.000000, 104.087, -1.0420
4500.000000, 103.654, 33.4536
4550.000000, 103.325, 57.1338
4620.000000, 102.885, 89.4326
4680.000000, 102.423, 117.5298
4750.000000, 101.741, 150.7100
4820.000000, 100.934, -175.1934
4870.000000, 100.344, -149.9412
4940.000000, 99.662, -113.2065
5000.000000, 99.384, -80.8823
5080.000000, 99.617, -38.2422
5150.000000, 100.288, -2.9766
5220.000000, 101.108, 29.6362
5300.000000, 102.001, 64.0073
5380.000000, 102.758, 96.0498
5450.000000, 103.239, 122.6094
5520.000000, 103.478, 148.1743
5600.000000, 103.410, 177.0664
5700.000000, 102.887, -146.0591
5800.000000, 102.205, -108.0015
5900.000000, 101.659, -69.0117
6000.000000, 101.286, -29.8633
6080.000000, 101.085, 1.2769
6150.000000, 100.977, 28.3105
6220.000000, 100.947, 55.0225
6300.000000, 101.018, 84.8789
6400.000000, 101.231, 120.8052
6500.000000, 101.460, 155.2061
6600.000000, 101.557, -171.8188
6700.000000, 101.441, -139.7749
6800.000000, 101.136, -108.0830
6900.000000, 100.714, -76.3770
7000.000000, 100.246, -44.4722
7100.000000, 99.794, -12.2920
7200.000000, 99.407, 20.0645
7300.000000, 99.108, 52.1689
7400.000000, 98.900, 83.6665
7500.000000, 98.768, 114.3188
7620.000000, 98.696, 150.3638
7750.000000, 98.657, -171.6748
7880.000000, 98.458, -135.0605
8000.000000, 98.076, -102.1309
8120.000000, 97.555, -69.1387
8250.000000, 96.923, -33.0439
8380.000000, 96.359, 3.7334
8500.000000, 96.059, 37.4170
8620.000000, 96.103, 70.1450
8750.000000, 96.476, 103.7534
8850.000000, 96.814, 127.8945
9000.000000, 97.119, 161.6382
9120.000000, 97.082, -172.7798
9250.000000, 96.714, -145.7900
9380.000000, 96.005, -119.3062
9500.000000, 95.096, -94.5410
9620.000000, 94.010, -69.0884
9750.000000, 92.690, -40.3584
9880.000000, 91.326, -10.2329
10000.000000, 90.237, 18.2100
10150.000000, 89.524, 54.3936
10300.000000, 89.771, 90.9785
10440.000000, 90.619, 123.1558
10600.000000, 91.960, 155.4473
10750.000000, 93.431, -178.0044
10900.000000, 94.912, -155.2988
11060.000000, 96.034, -135.0293
11200.000000, 96.214, -120.0840
11380.000000, 95.159, -101.5327
11500.000000, 93.857, -87.7993
11720.000000, 90.875, -58.8408
11800.000000, 89.617, -46.9214
12060.000000, 84.762, -6.5005
12200.000000, 83.475, 29.0635
12410.000000, 86.176, 116.6504
12500.000000, 87.621, 151.4004
12650.000000, 89.508, -156.7808
12800.000000, 90.760, -108.9624
13150.000000, 92.006, -2.9004
13200.000000, 92.064, 11.8955
13400.000000, 92.105, 70.7041
13600.000000, 92.004, 129.0762
13800.000000, 91.919, -173.9463
14000.000000, 91.575, -117.9307
14300.000000, 90.118, -34.3867
14500.000000, 88.988, 21.7656
14750.000000, 88.524, 90.2505
15000.000000, 89.485, 151.5942
15250.000000, 90.267, -160.2290
15500.000000, 89.320, -122.0977
15750.000000, 86.479, -98.9116
16000.000000, 82.060, -70.2778
16250.000000, 77.777, -18.4038
16500.000000, 76.252, 46.5601
16750.000000, 76.736, 114.7061
17000.000000, 78.154, -177.7051
17250.000000, 79.605, -113.4033
17500.000000, 79.306, -53.5942
17750.000000, 76.124, 15.4971
18000.000000, 70.742, 103.3916
18250.000000, 69.025, -157.8828
18500.000000, 72.940, -69.3501
18750.000000, 76.246, 4.3389
19000.000000, 78.296, 69.8843
19250.000000, 79.059, 132.0688
19500.000000, 78.736, -163.9219
19750.000000, 77.792, -94.7393
20000.000000, 76.428, -28.4590
20300.000000, 74.117, 56.7173
20600.000000, 71.102, 146.7363
20900.000000, 67.291, -118.5986
21200.000000, 62.352, -17.9219
21400.000000, 58.286, 54.3252
21800.000000, 48.773, -144.4385
22000.000000, 44.142, 25.7500
22400.000000, 37.028, 52.2783
22700.000000, 32.535, -40.1182
23000.000000, 27.819, -158.7920
23300.000000, 22.785, -88.7363
23600.000000, 19.020, 144.9639
24000.000000, 17.535, 92.5332
