* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -32.9 dBFS, measurement signal peak level -11.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.4 dBFS using an acoustic timing reference
* Dated: Nov 7, 2024 12:11:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Delay -2.7264 ms (-935 mm, -(3 ft 0.82 in)) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -1,001.9 ppm
5.450000, 82.531, 13.3970
5.520000, 82.749, 12.2550
5.600000, 82.993, 10.9567
5.700000, 83.289, 9.3474
5.800000, 83.576, 7.7584
5.900000, 83.853, 6.1884
6.000000, 84.120, 4.6294
6.080000, 84.326, 3.3951
6.150000, 84.502, 2.3308
6.220000, 84.673, 1.2830
6.300000, 84.863, 0.1012
6.400000, 85.092, -1.3567
6.500000, 85.312, -2.7808
6.600000, 85.525, -4.1586
6.700000, 85.730, -5.4952
6.800000, 85.927, -6.7949
6.900000, 86.119, -8.0483
7.000000, 86.307, -9.2489
7.100000, 86.491, -10.4016
7.200000, 86.671, -11.5115
7.300000, 86.850, -12.5787
7.400000, 87.028, -13.6018
7.500000, 87.206, -14.5844
7.620000, 87.421, -15.7252
7.750000, 87.655, -16.9264
7.880000, 87.893, -18.0919
8.000000, 88.113, -19.1555
8.120000, 88.335, -20.2233
8.250000, 88.576, -21.3826
8.380000, 88.815, -22.5533
8.500000, 89.033, -23.6548
8.620000, 89.247, -24.7725
8.750000, 89.471, -25.9920
8.850000, 89.637, -26.9353
9.000000, 89.876, -28.3560
9.120000, 90.057, -29.4752
9.250000, 90.243, -30.6586
9.380000, 90.417, -31.8096
9.500000, 90.570, -32.8220
9.620000, 90.717, -33.7758
9.750000, 90.869, -34.7459
9.880000, 91.009, -35.6414
10.000000, 91.129, -36.3960
10.150000, 91.268, -37.2555
10.300000, 91.407, -38.0392
10.440000, 91.541, -38.7101
10.600000, 91.702, -39.4458
10.750000, 91.868, -40.1340
10.900000, 92.044, -40.8397
11.060000, 92.238, -41.6515
11.200000, 92.411, -42.4181
11.380000, 92.630, -43.4908
11.500000, 92.771, -44.2639
11.720000, 93.014, -45.7690
11.800000, 93.097, -46.3381
12.060000, 93.340, -48.2216
12.200000, 93.454, -49.2212
12.410000, 93.604, -50.6647
12.500000, 93.661, -51.2472
12.650000, 93.748, -52.1647
12.800000, 93.828, -53.0082
13.150000, 94.007, -54.6736
13.200000, 94.033, -54.8816
13.400000, 94.145, -55.6522
13.600000, 94.269, -56.3599
13.800000, 94.404, -57.0386
14.000000, 94.548, -57.7230
14.300000, 94.772, -58.7982
14.500000, 94.922, -59.5566
14.750000, 95.105, -60.5383
15.000000, 95.283, -61.5371
15.250000, 95.460, -62.5295
15.500000, 95.637, -63.5056
15.750000, 95.812, -64.4667
16.000000, 95.989, -65.4237
16.250000, 96.167, -66.3899
16.500000, 96.343, -67.3718
16.750000, 96.517, -68.3684
17.000000, 96.687, -69.3691
17.250000, 96.855, -70.3612
17.500000, 97.018, -71.3340
17.750000, 97.180, -72.2839
18.000000, 97.342, -73.2158
18.250000, 97.505, -74.1395
18.500000, 97.667, -75.0663
18.750000, 97.829, -76.0031
19.000000, 97.987, -76.9501
19.250000, 98.141, -77.9009
19.500000, 98.290, -78.8447
19.750000, 98.432, -79.7720
20.000000, 98.570, -80.6763
20.299999, 98.731, -81.7310
20.600000, 98.889, -82.7608
20.900000, 99.043, -83.7775
21.200001, 99.193, -84.7894
21.400000, 99.289, -85.4617
21.799999, 99.472, -86.7932
22.000000, 99.559, -87.4481
22.400000, 99.728, -88.7323
22.700001, 99.851, -89.6788
23.000000, 99.972, -90.6221
23.299999, 100.091, -91.5723
23.600000, 100.206, -92.5337
24.000000, 100.351, -93.8275
24.299999, 100.453, -94.7964
24.700001, 100.583, -96.0742
25.000000, 100.676, -97.0208
25.400000, 100.797, -98.2756
25.799999, 100.911, -99.5316
26.200001, 101.017, -100.7873
26.500000, 101.090, -101.7198
26.900000, 101.179, -102.9360
27.200001, 101.241, -103.8217
27.600000, 101.316, -104.9659
28.000000, 101.384, -106.0703
28.500000, 101.454, -107.3861
29.000000, 101.505, -108.5930
29.500000, 101.536, -109.6277
30.000000, 101.551, -110.4086
30.400000, 101.560, -110.7845
30.700001, 101.573, -110.8909
31.100000, 101.618, -110.7958
31.500000, 101.715, -110.5024
32.000000, 101.939, -110.1459
32.500000, 102.267, -110.2448
33.000000, 102.638, -111.1324
33.500000, 102.978, -112.8063
34.000000, 103.238, -114.9907
34.500000, 103.407, -117.3329
35.000000, 103.500, -119.5627
35.500000, 103.547, -121.5534
36.000000, 103.568, -123.2840
36.500000, 103.577, -124.7697
37.000000, 103.584, -126.0201
37.500000, 103.600, -127.0497
38.200001, 103.664, -128.2322
38.700001, 103.749, -129.0549
39.500000, 103.933, -130.6915
40.000000, 104.048, -132.0132
40.599998, 104.153, -133.8491
41.200001, 104.211, -135.8135
41.799999, 104.222, -137.7729
42.500000, 104.187, -139.9507
43.099998, 104.124, -141.6746
43.700001, 104.036, -143.2270
44.400002, 103.913, -144.7904
45.000000, 103.797, -145.9121
45.500000, 103.697, -146.6891
46.200001, 103.558, -147.5188
46.799999, 103.449, -147.9833
47.500000, 103.348, -148.2643
48.200001, 103.289, -148.3347
48.700001, 103.279, -148.3220
49.400002, 103.312, -148.3405
50.000000, 103.377, -148.5012
50.799999, 103.493, -149.0372
51.500000, 103.599, -149.8229
52.200001, 103.694, -150.8695
53.000000, 103.774, -152.3148
53.799999, 103.808, -153.9235
54.500000, 103.798, -155.3579
55.200001, 103.753, -156.7222
56.000000, 103.670, -158.1221
57.000000, 103.535, -159.5493
58.000000, 103.402, -160.6476
59.000000, 103.274, -161.6718
60.000000, 103.111, -162.5790
60.799999, 102.961, -163.0255
61.500000, 102.832, -163.1965
62.200001, 102.707, -163.1674
63.000000, 102.583, -162.8545
64.000000, 102.486, -162.1363
65.000000, 102.466, -161.3140
66.000000, 102.517, -160.5657
67.000000, 102.630, -160.0673
68.000000, 102.782, -159.9651
69.000000, 102.941, -160.3029
70.000000, 103.078, -160.9686
71.000000, 103.189, -161.8287
72.000000, 103.267, -162.8267
73.000000, 103.302, -163.7991
74.000000, 103.311, -164.5590
75.000000, 103.325, -165.0674
76.199997, 103.375, -165.4839
77.500000, 103.481, -165.9640
78.800003, 103.625, -166.7020
80.000000, 103.766, -167.7277
81.199997, 103.892, -169.1055
82.500000, 103.985, -170.9003
83.800003, 104.024, -172.8701
85.000000, 104.008, -174.7050
86.199997, 103.956, -176.4269
87.500000, 103.871, -178.1827
88.500000, 103.787, -179.4846
90.000000, 103.623, 178.6172
91.199997, 103.449, 177.1940
92.500000, 103.216, 175.8544
93.800003, 102.945, 174.8098
95.000000, 102.666, 174.1722
96.199997, 102.369, 173.9446
97.500000, 102.052, 174.2054
98.800003, 101.765, 174.9762
100.000000, 101.550, 176.0564
101.500000, 101.376, 177.7157
103.000000, 101.317, 179.4404
104.400002, 101.361, -179.1325
106.000000, 101.493, -177.9754
107.500000, 101.656, -177.4128
109.000000, 101.824, -177.3397
110.599998, 101.988, -177.6906
112.000000, 102.112, -178.3101
113.800003, 102.235, -179.3856
115.000000, 102.298, 179.7851
117.199997, 102.367, 178.1129
118.000000, 102.379, 177.4982
120.599998, 102.378, 175.3934
122.000000, 102.348, 174.2310
124.099998, 102.273, 172.4976
125.000000, 102.230, 171.7558
126.500000, 102.147, 170.5315
128.000000, 102.047, 169.3282
131.500000, 101.766, 166.6283
132.000000, 101.722, 166.2565
134.000000, 101.538, 164.7789
136.000000, 101.333, 163.3049
138.000000, 101.100, 161.9124
140.000000, 100.846, 160.6150
143.000000, 100.426, 158.7867
145.000000, 100.120, 157.6837
147.500000, 99.711, 156.4971
150.000000, 99.280, 155.5405
152.500000, 98.835, 154.7894
155.000000, 98.381, 154.2256
157.500000, 97.918, 153.8280
160.000000, 97.448, 153.5865
162.500000, 96.974, 153.4795
165.000000, 96.490, 153.5311
167.500000, 95.999, 153.7867
170.000000, 95.508, 154.2217
172.500000, 95.019, 154.7889
175.000000, 94.529, 155.4670
177.500000, 94.033, 156.2805
180.000000, 93.534, 157.2570
182.500000, 93.035, 158.4336
185.000000, 92.544, 159.7888
187.500000, 92.060, 161.2711
190.000000, 91.587, 162.8621
192.500000, 91.124, 164.5463
195.000000, 90.673, 166.3179
197.500000, 90.229, 168.1844
200.000000, 89.792, 170.2034
203.000000, 89.284, 172.8442
206.000000, 88.806, 175.7004
209.000000, 88.376, 178.5786
212.000000, 87.977, -178.7003
214.000000, 87.711, -176.9577
218.000000, 87.159, -173.5212
220.000000, 86.873, -171.7605
224.000000, 86.299, -168.0461
227.000000, 85.876, -165.0903
230.000000, 85.457, -162.0160
233.000000, 85.047, -158.8519
236.000000, 84.645, -155.6201
240.000000, 84.124, -151.1295
243.000000, 83.755, -147.5513
247.000000, 83.303, -142.6984
250.000000, 82.978, -139.1078
254.000000, 82.546, -134.3363
258.000000, 82.121, -129.4803
262.000000, 81.710, -124.4879
265.000000, 81.408, -120.6523
269.000000, 81.008, -115.3998
272.000000, 80.712, -111.3462
276.000000, 80.322, -105.7625
280.000000, 79.946, -99.8707
285.000000, 79.538, -91.9153
290.000000, 79.243, -83.3378
295.000000, 79.106, -74.5858
300.000000, 79.109, -66.3287
304.000000, 79.195, -60.0780
307.000000, 79.297, -55.4937
311.000000, 79.491, -49.6693
315.000000, 79.744, -44.6495
320.000000, 80.019, -39.7408
325.000000, 80.137, -35.4609
330.000000, 80.130, -30.9544
335.000000, 80.072, -26.0410
340.000000, 79.992, -20.8016
345.000000, 79.911, -15.2551
350.000000, 79.864, -9.3207
355.000000, 79.898, -3.2258
360.000000, 79.991, 2.5540
365.000000, 80.080, 7.9172
370.000000, 80.150, 13.1366
375.000000, 80.211, 18.3593
382.000000, 80.297, 25.7264
387.000000, 80.367, 31.0301
395.000000, 80.504, 39.5025
400.000000, 80.605, 44.7660
406.000000, 80.738, 51.0136
412.000000, 80.890, 57.1765
418.000000, 81.065, 63.2430
425.000000, 81.298, 70.0471
431.000000, 81.483, 75.6333
437.000000, 81.642, 81.1918
444.000000, 81.836, 87.7708
450.000000, 82.021, 93.2863
455.000000, 82.180, 97.7638
462.000000, 82.398, 103.8662
468.000000, 82.575, 108.9962
475.000000, 82.773, 114.9442
482.000000, 82.964, 120.8400
487.000000, 83.096, 125.0156
494.000000, 83.278, 130.8339
500.000000, 83.432, 135.7702
508.000000, 83.632, 142.2801
515.000000, 83.801, 147.9437
522.000000, 83.967, 153.5874
530.000000, 84.154, 160.0465
538.000000, 84.340, 166.4940
545.000000, 84.496, 172.0607
552.000000, 84.650, 177.5862
560.000000, 84.824, -176.0968
570.000000, 85.044, -168.2109
580.000000, 85.269, -160.3977
590.000000, 85.497, -152.7133
600.000000, 85.720, -145.1611
608.000000, 85.890, -139.2079
615.000000, 86.026, -134.0747
622.000000, 86.150, -128.9524
630.000000, 86.284, -123.0822
640.000000, 86.444, -115.7460
650.000000, 86.596, -108.4338
660.000000, 86.740, -101.1556
670.000000, 86.879, -93.8754
680.000000, 87.014, -86.5949
690.000000, 87.144, -79.3709
700.000000, 87.267, -72.1965
710.000000, 87.385, -65.0702
720.000000, 87.496, -57.9865
730.000000, 87.594, -50.9877
740.000000, 87.672, -44.0382
750.000000, 87.733, -37.0836
762.000000, 87.790, -28.7633
775.000000, 87.824, -19.7638
788.000000, 87.830, -10.7483
800.000000, 87.809, -2.4156
812.000000, 87.764, 5.9842
825.000000, 87.691, 15.1937
838.000000, 87.597, 24.4993
850.000000, 87.494, 33.1740
862.000000, 87.370, 41.9571
875.000000, 87.220, 51.6146
885.000000, 87.098, 59.1510
900.000000, 86.901, 70.6111
912.000000, 86.731, 79.9113
925.000000, 86.535, 90.1163
938.000000, 86.333, 100.4945
950.000000, 86.146, 110.2461
962.000000, 85.958, 120.1339
975.000000, 85.754, 130.9721
988.000000, 85.551, 141.9378
1000.000000, 85.365, 152.1759
1015.000000, 85.137, 165.1173
1030.000000, 84.917, 178.2101
1044.000000, 84.720, -169.4311
1060.000000, 84.504, -155.1264
1075.000000, 84.312, -141.5540
1090.000000, 84.132, -127.8763
1106.000000, 83.954, -113.1050
1120.000000, 83.809, -99.9413
1138.000000, 83.655, -82.6975
1150.000000, 83.582, -71.0423
1172.000000, 83.525, -49.5260
1180.000000, 83.532, -41.7198
1206.000000, 83.632, -16.6272
1220.000000, 83.714, -3.3085
1241.000000, 83.854, 16.4451
1250.000000, 83.915, 24.8385
1265.000000, 84.013, 38.7708
1280.000000, 84.109, 52.6749
1315.000000, 84.339, 85.1029
1320.000000, 84.372, 89.7304
1340.000000, 84.502, 108.2100
1360.000000, 84.613, 126.6576
1380.000000, 84.722, 145.1318
1400.000000, 84.850, 163.6437
1430.000000, 85.070, -168.4380
1450.000000, 85.243, -149.7637
1475.000000, 85.489, -126.4434
1500.000000, 85.764, -103.2556
1525.000000, 86.056, -80.3094
1550.000000, 86.340, -57.5258
1575.000000, 86.612, -34.8220
1600.000000, 86.873, -12.1802
1625.000000, 87.133, 10.4975
1650.000000, 87.403, 33.2078
1675.000000, 87.687, 55.8918
1700.000000, 87.976, 78.4376
1725.000000, 88.262, 100.8265
1750.000000, 88.535, 123.1176
1775.000000, 88.798, 145.3484
1800.000000, 89.054, 167.5735
1825.000000, 89.302, -170.1697
1850.000000, 89.541, -147.8353
1875.000000, 89.789, -125.3735
1900.000000, 90.062, -103.0006
1925.000000, 90.334, -80.8562
1950.000000, 90.588, -58.8496
1975.000000, 90.821, -36.8947
2000.000000, 91.043, -14.9133
2030.000000, 91.304, 11.5145
2060.000000, 91.565, 37.9138
2090.000000, 91.828, 64.2372
2120.000000, 92.073, 90.4738
2140.000000, 92.222, 107.9889
2180.000000, 92.512, 143.1481
2200.000000, 92.653, 160.7544
2240.000000, 92.913, -164.0470
2270.000000, 93.094, -137.6937
2300.000000, 93.272, -111.3379
2330.000000, 93.452, -84.9521
2360.000000, 93.630, -58.5660
2400.000000, 93.860, -23.4517
2430.000000, 94.021, 2.7950
2470.000000, 94.218, 37.7047
2500.000000, 94.354, 63.8496
2540.000000, 94.508, 98.6915
2580.000000, 94.621, 133.5345
2620.000000, 94.696, 168.4116
2650.000000, 94.731, -165.3987
2690.000000, 94.750, -130.4429
2720.000000, 94.739, -104.1783
2760.000000, 94.698, -69.0125
2800.000000, 94.631, -33.6113
2850.000000, 94.520, 10.9426
2900.000000, 94.396, 55.7568
2950.000000, 94.271, 100.7886
3000.000000, 94.154, 145.9866
3040.000000, 94.069, -177.8506
3070.000000, 94.006, -150.7754
3110.000000, 93.914, -114.7739
3150.000000, 93.796, -78.9053
3200.000000, 93.586, -34.2273
3250.000000, 93.304, 10.4365
3300.000000, 92.954, 55.1589
3350.000000, 92.522, 99.8445
3400.000000, 91.972, 144.6636
3450.000000, 91.248, -169.7551
3500.000000, 90.361, -122.3298
3550.000000, 89.528, -72.4187
3600.000000, 88.987, -21.3542
3650.000000, 88.726, 29.4365
3700.000000, 88.670, 79.0779
3750.000000, 88.644, 126.7849
3820.000000, 88.311, -168.1741
3870.000000, 87.819, -121.5859
3950.000000, 86.735, -45.4717
4000.000000, 85.946, 3.3103
4060.000000, 84.928, 63.0681
4120.000000, 83.871, 124.3784
4180.000000, 82.846, -172.4980
4250.000000, 81.837, -96.9314
4310.000000, 81.290, -33.7844
4370.000000, 80.970, 19.7529
4440.000000, 80.893, 68.2048
4500.000000, 81.214, 104.5413
4550.000000, 81.642, 133.1362
4620.000000, 82.311, 170.9365
4680.000000, 82.836, -158.5732
4750.000000, 83.297, -124.7742
4820.000000, 83.543, -92.0400
4870.000000, 83.595, -68.7996
4940.000000, 83.576, -36.1106
5000.000000, 83.565, -8.2114
5080.000000, 83.584, 28.4246
5150.000000, 83.623, 59.8862
5220.000000, 83.683, 90.7651
5300.000000, 83.768, 124.9927
5380.000000, 83.755, 157.7922
5450.000000, 83.528, -174.4233
5520.000000, 83.080, -146.5630
5600.000000, 82.451, -113.8848
5700.000000, 81.695, -72.4973
5800.000000, 80.928, -31.4277
5900.000000, 80.078, 9.4990
6000.000000, 79.168, 51.1040
6080.000000, 78.463, 85.1055
6150.000000, 77.931, 114.8413
6220.000000, 77.516, 144.1113
6300.000000, 77.150, 176.7681
6400.000000, 76.704, -143.3862
6500.000000, 76.158, -104.5815
6600.000000, 75.511, -66.1777
6700.000000, 74.729, -27.5405
6800.000000, 73.777, 11.3779
6900.000000, 72.711, 51.0039
7000.000000, 71.660, 91.7769
7100.000000, 70.789, 133.6504
7200.000000, 70.266, 176.2559
7300.000000, 70.160, -141.3989
7400.000000, 70.409, -100.1997
7500.000000, 70.908, -60.5225
7620.000000, 71.774, -14.6636
7750.000000, 72.902, 32.5879
7880.000000, 73.981, 76.8354
8000.000000, 74.924, 115.1660
8120.000000, 75.802, 151.5854
8250.000000, 76.604, -170.7456
8380.000000, 77.181, -134.8926
8500.000000, 77.494, -102.8623
8620.000000, 77.610, -71.4272
8750.000000, 77.548, -37.9556
8850.000000, 77.418, -12.7656
9000.000000, 77.138, 24.6934
9120.000000, 76.811, 54.8867
9250.000000, 76.415, 87.4038
9380.000000, 76.101, 120.1411
9500.000000, 75.859, 149.4878
9620.000000, 75.564, 178.3018
9750.000000, 75.156, -150.8799
9880.000000, 74.722, -119.7886
10000.000000, 74.385, -91.0723
10150.000000, 74.156, -56.0620
10300.000000, 74.210, -22.8540
10440.000000, 74.473, 7.5688
10600.000000, 74.901, 39.9868
10750.000000, 75.311, 68.2588
10900.000000, 75.568, 94.2905
11060.000000, 75.339, 119.3950
11200.000000, 74.423, 141.7275
11380.000000, 72.502, 171.5488
11500.000000, 71.227, -167.6182
11720.000000, 69.078, -127.9785
11800.000000, 68.135, -113.4863
12060.000000, 63.448, -56.9150
12200.000000, 61.677, 11.6201
12410.000000, 66.527, 127.5005
12500.000000, 68.850, 165.6309
12650.000000, 71.642, -140.3306
12800.000000, 73.435, -90.5625
13150.000000, 76.050, 20.5889
13200.000000, 76.251, 35.8560
13400.000000, 76.370, 95.9854
13600.000000, 75.633, 156.2710
13800.000000, 74.713, -140.8633
14000.000000, 73.604, -75.8564
14300.000000, 71.966, 23.4165
14500.000000, 71.855, 88.8857
14750.000000, 72.995, 167.1289
15000.000000, 74.519, -123.6338
15250.000000, 74.339, -62.5713
15500.000000, 70.798, -1.1382
15750.000000, 64.668, 68.2358
16000.000000, 58.891, 130.7622
16250.000000, 55.288, 103.7808
16500.000000, 54.174, 150.0737
16750.000000, 56.459, -132.1406
17000.000000, 60.208, -56.4258
17250.000000, 62.425, 12.7881
17500.000000, 61.521, 80.9932
17750.000000, 57.749, 160.0278
18000.000000, 54.088, -111.2075
18250.000000, 54.668, -20.4653
18500.000000, 56.974, 66.6753
18750.000000, 58.396, 142.6426
19000.000000, 59.074, -137.7549
19250.000000, 59.644, -61.6479
19500.000000, 59.948, 11.3223
19750.000000, 59.559, 87.1011
20000.000000, 58.320, 160.1660
20300.000000, 55.664, -97.3643
20600.000000, 52.445, 10.5498
20900.000000, 49.459, 106.1172
21200.000000, 45.458, -143.6865
21400.000000, 41.796, -67.0303
21800.000000, 33.195, 106.5625
22000.000000, 29.095, -74.8945
22400.000000, 22.551, -41.1074
22700.000000, 19.757, 79.2949
23000.000000, 18.284, 36.6738
23300.000000, 17.552, 0.9727
23600.000000, 17.328, 71.2969
24000.000000, 17.584, 9.7295
24300.000000, 17.708, -90.8154
24700.000000, 17.771, -142.3418
25000.000000, 17.765, 119.7637
25400.000000, 17.754, -21.6504
25800.000000, 17.882, 77.7236
26200.000000, 17.961, 64.3633
26500.000000, 18.030, 119.6816
26900.000000, 18.156, 168.2305
27200.000000, 18.244, -16.0635
27600.000000, 18.237, -72.2568
28000.000000, 18.136, -126.4375
28500.000000, 18.284, -59.0596
29000.000000, 18.591, -115.6904
29500.000000, 18.609, 63.5254
30000.000000, 18.564, 11.0264
30400.000000, 18.562, 53.6445
30700.000000, 18.644, -169.1104
31100.000000, 18.811, -85.6484
31500.000000, 18.884, -150.8809
32000.000000, 18.830, -74.7559
32500.000000, 18.808, -67.1445
33000.000000, 18.791, -26.1924
33500.000000, 18.833, -6.5508
34000.000000, 18.865, 93.5869
34500.000000, 19.006, -50.7354
35000.000000, 19.054, 172.1641
35500.000000, 19.272, -63.4341
36000.000000, 19.402, -14.3027
36500.000000, 19.313, -29.6738
37000.000000, 19.391, 55.9204
37500.000000, 19.450, 10.1172
38200.000000, 19.421, 98.9561
38700.000000, 19.421, -72.8315
39500.000000, 19.472, -116.7339
40000.000000, 19.663, -151.2271
40600.000000, 19.895, 57.5625
41200.000000, 20.001, -131.0898
41800.000000, 20.024, 71.5039
42500.000000, 20.093, -108.3789
43100.000000, 20.098, 121.5615
43700.000000, 20.127, -11.7744
44400.000000, 20.202, 96.0615
45000.000000, 20.245, -58.2334
45500.000000, 20.268, 21.8491
46200.000000, 20.333, -91.4780
46800.000000, 20.422, -175.3682
47500.000000, 20.607, 97.8496
48200.000000, 20.702, 7.8696
48700.000000, 20.663, -56.2812
49400.000000, 20.653, -100.0010
50000.000000, 20.685, -159.8730
50800.000000, 20.696, 134.5254
51500.000000, 20.681, 3.5532
52200.000000, 20.671, -54.2646
53000.000000, 20.812, -88.1641
53800.000000, 20.983, 12.8281
54500.000000, 21.150, -60.5044
55200.000000, 21.248, -109.7939
56000.000000, 21.161, -167.0347
57000.000000, 21.092, -89.3354
58000.000000, 21.327, -25.9668
59000.000000, 21.564, -86.0322
60000.000000, 21.556, -83.6274
60800.000000, 21.462, -38.3369
61500.000000, 21.499, 45.2285
62200.000000, 21.597, -173.2192
63000.000000, 21.685, 170.5410
64000.000000, 21.799, -140.2983
65000.000000, 21.889, -160.9180
66000.000000, 21.900, 1.2563
67000.000000, 21.952, 164.3687
68000.000000, 22.057, -11.1636
69000.000000, 22.089, -173.8154
70000.000000, 22.121, 15.5674
71000.000000, 22.159, -149.2329
72000.000000, 22.231, 96.6670
73000.000000, 22.384, -33.2383
74000.000000, 22.568, -105.6528
75000.000000, 22.699, 112.4722
76200.000000, 22.651, 66.9116
77500.000000, 22.644, 19.1060
78800.000000, 22.668, -4.4766
80000.000000, 22.769, 86.1143
81200.000000, 22.895, 169.1367
82500.000000, 22.965, 170.9097
83800.000000, 23.087, -110.2842
85000.000000, 23.115, -175.5029
86200.000000, 23.016, -142.3774
87500.000000, 23.050, -27.9004
88500.000000, 23.181, 130.6782
90000.000000, 23.151, -130.7266
91200.000000, 22.710, -13.3682
92500.000000, 21.368, 106.9712
93800.000000, 19.232, -94.5962
95000.000000, 17.423, 86.2866
