* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Gizaudio DaVinci (R) 1, Gizaudio DaVinci (R) 2, Gizaudio DaVinci (R) 3
* Dated: Aug 8, 2024 7:29:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Gizaudio DaVinci (R) 1, Gizaudio DaVinci (R) 2, Gizaudio DaVinci (R) 3
* Measurement: Gizaudio DaVinci S&S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
1800.000000, 101.679
1825.000000, 101.821
1850.000000, 101.968
1875.000000, 102.117
1900.000000, 102.268
1925.000000, 102.421
1950.000000, 102.576
1975.000000, 102.730
2000.000000, 102.884
2030.000000, 103.067
2060.000000, 103.247
2090.000000, 103.422
2120.000000, 103.592
2140.000000, 103.701
2180.000000, 103.911
2200.000000, 104.010
2240.000000, 104.199
2270.000000, 104.331
2300.000000, 104.456
2330.000000, 104.573
2360.000000, 104.684
2400.000000, 104.823
2430.000000, 104.921
2470.000000, 105.048
2500.000000, 105.139
2540.000000, 105.258
2580.000000, 105.374
2620.000000, 105.488
2650.000000, 105.570
2690.000000, 105.673
2720.000000, 105.744
2760.000000, 105.825
2800.000000, 105.884
2850.000000, 105.918
2900.000000, 105.896
2950.000000, 105.812
3000.000000, 105.673
3040.000000, 105.531
3070.000000, 105.411
3110.000000, 105.242
3150.000000, 105.068
3200.000000, 104.850
3250.000000, 104.635
3300.000000, 104.424
3350.000000, 104.217
3400.000000, 104.016
3450.000000, 103.822
3500.000000, 103.640
3550.000000, 103.472
3600.000000, 103.321
3650.000000, 103.186
3700.000000, 103.066
3750.000000, 102.961
3820.000000, 102.836
3870.000000, 102.764
3950.000000, 102.677
4000.000000, 102.640
4060.000000, 102.610
4120.000000, 102.594
4180.000000, 102.590
4250.000000, 102.607
4310.000000, 102.639
4370.000000, 102.683
4440.000000, 102.736
4500.000000, 102.767
4550.000000, 102.774
4620.000000, 102.743
4680.000000, 102.672
4750.000000, 102.534
4820.000000, 102.338
4870.000000, 102.165
4940.000000, 101.879
5000.000000, 101.600
5080.000000, 101.188
5150.000000, 100.800
5220.000000, 100.396
5300.000000, 99.929
5380.000000, 99.470
5450.000000, 99.086
5520.000000, 98.724
5600.000000, 98.345
5700.000000, 97.928
5800.000000, 97.580
5900.000000, 97.300
6000.000000, 97.090
6080.000000, 96.971
6150.000000, 96.902
6220.000000, 96.867
6300.000000, 96.866
6400.000000, 96.926
6500.000000, 97.050
6600.000000, 97.237
6700.000000, 97.484
6800.000000, 97.790
6900.000000, 98.150
7000.000000, 98.562
7100.000000, 99.018
7200.000000, 99.510
7300.000000, 100.024
7400.000000, 100.540
7500.000000, 101.034
7620.000000, 101.566
7750.000000, 102.030
7880.000000, 102.349
8000.000000, 102.501
8120.000000, 102.517
8250.000000, 102.396
8380.000000, 102.156
8500.000000, 101.854
8620.000000, 101.500
8750.000000, 101.083
8850.000000, 100.752
9000.000000, 100.246
9120.000000, 99.836
9250.000000, 99.393
9380.000000, 98.965
9500.000000, 98.596
9620.000000, 98.251
9750.000000, 97.900
9880.000000, 97.565
10000.000000, 97.270
10150.000000, 96.926
10300.000000, 96.616
10440.000000, 96.362
10600.000000, 96.113
10750.000000, 95.920
10900.000000, 95.769
11060.000000, 95.652
11200.000000, 95.587
11380.000000, 95.553
11500.000000, 95.562
11720.000000, 95.646
11800.000000, 95.697
12060.000000, 95.936
12200.000000, 96.108
12410.000000, 96.423
12500.000000, 96.580
12650.000000, 96.869
12800.000000, 97.190
13150.000000, 98.004
13200.000000, 98.120
13400.000000, 98.554
13600.000000, 98.905
13800.000000, 99.129
14000.000000, 99.199
14300.000000, 98.996
14500.000000, 98.665
14750.000000, 98.055
15000.000000, 97.253
15250.000000, 96.306
15500.000000, 95.300
15750.000000, 94.302
16000.000000, 93.290
16250.000000, 92.212
16500.000000, 91.058
16750.000000, 89.865
17000.000000, 88.706
17250.000000, 87.673
17500.000000, 86.852
17750.000000, 86.267
18000.000000, 85.847
18250.000000, 85.449
18500.000000, 84.930
18750.000000, 84.197
19000.000000, 83.207
19250.000000, 81.946
19500.000000, 80.445
19750.000000, 78.885
20000.000000, 77.796
