* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Dated: Aug 8, 2024 9:10:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of Dusk Analog (L) 1, Dusk Analog (L) 2, Dusk Analog (L) 3
* Measurement: Moondrop Dusk Analog L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz), SPL(dB)
2620.000000, 100.641
2650.000000, 100.662
2690.000000, 100.680
2720.000000, 100.686
2760.000000, 100.686
2800.000000, 100.678
2850.000000, 100.657
2900.000000, 100.626
2950.000000, 100.588
3000.000000, 100.546
3040.000000, 100.511
3070.000000, 100.484
3110.000000, 100.449
3150.000000, 100.414
3200.000000, 100.372
3250.000000, 100.329
3300.000000, 100.284
3350.000000, 100.234
3400.000000, 100.178
3450.000000, 100.115
3500.000000, 100.046
3550.000000, 99.972
3600.000000, 99.895
3650.000000, 99.818
3700.000000, 99.743
3750.000000, 99.673
3820.000000, 99.586
3870.000000, 99.532
3950.000000, 99.457
4000.000000, 99.414
4060.000000, 99.366
4120.000000, 99.320
4180.000000, 99.276
4250.000000, 99.228
4310.000000, 99.191
4370.000000, 99.158
4440.000000, 99.124
4500.000000, 99.099
4550.000000, 99.080
4620.000000, 99.055
4680.000000, 99.032
4750.000000, 99.002
4820.000000, 98.962
4870.000000, 98.927
4940.000000, 98.865
5000.000000, 98.800
5080.000000, 98.698
5150.000000, 98.598
5220.000000, 98.494
5300.000000, 98.374
5380.000000, 98.255
5450.000000, 98.153
5520.000000, 98.054
5600.000000, 97.944
5700.000000, 97.808
5800.000000, 97.670
5900.000000, 97.525
6000.000000, 97.367
6080.000000, 97.229
6150.000000, 97.104
6220.000000, 96.982
6300.000000, 96.864
6400.000000, 96.784
6500.000000, 96.817
6600.000000, 96.981
6700.000000, 97.272
6800.000000, 97.671
6900.000000, 98.154
7000.000000, 98.694
7100.000000, 99.254
7200.000000, 99.783
7300.000000, 100.228
7400.000000, 100.538
7500.000000, 100.682
7620.000000, 100.630
7750.000000, 100.333
7880.000000, 99.849
8000.000000, 99.280
8120.000000, 98.620
8250.000000, 97.832
8380.000000, 97.027
