Freq[Hz]     dBSPL  Phase[Deg]
2832.31     69.375     4.204
2873.50     69.438     3.123
2915.30     69.478     2.043
2957.70     69.515     1.010
3000.72     69.545     0.031
3044.37     69.581    -0.893
3088.65     69.631    -1.817
3133.58     69.687    -2.785
3179.16     69.746    -3.815
3225.40     69.808    -4.933
3272.31     69.857    -6.132
3319.91     69.893    -7.365
3368.20     69.921    -8.617
3417.19     69.940    -9.887
3466.89     69.947   -11.151
3517.32     69.950   -12.402
3568.48     69.950   -13.655
3620.39     69.947   -14.920
3673.05     69.939   -16.212
3726.47     69.920   -17.520
3780.67     69.892   -18.821
3835.67     69.860   -20.123
3891.46     69.817   -21.423
3948.06     69.768   -22.708
4005.49     69.713   -23.987
4063.75     69.649   -25.253
4122.86     69.578   -26.496
4182.82     69.500   -27.709
4243.66     69.420   -28.897
4305.39     69.334   -30.070
4368.01     69.242   -31.214
4431.55     69.150   -32.336
4496.01     69.053   -33.447
4561.40     68.952   -34.536
4627.75     68.851   -35.619
4695.06     68.747   -36.718
4763.35     68.630   -37.810
4832.64     68.511   -38.892
4902.93     68.378   -39.968
4974.24     68.231   -40.987
5046.60     68.079   -41.940
5120.00     67.919   -42.829
5194.47     67.754   -43.633
5270.03     67.593   -44.367
5346.68     67.430   -45.042
5424.45     67.268   -45.650
5503.35     67.112   -46.204
5583.40     66.959   -46.714
5664.61     66.812   -47.190
5747.01     66.672   -47.651
5830.60     66.534   -48.103
5915.41     66.398   -48.546
6001.45     66.263   -48.979
6088.74     66.127   -49.394
6177.30     65.993   -49.784
6267.15     65.860   -50.142
6358.31     65.733   -50.480
6450.80     65.611   -50.812
6544.62     65.495   -51.149
6639.82     65.384   -51.510
6736.40     65.271   -51.894
6834.38     65.155   -52.279
6933.79     65.044   -52.668
7034.64     64.930   -53.072
7136.96     64.818   -53.488
7240.77     64.708   -53.936
7346.09     64.591   -54.419
7452.94     64.467   -54.919
7561.35     64.334   -55.421
7671.33     64.189   -55.905
7782.91     64.034   -56.337
7896.12     63.872   -56.691
8010.97     63.711   -56.967
8127.49     63.553   -57.175
8245.71     63.402   -57.331
8365.65     63.261   -57.466
8487.33     63.126   -57.597
8610.78     62.998   -57.740
8736.03     62.871   -57.906
8863.09     62.742   -58.082
8992.01     62.613   -58.260
9122.80     62.480   -58.432
9255.50     62.349   -58.593
9390.12     62.219   -58.763
9526.70     62.086   -58.945
9665.27     61.949   -59.130
9805.86     61.803   -59.295
9948.49     61.648   -59.408
10093.2     61.492   -59.451
10240.0     61.340   -59.432
10388.9     61.195   -59.375
10540.1     61.055   -59.296
10693.4     60.918   -59.199
10848.9     60.782   -59.076
11006.7     60.650   -58.920
11166.8     60.524   -58.732
11329.2     60.409   -58.529
11494.0     60.303   -58.338
11661.2     60.205   -58.181
11830.8     60.112   -58.075
12002.9     60.016   -58.019
12177.5     59.913   -57.984
12354.6     59.805   -57.946
12534.3     59.690   -57.876
12716.6     59.580   -57.777
12901.6     59.471   -57.668
13089.2     59.361   -57.548
13279.6     59.254   -57.414
13472.8     59.147   -57.269
13668.8     59.039   -57.106
13867.6     58.935   -56.922
14069.3     58.831   -56.713
14273.9     58.735   -56.488
14481.5     58.642   -56.266
14692.2     58.550   -56.034
14905.9     58.466   -55.802
15122.7     58.384   -55.581
15342.7     58.304   -55.365
15565.8     58.227   -55.160
15792.2     58.148   -54.954
16021.9     58.072   -54.739
16255.0     57.998   -54.518
16491.4     57.924   -54.277
16731.3     57.859   -54.024
16974.7     57.795   -53.765
17221.6     57.741   -53.494
17472.1     57.700   -53.244
17726.2     57.665   -53.039
17984.0     57.638   -52.888
18245.6     57.611   -52.798
18511.0     57.582   -52.747
18780.2     57.556   -52.727
19053.4     57.529   -52.741
19330.5     57.509   -52.798
19611.7     57.495   -52.942
19897.0     57.473   -53.188
20186.4     57.439   -53.506
20480.0     57.389   -53.860
20777.9     57.322   -54.207
21080.1     57.244   -54.513
21386.7     57.161   -54.770
21697.8     57.076   -54.989
22013.4     56.991   -55.178
22333.6     56.906   -55.347
22658.4     56.821   -55.501
22988.0     56.736   -55.643
23322.4     56.650   -55.775
23661.6     56.565   -55.899
24005.8     56.480   -56.016
24355.0     56.395   -56.126
24709.2     56.310   -56.231
25068.6     56.225   -56.331
25433.2     56.140   -56.427
25803.2     56.055   -56.519
26178.5     55.970   -56.607
26559.3     55.885   -56.692
26945.6     55.800   -56.774
27337.5     55.714   -56.854
27735.2     55.629   -56.931
28138.6     55.544   -57.005
28547.9     55.459   -57.078
28963.1     55.374   -57.148
29384.4     55.289   -57.217
29811.8     55.204   -57.283
30245.4     55.119   -57.348
30685.3     55.034   -57.412
31131.7     54.949   -57.473
31584.5     54.864   -57.534
32043.9     54.779   -57.593
32510.0     54.693   -57.651
32982.8     54.608   -57.707
33462.6     54.523   -57.763
33949.3     54.438   -57.817
34443.1     54.353   -57.870
34944.1     54.268   -57.922
35452.4     54.183   -57.974
35968.0     54.098   -58.024
36491.2     54.013   -58.073
37022.0     53.928   -58.122
37560.5     53.843   -58.172
38106.8     53.766   -58.217
38661.1     53.696   -58.262
39223.4     53.644   -58.296
39793.9     53.604   -58.323
