* Measurement data measured by REW V5.20.13
* Source: Rollo Delta Filtered
* Format: 
* Dated: Sep 13, 2023 1:16:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 0.0 dB
* Note: Measurement imported from D:\Squiglink\data\? 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   54.00 Hz  Gain  11.20 dB Q  0.400 PK       Fc   350.0 Hz  Gain  -0.20 dB  Q  4.000 PK       Fc   500.0 Hz  Gain  -1.10 dB  Q  0.600 PK       Fc   800.0 Hz  Gain  -0.80 dB  Q  1.500 PK       Fc    1000 Hz  Gain  -0.30 dB  Q  3.000 PK       Fc    1600 Hz  Gain   2.00 dB  Q  0.600 PK       Fc    3000 Hz  Gain  -1.10 dB  Q  1.200 PK       Fc    6000 Hz  Gain  -0.10 dB  Q  1.000
* Measurement: Hadoe Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
3750.000000 8.401
3820.000000 8.261
3870.000000 8.165
3950.000000 8.017
4000.000000 7.930
4060.000000 7.829
4120.000000 7.732
4180.000000 7.636
4250.000000 7.522
4310.000000 7.421
4370.000000 7.314
4440.000000 7.184
4500.000000 7.071
4550.000000 6.978
4620.000000 6.850
4680.000000 6.745
4750.000000 6.627
4820.000000 6.513
4870.000000 6.434
4940.000000 6.329
5000.000000 6.244
5080.000000 6.139
5150.000000 6.057
5220.000000 5.982
5300.000000 5.905
5380.000000 5.831
5450.000000 5.768
5520.000000 5.704
5600.000000 5.630
5700.000000 5.534
5800.000000 5.438
5900.000000 5.345
6000.000000 5.258
6080.000000 5.195
6150.000000 5.146
6220.000000 5.102
6300.000000 5.061
6400.000000 5.023
6500.000000 4.999
6600.000000 4.989
6700.000000 4.991
6800.000000 5.005
6900.000000 5.027
7000.000000 5.053
7100.000000 5.080
7200.000000 5.105
7300.000000 5.122
7400.000000 5.129
7500.000000 5.121
7620.000000 5.086
7750.000000 5.013
7880.000000 4.896
8000.000000 4.747
8120.000000 4.556
8250.000000 4.301
8380.000000 4.002
8500.000000 3.690
8620.000000 3.353
8750.000000 2.971
8850.000000 2.676
9000.000000 2.254
9120.000000 1.951
9250.000000 1.677
9380.000000 1.468
9500.000000 1.338
9620.000000 1.269
9750.000000 1.259
9880.000000 1.315
10000.000000 1.426
10150.000000 1.643
10300.000000 1.936
10440.000000 2.248
10600.000000 2.588
10750.000000 2.815
10900.000000 2.901
11060.000000 2.822
11200.000000 2.625
11380.000000 2.242
11500.000000 1.929
11720.000000 1.278
11800.000000 1.030
12060.000000 0.237
12200.000000 -0.139
12410.000000 -0.591
12500.000000 -0.744
12650.000000 -0.947
12800.000000 -1.095
13150.000000 -1.316
13200.000000 -1.341
13400.000000 -1.432
13600.000000 -1.531
13800.000000 -1.654
14000.000000 -1.808
14300.000000 -2.093
14500.000000 -2.308
14750.000000 -2.584
15000.000000 -2.837
15250.000000 -3.037
15500.000000 -3.164
15750.000000 -3.213
16000.000000 -3.191
16250.000000 -3.116
16500.000000 -3.009
16750.000000 -2.891
17000.000000 -2.782
17250.000000 -2.697
17500.000000 -2.655
17750.000000 -2.673
18000.000000 -2.773
18250.000000 -2.975
18500.000000 -3.295
18750.000000 -3.746
19000.000000 -4.330
19250.000000 -5.050
19500.000000 -5.960
19750.000000 -7.220
20000.000000 -8.664
