* Measurement data measured by REW V5.20.13
* Source: ? 10dB Target Filtered
* Format: 
* Dated: Nov 1, 2023 10:11:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Personal SquigLink\data\? 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   200.0 Hz  Gain   1.60 dB Q  0.710 PK       Fc    3000 Hz  Gain  -0.50 dB  Q  1.410 HSQ      Fc    6000 Hz  Gain   2.00 dB Q  0.707 HSQ      Fc   12000 Hz  Gain   2.00 dB Q  0.707
* Measurement: Cosmic Brownie Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
351.491211, 1.106
354.038239, 1.098
356.603760, 1.089
359.187866, 1.081
361.790680, 1.072
364.412354, 1.064
367.053040, 1.055
369.712860, 1.047
372.391968, 1.038
375.090454, 1.030
377.808533, 1.022
380.546265, 1.014
383.303864, 1.005
386.081451, 0.997
388.879150, 0.988
391.697144, 0.980
394.535522, 0.971
397.394501, 0.962
400.274170, 0.953
403.174744, 0.944
406.096313, 0.935
409.039062, 0.926
412.003113, 0.917
414.988647, 0.907
417.995850, 0.898
421.024811, 0.888
424.075714, 0.878
427.148743, 0.869
430.244049, 0.859
433.361786, 0.849
436.502106, 0.838
439.665161, 0.828
442.851166, 0.818
446.060242, 0.807
449.292572, 0.797
452.548340, 0.787
455.827698, 0.776
459.130798, 0.766
462.457855, 0.756
465.809021, 0.745
469.184448, 0.735
472.584381, 0.724
476.008911, 0.713
479.458252, 0.703
482.932617, 0.692
486.432159, 0.681
489.957031, 0.671
493.507477, 0.660
497.083618, 0.649
500.685699, 0.638
504.313873, 0.627
507.968323, 0.616
511.649292, 0.605
515.356934, 0.593
519.091370, 0.582
522.852966, 0.571
526.641724, 0.560
530.458008, 0.549
534.301941, 0.538
538.173706, 0.527
542.073547, 0.516
546.001648, 0.505
549.958191, 0.494
553.943420, 0.484
557.957520, 0.473
562.000671, 0.462
566.073181, 0.452
570.175171, 0.442
574.306885, 0.432
578.468567, 0.422
582.660400, 0.412
586.882568, 0.403
591.135376, 0.393
595.419006, 0.384
599.733643, 0.374
604.079590, 0.365
608.456970, 0.355
612.866089, 0.345
617.307190, 0.336
621.780457, 0.326
626.286133, 0.316
630.824463, 0.307
635.395691, 0.297
640.000000, 0.287
644.637695, 0.277
649.309021, 0.266
654.014160, 0.256
658.753418, 0.245
663.527039, 0.234
668.335205, 0.223
673.178284, 0.212
678.056396, 0.201
682.969849, 0.189
687.918945, 0.177
692.903870, 0.165
697.924927, 0.153
702.982422, 0.140
708.076477, 0.128
713.207520, 0.116
718.375732, 0.103
723.581360, 0.091
728.824707, 0.079
734.106079, 0.067
739.425720, 0.055
744.783936, 0.043
750.180908, 0.032
755.617065, 0.021
761.092529, 0.011
766.607727, 0.000
772.162903, -0.010
777.758301, -0.019
783.394287, -0.028
789.071045, -0.036
794.789001, -0.044
800.548340, -0.052
806.349487, -0.058
812.192627, -0.065
818.078125, -0.071
824.006226, -0.076
829.977295, -0.080
835.991699, -0.084
842.049622, -0.087
848.151428, -0.090
854.297485, -0.092
860.488098, -0.094
866.723572, -0.096
873.004211, -0.097
879.330322, -0.097
885.702332, -0.097
892.120483, -0.097
898.585144, -0.096
905.096680, -0.095
911.655396, -0.093
918.261597, -0.091
924.915710, -0.088
931.618042, -0.085
938.368896, -0.081
945.168762, -0.076
952.017822, -0.070
958.916504, -0.064
965.865234, -0.056
972.864319, -0.047
979.914062, -0.037
987.014954, -0.026
994.167236, -0.013
1001.371399, 0.002
1008.627747, 0.018
1015.936646, 0.035
1023.298584, 0.055
1030.713867, 0.075
1038.182739, 0.097
1045.705933, 0.121
1053.283447, 0.146
1060.916016, 0.171
1068.603882, 0.198
1076.347412, 0.224
1084.147095, 0.251
1092.003296, 0.279
1099.916382, 0.305
1107.886841, 0.332
1115.915039, 0.358
1124.001343, 0.383
1132.146362, 0.408
1140.350342, 0.433
1148.613770, 0.457
1156.937134, 0.479
1165.320801, 0.502
1173.765137, 0.524
1182.270752, 0.545
1190.838013, 0.567
1199.467285, 0.589
1208.159180, 0.611
1216.913940, 0.633
1225.732178, 0.656
1234.614380, 0.680
1243.560913, 0.703
1252.572266, 0.728
1261.648926, 0.754
1270.791382, 0.780
1280.000000, 0.808
1289.275391, 0.836
1298.618042, 0.865
1308.028320, 0.894
1317.506836, 0.924
1327.054077, 0.955
1336.670410, 0.986
1346.356567, 1.018
1356.112793, 1.051
1365.939697, 1.084
1375.837891, 1.118
1385.807739, 1.152
1395.849854, 1.187
1405.964844, 1.222
1416.152954, 1.257
1426.415039, 1.292
1436.751465, 1.328
1447.162720, 1.364
1457.649414, 1.401
1468.212158, 1.438
1478.851440, 1.476
1489.567871, 1.514
1500.361816, 1.553
1511.234131, 1.593
1522.185059, 1.633
1533.215454, 1.674
1544.325806, 1.715
1555.516602, 1.757
1566.788574, 1.800
1578.142090, 1.843
1589.578003, 1.887
1601.096680, 1.932
1612.698975, 1.976
1624.385254, 2.022
1636.156250, 2.068
1648.012451, 2.115
1659.954590, 2.163
1671.983398, 2.211
1684.099243, 2.261
1696.302856, 2.311
1708.594971, 2.362
1720.976196, 2.414
1733.447144, 2.468
1746.008423, 2.522
1758.660645, 2.578
1771.404663, 2.636
1784.240967, 2.695
1797.170288, 2.755
1810.193359, 2.817
1823.310791, 2.881
1836.523193, 2.946
1849.831421, 3.013
1863.236084, 3.082
1876.737793, 3.152
1890.337524, 3.225
1904.035645, 3.299
1917.833008, 3.375
1931.730469, 3.453
1945.728638, 3.533
1959.828125, 3.615
1974.029907, 3.700
1988.334473, 3.787
2002.742798, 3.876
2017.255493, 3.968
2031.873291, 4.062
2046.597168, 4.159
2061.427734, 4.259
2076.365479, 4.361
2091.411865, 4.466
2106.566895, 4.572
2121.832031, 4.681
2137.207764, 4.791
2152.694824, 4.902
2168.294189, 5.014
2184.006592, 5.126
2199.832764, 5.237
2215.773682, 5.347
2231.830078, 5.454
2248.002686, 5.559
2264.292725, 5.660
2280.700684, 5.759
2297.227539, 5.853
2313.874268, 5.945
2330.641602, 6.033
2347.530273, 6.118
2364.541504, 6.200
2381.676025, 6.280
2398.934570, 6.358
2416.318359, 6.435
2433.827881, 6.510
2451.464355, 6.584
2469.228760, 6.656
2487.121826, 6.729
2505.144531, 6.800
2523.297852, 6.871
2541.582764, 6.941
2560.000000, 7.011
2578.550781, 7.080
2597.236084, 7.148
2616.056641, 7.216
2635.013672, 7.283
2654.108154, 7.350
2673.340820, 7.415
2692.713135, 7.479
2712.225586, 7.542
2731.879395, 7.603
2751.675781, 7.661
2771.615479, 7.718
2791.699707, 7.772
2811.929688, 7.824
2832.305908, 7.873
2852.830078, 7.919
2873.502930, 7.962
2894.325439, 8.002
2915.298828, 8.039
2936.424316, 8.073
2957.702881, 8.104
2979.135742, 8.131
3000.723633, 8.156
3022.468262, 8.178
3044.370117, 8.196
3066.430908, 8.211
3088.651611, 8.224
3111.033203, 8.233
3133.577148, 8.239
3156.284180, 8.241
3179.156006, 8.241
3202.193359, 8.238
3225.397949, 8.231
3248.770508, 8.222
3272.312500, 8.209
3296.024902, 8.194
3319.909180, 8.175
3343.966797, 8.154
3368.198486, 8.129
3392.605713, 8.103
3417.189941, 8.074
3441.952393, 8.043
3466.894287, 8.009
3492.016846, 7.974
3517.321289, 7.938
3542.809326, 7.900
3568.481934, 7.860
3594.340576, 7.820
3620.386719, 7.779
3646.621582, 7.736
3673.046387, 7.693
3699.662842, 7.650
3726.472168, 7.606
3753.475586, 7.561
3780.675049, 7.517
3808.071289, 7.473
3835.666016, 7.430
3863.460938, 7.387
3891.457275, 7.345
3919.656250, 7.304
3948.059814, 7.263
3976.668945, 7.223
4005.485596, 7.184
4034.510986, 7.147
4063.746582, 7.110
4093.194336, 7.073
4122.855469, 7.037
4152.730957, 7.001
4182.823730, 6.964
4213.133789, 6.927
4243.664062, 6.890
4274.415527, 6.851
4305.389648, 6.810
4336.588379, 6.768
4368.013184, 6.724
4399.665527, 6.679
4431.547363, 6.633
4463.660156, 6.586
4496.005371, 6.539
4528.585449, 6.492
4561.401367, 6.445
4594.455078, 6.399
4627.748535, 6.353
4661.283203, 6.309
4695.060547, 6.265
4729.083008, 6.223
4763.352051, 6.181
4797.869141, 6.140
4832.636719, 6.100
4867.655762, 6.062
4902.928711, 6.024
4938.457520, 5.987
4974.243652, 5.952
5010.289062, 5.919
5046.595703, 5.888
5083.165527, 5.858
5120.000000, 5.831
5157.101562, 5.806
5194.472168, 5.783
5232.113281, 5.763
5270.027344, 5.743
5308.216309, 5.725
5346.681641, 5.708
5385.426270, 5.691
5424.451172, 5.674
5463.758789, 5.657
5503.351562, 5.640
5543.230957, 5.622
5583.399414, 5.603
5623.859375, 5.584
5664.611816, 5.564
5705.660156, 5.544
5747.005859, 5.523
5788.650879, 5.503
5830.597656, 5.482
5872.848633, 5.462
5915.405762, 5.443
5958.271484, 5.425
6001.447266, 5.408
6044.936523, 5.392
6088.740234, 5.378
6132.861816, 5.367
6177.303223, 5.357
6222.066406, 5.350
6267.154297, 5.345
6312.568359, 5.344
6358.312012, 5.345
6404.386719, 5.349
6450.795898, 5.356
6497.541016, 5.366
6544.625000, 5.378
6592.049805, 5.394
6639.818359, 5.413
6687.933594, 5.434
6736.396973, 5.459
6785.211426, 5.485
6834.379883, 5.514
6883.904785, 5.544
6933.788574, 5.576
6984.033691, 5.608
7034.642578, 5.641
7085.618652, 5.674
7136.963867, 5.706
7188.681152, 5.737
7240.773438, 5.767
7293.243164, 5.794
7346.092773, 5.819
7399.325684, 5.839
7452.944336, 5.855
7506.951172, 5.866
7561.350098, 5.872
7616.142578, 5.871
7671.332031, 5.864
7726.921875, 5.849
7782.914551, 5.826
7839.312500, 5.794
7896.119629, 5.753
7953.337891, 5.703
8010.971191, 5.642
8069.021973, 5.571
8127.493164, 5.489
8186.388672, 5.397
8245.710938, 5.294
8305.461914, 5.180
8365.647461, 5.056
8426.267578, 4.923
8487.328125, 4.780
8548.831055, 4.629
8610.779297, 4.471
8673.176758, 4.308
8736.026367, 4.140
8799.331055, 3.971
8863.094727, 3.803
8927.320312, 3.638
8992.010742, 3.478
9057.170898, 3.326
9122.802734, 3.185
9188.910156, 3.058
9255.497070, 2.946
9322.566406, 2.850
9390.121094, 2.773
9458.166016, 2.714
9526.704102, 2.675
9595.738281, 2.655
9665.273438, 2.655
9735.311523, 2.674
9805.857422, 2.713
9876.915039, 2.772
9948.487305, 2.851
10020.578125, 2.952
10093.191406, 3.073
10166.331055, 3.215
10240.000000, 3.376
10314.203125, 3.553
10388.944336, 3.741
10464.226562, 3.934
10540.054688, 4.121
10616.432617, 4.294
10693.363281, 4.442
10770.852539, 4.557
10848.902344, 4.632
10927.517578, 4.665
11006.703125, 4.655
11086.461914, 4.605
11166.798828, 4.517
11247.718750, 4.394
11329.223633, 4.245
11411.320312, 4.072
11494.011719, 3.877
11577.301758, 3.664
11661.195312, 3.439
11745.697266, 3.204
11830.811523, 2.964
11916.542969, 2.723
12002.894531, 2.486
12089.873047, 2.259
12177.480469, 2.050
12265.723633, 1.863
12354.606445, 1.699
12444.132812, 1.557
12534.308594, 1.440
12625.136719, 1.344
12716.624023, 1.268
12808.773438, 1.210
12901.591797, 1.166
12995.082031, 1.132
13089.250000, 1.103
13184.099609, 1.080
13279.636719, 1.060
13375.867188, 1.041
13472.793945, 1.020
13570.422852, 0.994
13668.759766, 0.963
13767.809570, 0.924
13867.577148, 0.877
13968.067383, 0.820
14069.285156, 0.755
14171.237305, 0.681
14273.927734, 0.600
14377.362305, 0.513
14481.546875, 0.420
14586.486328, 0.324
14692.185547, 0.227
14798.651367, 0.131
14905.888672, 0.040
15013.902344, -0.045
15122.700195, -0.121
15232.285156, -0.186
15342.664062, -0.237
15453.843750, -0.275
15565.829102, -0.297
15678.625000, -0.304
15792.239258, -0.296
15906.675781, -0.275
16021.942383, -0.241
16138.043945, -0.197
16254.986328, -0.143
16372.777344, -0.083
16491.421875, -0.019
16610.923828, 0.048
16731.294922, 0.115
16852.535156, 0.181
16974.656250, 0.242
17097.662109, 0.298
17221.558594, 0.347
17346.353516, 0.385
17472.052734, 0.410
17598.662109, 0.421
17726.189453, 0.412
17854.640625, 0.383
17984.021484, 0.329
18114.341797, 0.247
18245.605469, 0.133
18377.820312, -0.014
18510.994141, -0.199
18645.132812, -0.423
18780.242188, -0.689
18916.332031, -0.995
19053.408203, -1.344
19191.476562, -1.737
19330.546875, -2.182
19470.623047, -2.702
19611.714844, -3.331
19753.830078, -4.102
19896.974609, -4.992
